,Activision_Blizzard_final_fft,Activision_Blizzard_fft_absolute,Activision_Blizzard_fft_angle,ATT_final_fft,ATT_fft_absolute,ATT_fft_angle,CBS_final_fft,CBS_fft_absolute,CBS_fft_angle,CenturyLink_final_fft,CenturyLink_fft_absolute,CenturyLink_fft_angle,Comcast_final_fft,Comcast_fft_absolute,Comcast_fft_angle,Discovery_Class_A_final_fft,Discovery_Class_A_fft_absolute,Discovery_Class_A_fft_angle,Dish_final_fft,Dish_fft_absolute,Dish_fft_angle,Electronic_Arts_final_fft,Electronic_Arts_fft_absolute,Electronic_Arts_fft_angle,Interpublic_Group_final_fft,Interpublic_Group_fft_absolute,Interpublic_Group_fft_angle,Netflix_final_fft,Netflix_fft_absolute,Netflix_fft_angle,Omnicom_Group_final_fft,Omnicom_Group_fft_absolute,Omnicom_Group_fft_angle,Take_Two_Interactive_final_fft,Take_Two_Interactive_fft_absolute,Take_Two_Interactive_fft_angle,TwentyFirst_Century_Fox_A_final_fft,TwentyFirst_Century_Fox_A_fft_absolute,TwentyFirst_Century_Fox_A_fft_angle,TwentyFirst_Century_Fox_B_final_fft,TwentyFirst_Century_Fox_B_fft_absolute,TwentyFirst_Century_Fox_B_fft_angle,Verizon_Communications_final_fft,Verizon_Communications_fft_absolute,Verizon_Communications_fft_angle,Viacom_final_fft,Viacom_fft_absolute,Viacom_fft_angle,The_Walt_Disney_final_fft,The_Walt_Disney_fft_absolute,The_Walt_Disney_fft_angle
838,(-1.072177049119742-11.479886447167106j),11.529846333083114,-1.663922316610596,(4.6325148285995965+3.1993470029017352j),5.629921392184039,0.604408671767151,(-18.492421664374987+6.272772038182193j),19.527348208500964,2.8145645084397732,(5.232418642945807+2.74861660470725j),5.910422835527019,0.48368620925472444,(2.0922772114355688-0.015040881305319775j),2.092331273389336,-0.007188637402100214,(-39.33203326749424+7.57209283155688j),40.054281054651184,2.951402339619417,(-9.304502052584146-9.405710118529626j),13.230311458176379,-2.35078530092583,(13.508922404432466-4.462404447738427j),14.226877309661917,-0.31904526421657553,(-1.3804709572672111+2.3422822385612228j),2.7188207276202716,2.1033630072887437,(-76.31957392740503+100.64813113228902j),126.31200918710418,2.2195762967482895,(42.24736283390386+26.190507286543703j),49.70696468651068,0.5549468661408361,(-2.6827862563971054+8.833084243067095j),9.231506883636786,1.8656626594025691,(-9.995174451210232+3.73408462673282j),10.669906293390216,2.7840598262836385,(-9.928415014510193+2.7521344755737918j),10.302799079473173,2.8711843461323348,(-11.490306809242561-1.0841141054695362j),11.541336749449952,-3.0475208176088606,(-28.322176710009416+9.673983623809455j),29.928776332264793,2.812448210661745,(-16.270315143486616+9.474469468596299j),18.827871004968493,2.614277375126836
839,(-17.242240328373278+2.4932561180851325j),17.421572191158603,2.997986417171908,(-5.746989489312717-3.549312769313339j),6.754665744852336,-2.5883359120789886,(-24.09478397354656+22.236793964875826j),32.78770532635997,2.3962750370224435,(-1.6338453014231966-1.621681311646376j),2.302021013267639,-2.3599308851344754,(-5.887762970265019+3.524421286789433j),6.862018522329887,2.6022024040762695,(-39.776257323990606+18.947800690096607j),44.058708534135924,2.6970356176846266,(-34.45674873888822+13.844771931258371j),37.134151982823504,2.7595342595400094,(1.6847914354667255-0.9881613501919233j),1.95319866757971,-0.5304476534793494,(-4.014756168756004-0.6815051234368701j),4.072188149856916,-2.973445420547035,(-259.59550497197546+87.01540699755046j),273.790991920122,2.8181665258012387,(34.42876429016947-11.199755650055197j),36.204617622190014,-0.31450528009354917,(6.113307547323858+12.434756285121926j),13.856251045594767,1.1138665717069403,(-16.48097242512453+2.660935778457868j),16.694401196053494,2.9815190103509037,(-17.165576988529622+2.069710779223561j),17.28990271976022,3.021598574696085,(-19.04328228507619+0.9509157795357183j),19.067009230838135,3.091699647106676,(-37.96225097773401+15.777527113067496j),41.11037412989629,2.747701418290255,(-30.585009903116642+19.393828789825477j),36.21551360815978,2.576479202776565
840,(-0.7879502254629847+18.023362409104497j),18.040578097381697,1.6144867760447699,(3.2030154703565987-3.9335138668547573j),5.072656054187231,-0.887403350616703,(-22.29704789643439+6.448042041580446j),23.21067838443931,2.860084263756047,(-4.995111428866252-2.5332491253542107j),5.600757923522327,-2.672244864258109,(-0.8598321109131071+1.282478232285185j),1.5440406974049041,2.161410673967198,(-31.07261194589334+9.425003321754787j),32.47056976332818,2.8470910486364285,(-12.19256265665958+10.14813154345499j),15.863264416879518,2.4474518461866808,(10.193320001117694+2.850094329605647j),10.584271837629469,0.2726415714929792,(-2.9781935161714195-3.051168434622129j),4.2637149806477375,-2.3440918239363673,(-56.094499278128964-76.15620007189723j),94.58519788346827,-2.2056477648092434,(41.01979185308949-28.433072229381814j),49.91054918623948,-0.6061171902781396,(5.404819365265132-13.024697325252939j),14.101589016334154,-1.1774543309423873,(-9.349060788499552-2.556631157815049j),9.692332046735222,-2.874655049658573,(-7.06204856275181-1.902586913693702j),7.313847610309052,-2.8784307580065702,(1.4477643283961683-2.3166608184103237j),2.731838007300945,-1.0122431646365022,(-27.677097528630664+2.463192863171362j),27.786490362953575,3.052828999604608,(-20.276891806263166+4.9929750426812625j),20.882579847799942,2.900156248756165
841,(17.313905106396913+1.6781980246647832j),17.395046957203245,0.09662591373995151,(8.39501059823074-4.323191927583658j),9.442785149897828,-0.47555301529344746,(-17.404589765467254+5.346178679283383j),18.207179116354947,2.8435703579823968,(-3.677286618794172+4.257828853668105j),5.625970442856177,2.283163447864015,(-0.07027311544499515-10.976138564085726j),10.976363518431969,-1.577198592481537,(-31.540212455530742+4.758528890298619j),31.897156596471465,2.99185019087186,(-12.021826774086804-0.9819272530331435j),12.061861386883848,-3.0600948615109145,(12.287177402081856-4.361323714145428j),13.038246548129019,-0.3410770788552608,(-3.69611197189565+1.972543722766351j),4.18953129204393,2.6513649044622225,(-77.92919504457394+126.52956197148251j),148.60245453218624,2.122822967890978,(31.150020403306453-16.72858506878301j),35.35773365941203,-0.4928331679955791,(-4.852268604091373+0.20758187811625994j),4.8567067898292064,3.0988383467159237,(-8.862183181115597+1.136514203219506j),8.934761063943894,3.0140456979038683,(-9.881916537670188+1.6177311637622893j),10.013457373738964,2.979325790114651,(5.358865357892613+0.1311446519424695j),5.3604698342360475,0.024467582533852096,(-25.440631753454085-7.236178781374037j),26.44972641391332,-2.8644771228761563,(-13.00202142794752+5.157153444292959j),13.987451263929009,2.7639840756342444
842,(4.422848283245887-18.840970803046325j),19.353133279597262,-1.340224797659598,(5.801017892134594-3.0420560485046892j),6.550260573985561,-0.48297683410922393,(-17.30992564534601-5.982505870650324j),18.314581686180357,-2.8088329284889224,(14.940986212223223-4.366094064626029j),15.565855144353847,-0.2843063947778209,(-2.012065482596669-12.979876402990087j),13.134900035522,-1.7245865182515936,(-27.556934895337193-3.87123620656891j),27.827524693959084,-3.0020246183077393,(-13.049412636804478-0.45759922858339763j),13.057433408583499,-3.106540363176061,(6.921357019663066-5.525374443056959j),8.856350587551637,-0.673708362156017,(-5.628510074883912+0.6026503028664325j),5.660681323888026,3.0349280054179264,(-200.17633607358343+125.12510243549663j),236.06536548875133,2.5829398415334692,(18.146767988218713-29.600339158078306j),34.72009888654558,-1.020829579691633,(-0.8645965427473381-1.0388293532811192j),1.3515522953142132,-2.2649124416912563,(-12.021812768874948+6.610426580736399j),13.719392181477685,2.638849742031981,(-10.423992990858473+5.454976497569845j),11.765049870804031,2.6594716607304867,(-4.480089185272288-4.291248723885007j),6.203709754512893,-2.377720430136695,(-25.197727684667424+0.03662042026818568j),25.197754295290597,3.1401393322846367,(-11.73946776493705+6.965075139975785j),13.65017857427165,2.6061111070616105
843,(-12.859357675337684-5.282448535824384j),13.902062521651215,-2.7518224256180557,(-13.149759432496658-9.659372893156302j),16.316239083243957,-2.5080423688548694,(-30.211045904925694-0.5499252499330415j),30.216050576639585,-3.123391876097529,(9.849393864312967-19.271759100348337j),21.642810776704234,-1.098324749017735,(-11.609788790220883-9.915715355681384j),15.26789464099206,-2.4347333608668427,(-37.49841192962677-0.9082210371216035j),37.50940898889564,-3.117377134608282,(-14.09344506860832+2.8338348778247084j),14.375528303914816,2.9431639668882164,(-0.5826042792192414+11.851410193409826j),11.865721693964632,1.6199158525856945,(-7.48075186003828-1.3913777395762783j),7.6090459589658535,-2.9576995934155645,(-206.9115854427314+2.1559308766960563j),206.92281708011282,3.131173455187802,(-18.14195142927706-16.24751544054935j),24.353894137347677,-2.4112265486764475,(0.3631008244680949-1.413031482807282j),1.458938031629156,-1.319272398721834,(-18.152393534332234-0.6186696686847744j),18.162933220826893,-3.107523852185978,(-16.98647638430358+1.945632004025026j),17.09753970165268,3.0275495883514782,(-21.708619545164357-4.041059536759716j),22.081538097160003,-2.9575491724021945,(-22.885222088679534-3.343286143232956j),23.128141998087937,-2.996529525315454,(-36.73819151885509+12.745382721615416j),38.88623788432778,2.8076602264885713
844,(-7.3798614902347435+13.663144301317306j),15.528807675210269,2.066029518900322,(-7.786428412578978+7.938092525231919j),11.119432555816868,2.3465497187844706,(-27.68930026320615+15.630021349126997j),31.796146251395843,2.6277013257693707,(-0.8702699921960981+2.306603065761738j),2.465316929382193,1.9315776036970067,(-8.247944842475901-0.10895620633135117j),8.24866447247207,-3.1283833182695466,(-48.63703417078641+13.944799053203006j),50.59662551558608,2.8623712462301074,(10.66088308967096+7.461385904493961j),13.012559620129062,0.6106483850854998,(10.463628747979119+14.083218589503803j),17.544930105739393,0.9317995632499946,(-4.563033878282335+6.80841381594959j),8.196083019562796,2.161244637852269,(-138.4620689021377+142.43048759965816j),198.64085260221952,2.342067541617798,(-8.4033054617196+21.532465048897546j),23.114121090038463,1.9428798955437285,(3.1556258757494953+3.040358594411458j),4.381980722266061,0.7667967632547916,(-7.172854950523327+11.896940079851621j),13.891977231655215,2.113357151213498,(-7.832236479963974+12.570150474762437j),14.810557424899605,2.1280153306732363,(-12.591177910582163+12.157496768322794j),17.502642339021595,2.3737161056294216,(-35.37218783454619+8.850195942736008j),36.462551205685514,2.8964237806964634,(-18.269017969756035+18.38704269310112j),25.91988342136577,2.3529747138891075
845,(11.857363536046606+5.30340365248621j),12.989347956197484,0.4205785736121088,(-9.001949256481021+3.3923728029225706j),9.619941977489674,2.781202198139775,(-33.7441557765121-8.46417409431186j),34.78951411227721,-2.895829411878315,(2.5934687730328325+5.855857891809844j),6.404463437772758,1.1538753738791059,(-12.57888083758026-6.148933025984062j),14.001343524250856,-2.6869209917899246,(-52.58468623032649+0.8058588498075019j),52.590860750017214,3.1262688810266566,(-11.297848821703747-4.578143256200979j),12.19019210974016,-2.756592190609596,(19.833024093654583+5.074231085225186j),20.47185057110736,0.2504746441791168,(-2.521608683261823-5.479549426594758j),6.031912820158824,-2.0020880833490695,(-241.8309820344528+45.97378702731931j),246.16216802218239,2.9537273393386823,(-12.913484728309403-0.034578337489005406j),12.91353102329892,-3.138914967777309,(-3.749061781221939-1.2880306705215314j),3.9641502554296757,-2.810665791301702,(-8.884610073423111-0.09448338260200895j),8.885112450968718,-3.1309585548197885,(-8.063621445978173-0.6367080030984604j),8.088719793962994,-3.0627955903743613,(-16.73743127770815-5.20284038597283j),17.527440025797063,-2.8402111554751492,(-39.48154803230409-4.41417730229511j),39.7275420367688,-3.0302514881687275,(-28.65360605093259-0.46563927080098555j),28.657389267910517,-3.125343449656755
846,(-1.616306665340355-14.066902688579612j),14.159456150798729,-1.6851960291076833,(-10.696537067575196+3.2490757427993455j),11.179105439186863,2.846698829580693,(-22.735187320461108-16.703678914721465j),28.21172862095774,-2.5079517618621563,(10.738084311316543+9.443434581732857j),14.29982207499137,0.7213356827570019,(-10.016570862358122-6.7893472011606395j),12.100699453277464,-2.5459140122438737,(-27.54901518132265-6.762124949790206j),28.366786411176733,-2.9008934030059197,(-11.523577869856984-3.8595099230009735j),12.152722483805865,-2.818412187315363,(28.87429691088069+4.134885635024658j),29.16885841633895,0.14223596781263215,(-3.9340807626542986-1.6246719042191646j),4.256354102215387,-2.7499523209597516,(-203.85590014509089+31.15027083894844j),206.22213120153984,2.9899602293122785,(5.773277245262655+32.52314190169635j),33.03158320923392,1.3951134755891421,(-11.43930397092531-0.2936469382611602j),11.443072308762963,-3.1159282893022637,(-8.88866739403193-8.383694014808619j),12.218622400895455,-2.38542208493335,(-8.253468218870392-7.241107805984482j),10.979680318560874,-2.421438195563995,(-15.452313277226798-0.9120901684133094j),15.479208445294475,-3.0826349367192214,(-31.387958329731312-5.220004196920499j),31.819056741594604,-2.9767949652409302,(-26.24714167512404-3.647668493994095j),26.49939492811318,-3.003503196798768
847,(-9.961752586390695+5.099591393884828j),11.191172725726554,2.6684568872856405,(14.270634368802456+0.22144090392536886j),14.27235234157205,0.01551599792737872,(14.452796420127367+4.020074066370816j),15.001477255948949,0.2712942217743338,(14.000604837949517+8.048545118063878j),16.149179989891913,0.5217375107786615,(1.6698610933446547+7.468802095690327j),7.65319807764404,1.3508356155306211,(-7.958142962283066+8.718885301709133j),11.804702466072367,2.3106099097028383,(-8.659108427171082+4.4800980878461j),9.749432682480942,2.6641334906221843,(23.104825269031494+6.455490094799075j),23.989712442555977,0.27245231349893495,(-0.7542924930244724+3.189023534679305j),3.2770151464055766,1.8030555689706431,(-193.11467854991625-4.330383403636141j),193.16322448090364,-3.1191725152662797,(55.31165477401987+42.834182200287316j),69.95817549513256,0.6589445624488564,(-2.8089972761416124+6.174845487101811j),6.783743987427046,1.9977256757038269,(6.722805669531651-0.47907361742260823j),6.739853678025755,-0.07114070685589557,(7.956803193931163-1.904785111883236j),8.181621073442916,-0.2349688359624495,(9.757766619492699+8.816932112664128j),13.1511330796937,0.7347900126998304,(6.474643793305315+3.2867339498367043j),7.261104069437114,0.46973425318001766,(2.4356352248095554+7.23466954882514j),7.633659831891309,1.2460533541847065
