,AES_predictions,Alliant_Energy_Corp_predictions,Ameren_Corp_predictions,American_Electric_Power_predictions,American_Water_Works_Company_predictions,CMS_Energy_predictions,Consolidated_Edison_predictions,DTE_Energy_predictions,Duke_Energy_predictions,Dominion_Energy_predictions,Edison_Int_predictions,Entergy_predictions,Evergy_predictions,Eversource_Energy_predictions,Exelon_predictions,FirstEnergy_predictions,NextEra_Energy_predictions,NiSource_predictions,NRG_Energy_predictions,Pinnacle_West_Capital_predictions,PPL_Corp_predictions,Public_Serv_Enterprise_predictions,Southern_predictions,Sempra_Energy_predictions,Wec_Energy_Group_predictions,Xcel_Energy_predictions
25,[11.23194441],[35.44871305],[48.72304123],[58.83721034],[70.87944208],[39.55072728],[69.72338832],[91.54564024],[74.50894773],[70.02076842],[68.43292428],[67.99032191],[21.13392179],[51.81310389],[30.88040432],[31.89934579],[114.86378855],[21.54178085],[11.68453994],[73.14518397],[32.88240076],[40.002898],[47.72034548],[95.02025665],[54.68643715],[38.62066519]
26,[11.56339884],[36.00666551],[49.15829437],[59.45597735],[71.60165675],[39.94361871],[70.57809638],[93.15623695],[75.83057727],[71.25602595],[69.31158259],[68.47850241],[21.88177777],[52.46635921],[32.08842879],[32.05365875],[114.95823197],[21.88332097],[11.49231202],[74.07113046],[33.26432347],[41.25920177],[48.35153561],[96.94552118],[55.36807661],[39.17420089]
27,[11.40172296],[35.77448896],[48.35297125],[59.00229595],[71.93500214],[39.90643721],[69.75148794],[91.83537169],[73.82610901],[71.04449142],[68.71722651],[68.08396281],[22.10763481],[51.94787436],[31.53761238],[31.77330748],[114.29856385],[21.72682846],[11.16617563],[73.7143679],[32.89496871],[40.7641346],[48.35204738],[98.21040817],[55.09965212],[38.97986933]
28,[11.422753],[35.80642835],[48.50995939],[58.91330384],[71.79691205],[39.79781296],[70.11617823],[91.76694881],[73.96873606],[71.10937901],[68.76377798],[68.18404284],[22.61586411],[52.2063323],[31.37187367],[31.92162392],[114.75935151],[21.59467274],[11.19893482],[73.826054],[32.82864087],[40.66810118],[47.48269382],[99.39768347],[55.51808444],[39.02446187]
29,[11.39867148],[35.60325725],[48.58483352],[58.44491229],[71.7638132],[39.72054124],[69.44267657],[91.27261709],[73.49354979],[71.11544757],[68.45984508],[67.88121934],[22.28637267],[51.8132858],[31.7855445],[31.45816704],[114.12630288],[21.70177601],[11.17830306],[73.24863252],[32.84842328],[40.3453467],[47.1578516],[99.60375615],[55.48479147],[38.8606561]
30,[11.51738008],[35.81019949],[48.90019105],[59.31772379],[72.52092599],[40.21376437],[70.22281448],[92.49947223],[74.56466111],[72.18262465],[69.38511457],[68.43229454],[22.47794285],[52.25332401],[32.53888797],[31.88371378],[114.45762662],[21.87864085],[11.5164555],[74.16275526],[33.33470538],[41.01797078],[47.62749854],[99.72859876],[56.11029068],[39.3738457]
31,[11.42791076],[36.10007041],[49.38345695],[59.18791735],[74.1058316],[40.54398449],[70.28858344],[93.67103213],[73.74430417],[73.12684346],[69.65235669],[68.38444718],[21.59967097],[52.44653372],[32.4560697],[31.90235332],[113.82739919],[21.81253511],[10.89842443],[75.06272842],[33.33618391],[41.24347436],[47.62891348],[100.20185532],[56.54153423],[39.28970257]
32,[11.32820446],[35.74756864],[49.05927114],[58.85394224],[72.57848596],[39.73952331],[69.58485381],[92.60567985],[73.57507886],[72.91281879],[69.00098247],[68.13413463],[21.90118185],[51.74329997],[32.2571093],[31.52663881],[113.52025847],[21.62399611],[10.96381422],[74.0157752],[32.81512151],[40.79907372],[47.19117181],[98.7315718],[55.7920579],[38.81081885]
33,[11.60877261],[36.32922389],[49.97611037],[59.6746833],[74.09690471],[40.58350947],[70.65962951],[94.02648303],[74.29491762],[73.90575419],[69.78721753],[69.48548671],[22.13268822],[52.60529659],[32.59276457],[32.03042509],[114.7773293],[22.13112323],[10.94434752],[75.33623361],[33.3064029],[41.35734203],[47.78583176],[99.51944274],[56.55690986],[39.48582285]
34,[11.91781863],[37.04872793],[51.10744957],[60.87065888],[75.03778939],[41.54147698],[72.69901808],[95.75989909],[76.08174783],[75.05202712],[71.27696392],[70.54633892],[21.61757132],[53.84915332],[33.43703489],[32.60129951],[116.32619444],[22.20081574],[11.53561959],[76.62212157],[34.14450622],[42.7430521],[48.31068046],[101.24842905],[58.0257371],[40.3002667]
