,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
330,[35.81627455],[114.02518156],[46.2265378],[91.4606135],[41.7221262],[40.88768911],[36.73902476],[36.33358963],[50.81879649],[31.20936931],[106.21878859]
331,[35.95373966],[112.60811473],[46.24496253],[90.8723921],[41.57466631],[41.10826538],[36.09617472],[35.7627716],[51.11228782],[30.41258746],[104.77616119]
332,[35.46369741],[111.76540984],[44.22033679],[86.02281781],[40.97693648],[39.95433715],[34.6152446],[34.21033978],[48.85311431],[32.8092244],[101.72082336]
333,[35.53730416],[111.20628381],[44.64128307],[87.3611659],[40.37674518],[38.17052601],[35.5463265],[35.03484315],[49.71246422],[32.71776028],[103.27865803]
334,[35.72539726],[113.80413972],[44.58793777],[88.69427245],[41.45007811],[37.79476603],[36.39939264],[35.90469234],[50.15349745],[32.89621657],[103.3528602]
335,[35.4694585],[112.68744571],[45.21430873],[88.58009846],[41.1186453],[39.89477312],[36.69282886],[36.31185472],[50.11319185],[33.01114368],[104.47899269]
336,[36.34793141],[115.72086747],[46.84569932],[91.66856599],[42.9619324],[42.43011395],[36.84975378],[36.54255821],[49.60384534],[33.89389451],[105.28147089]
337,[36.23548821],[116.09071805],[46.64285786],[92.53744717],[44.01743366],[43.26225725],[37.41454643],[36.97764521],[50.20723068],[33.40627314],[106.45207275]
338,[36.03555128],[114.53106207],[46.90163761],[92.29673481],[43.66768057],[42.54327858],[37.14362277],[36.62954875],[48.88885345],[33.97979976],[105.93915923]
339,[35.69645447],[111.79946218],[46.9241324],[91.3991611],[43.60710713],[42.352084],[37.04451393],[36.5505641],[47.89327226],[32.88406657],[104.98646769]
340,[35.99054149],[112.86690327],[46.57061465],[90.02739539],[43.38478915],[41.68151281],[37.11986191],[36.68447477],[47.82542956],[32.92435082],[105.12591865]
341,[36.29493689],[113.78370994],[47.49340663],[91.43691027],[44.24760659],[42.30492195],[38.02091061],[37.61339259],[48.33213928],[33.6909524],[107.24476839]
342,[36.50030518],[114.50693511],[47.54749847],[92.54261043],[44.92675571],[41.39921943],[38.78943585],[38.35989166],[49.07995999],[33.82228997],[109.94066947]
343,[36.09103291],[110.86460376],[46.14038977],[92.80094753],[42.23162663],[39.99674797],[36.87515063],[36.51521482],[47.63754796],[33.28849368],[103.17893157]
344,[36.40554384],[111.43797989],[45.69499427],[92.17625758],[41.03086053],[39.66698276],[35.93707362],[35.57716046],[47.93864994],[33.07602184],[102.6609887]
345,[36.894683],[112.63377847],[45.44280153],[91.89530048],[42.20952069],[39.69396498],[36.30195398],[35.84539518],[48.29731197],[34.06489843],[102.70136398]
346,[37.76400261],[113.30078255],[46.41764395],[93.59792814],[43.65469806],[41.95728777],[36.77827528],[36.27056889],[48.7785701],[34.20748066],[103.69480109]
347,[38.21665658],[112.92702551],[47.13555269],[95.83605576],[44.29283288],[42.34472511],[37.54127345],[37.01948986],[48.82680428],[34.18046517],[105.32782421]
348,[37.70162574],[111.75204818],[47.06862736],[96.07393451],[44.29008552],[42.51447401],[36.95320756],[36.4564485],[48.85068804],[33.56551994],[103.57222831]
349,[37.98042212],[112.05978526],[46.82871604],[96.45046663],[44.35131187],[42.37623894],[37.19682897],[36.80516927],[49.03192699],[32.77709602],[104.06494759]
350,[38.11399152],[112.00835503],[47.84494088],[98.83185864],[45.51442805],[43.07538139],[37.64940429],[37.11169198],[49.03751956],[32.67871113],[104.6230217]
351,[38.05401481],[113.07854048],[46.97270861],[98.14930514],[45.07999224],[43.160301],[38.03201719],[37.54424672],[48.80046411],[32.76919899],[105.21107506]
352,[38.01432639],[112.93434712],[47.09783971],[97.42796337],[44.52139136],[42.23357412],[37.40056223],[36.8476267],[48.6369932],[32.75932706],[103.77701899]
353,[37.4726882],[111.09304009],[46.89033368],[95.90310175],[44.11490193],[44.01156839],[37.67025498],[37.21674325],[48.44871398],[32.5905568],[103.91156982]
354,[36.4096414],[110.90268948],[46.93273203],[95.3504754],[43.80099075],[43.7613498],[37.14595784],[36.68881836],[48.28022871],[32.78980913],[103.19507603]
355,[36.69062387],[112.10259722],[47.34720552],[97.58009218],[44.58987483],[43.72495544],[37.20911769],[36.70494296],[48.55774887],[31.53950845],[102.98922694]
356,[36.40620733],[111.17089641],[47.07826465],[96.45191066],[43.92449773],[42.61720616],[36.74637001],[36.21954563],[48.29517598],[31.34615416],[101.55896013]
357,[36.39654256],[110.05339549],[47.20263801],[96.65761957],[44.10937005],[41.77839464],[36.74906342],[36.24136641],[47.64702979],[30.90014447],[101.44435843]
358,[35.32650079],[108.41268647],[47.21020952],[96.91121558],[44.8773931],[41.53451284],[36.83996298],[36.28645633],[47.24274848],[31.28946013],[101.89271562]
359,[35.49319247],[107.57221449],[45.63938771],[91.5054229],[43.20256154],[40.07208903],[36.77442323],[36.20827089],[46.87133551],[30.54053516],[100.70940862]
360,[35.55921423],[104.80059749],[43.99459469],[87.2737102],[42.01344272],[39.94987844],[36.13776324],[35.48762903],[46.24180313],[30.10644356],[98.65696369]
361,[36.35502812],[105.57046446],[46.19422564],[89.57902544],[42.77689379],[41.91764189],[37.00761985],[36.53600805],[47.06079197],[30.03066163],[100.70607483]
