,Conagra_Brands_predictions,Kimberly_Clark_predictions,MetLife_predictions,Raymond_James_Financial_predictions,Flowserve_Corporation_predictions,TripAdvisor_predictions,TwentyFirst_Century_Fox_A_predictions,TwentyFirst_Century_Fox_B_predictions,Verizon_Communications_predictions,Viacom_predictions,The_Walt_Disney_predictions
64,[38.67440726],[114.44066763],[54.46731195],[74.83483329],[49.64954296],[51.62517303],[30.05085526],[29.38267393],[52.53328121],[38.85127718],[109.45470453]
65,[38.50997954],[114.59174187],[53.8737914],[73.88982915],[49.27848409],[51.91468993],[29.79401509],[29.07162056],[52.64939458],[38.39666151],[107.4444148]
66,[38.49139117],[114.5217204],[54.35161653],[74.42086193],[49.70420519],[52.90474924],[30.03027922],[29.25872735],[52.53265225],[38.66585071],[108.15849876]
67,[38.61911702],[115.95798193],[53.50255048],[72.0156995],[49.42623621],[52.58949995],[29.89627642],[29.19658027],[52.75636255],[38.58912952],[107.98945709]
68,[38.73090207],[116.40349011],[54.07846689],[72.87890894],[49.83723613],[52.84086869],[30.27029271],[29.51842013],[52.23546299],[39.76690304],[108.21803916]
69,[38.68115526],[115.9357338],[54.02199604],[72.10614344],[50.30084045],[52.11214872],[29.7859548],[29.20493406],[52.37178378],[39.6862009],[107.42183983]
70,[39.12628028],[116.14443695],[54.33486001],[72.83045875],[50.22815432],[51.83638586],[30.05463984],[29.54460353],[52.72105097],[40.2156701],[107.68237592]
71,[38.8804168],[117.01006374],[54.10970003],[72.95290104],[49.9203709],[51.32585072],[29.9706708],[29.47232213],[52.44212177],[40.20900323],[107.16562597]
72,[39.19649861],[121.64295779],[54.92734115],[74.34383033],[50.91617575],[52.12318082],[30.28553177],[29.79547072],[50.07961569],[41.08250267],[107.98282156]
73,[39.22465109],[121.99150402],[56.18663687],[75.71933713],[51.87851721],[52.61961294],[30.2896507],[29.77502334],[49.76068733],[40.87213172],[108.13876716]
74,[38.94790162],[122.1357722],[56.00460055],[77.33350687],[51.5139048],[52.13038395],[30.99180006],[30.56057083],[49.17266328],[41.85618757],[108.08901473]
75,[39.00136568],[120.83605175],[55.60857303],[76.06178043],[51.3166577],[51.91031281],[31.26807219],[30.8077637],[49.67681416],[41.84795258],[109.36926332]
76,[39.05358232],[120.87362393],[54.84979746],[75.53962023],[50.291535],[52.2431678],[31.36994954],[30.98771518],[49.3042004],[42.43688673],[110.94860674]
77,[39.09584099],[121.13899225],[54.36188644],[74.7720313],[49.02424077],[52.91406262],[31.35913735],[30.97544341],[48.99968644],[42.01935326],[110.65027547]
78,[38.93629687],[121.11557449],[54.3287998],[75.48722203],[49.24048671],[51.80701568],[31.5932669],[31.20506578],[48.33986922],[41.57210757],[111.28071096]
79,[39.24828247],[121.36667637],[51.35891344],[74.46769028],[48.1806041],[51.98332082],[31.44497647],[31.14370578],[48.30816383],[41.51490445],[110.48286385]
80,[39.3730569],[121.50852154],[51.83800005],[76.44141873],[48.74671851],[52.60141976],[31.40040037],[31.09361391],[48.59513259],[41.85152252],[110.23108545]
81,[39.21278238],[121.31020032],[51.87592779],[76.61974162],[48.35229506],[51.9646334],[31.04630762],[30.71505835],[48.02956906],[41.75925756],[109.61030012]
82,[39.53606122],[122.38903643],[51.68353177],[77.05822731],[49.69088444],[51.85417638],[30.47791541],[30.17549054],[48.00069284],[41.62453898],[109.03023245]
83,[39.52887493],[122.95698372],[51.47087353],[76.45900968],[50.67789822],[51.85875339],[30.20783355],[29.82561417],[48.36912806],[42.03123317],[109.1277541]
84,[39.71863323],[123.59538468],[52.6113098],[77.52602541],[50.66249384],[52.51741071],[30.11453772],[29.70996075],[48.84620032],[43.9140246],[109.61308125]
85,[39.83185483],[123.49318612],[52.89861858],[76.92135744],[50.83824316],[51.94017363],[29.92224409],[29.66667722],[48.95273321],[43.50834821],[109.38018073]
86,[39.75523161],[123.49753428],[53.53327057],[77.64923816],[51.38142262],[51.32299008],[29.73293586],[29.5011705],[48.52759237],[43.43126607],[109.7401291]
87,[39.79136941],[122.91858508],[53.89935858],[78.28888049],[50.83248251],[52.14810141],[30.29779086],[30.0101342],[48.2614166],[44.18523655],[110.36993684]
88,[39.95589714],[124.40516167],[53.88568043],[79.14347434],[51.13738602],[52.73307764],[30.68627511],[30.3038827],[48.09970129],[44.56077393],[110.18929463]
89,[39.93248637],[126.57421824],[53.6276638],[79.16797823],[50.71060319],[46.76308044],[30.52341471],[30.10447683],[48.48907389],[44.08731292],[110.75737156]
90,[39.60822389],[131.84124084],[52.92266263],[78.8791232],[48.20569529],[46.85734835],[30.34252405],[29.91451859],[49.19385759],[43.9419266],[110.03552605]
91,[40.21997039],[134.59778841],[53.35486458],[79.22268668],[48.28880604],[46.88356634],[30.51646753],[30.01759244],[49.42198611],[44.65602764],[110.00877162]
92,[40.48453947],[134.8512546],[53.47343812],[79.66658455],[48.67092478],[45.58294256],[30.45382362],[30.13652475],[49.63692719],[44.41075471],[110.16759637]
93,[40.45320831],[134.18845415],[53.57550602],[78.58291928],[46.84692624],[43.11152445],[30.34838255],[30.01421354],[50.31325859],[43.80975106],[109.76215868]
94,[41.12821011],[133.8355315],[52.47406196],[78.49544836],[47.77284782],[42.53237343],[30.60135943],[30.22086658],[50.63519295],[43.84775699],[110.42922839]
95,[40.87797186],[132.8003343],[52.66378494],[79.37761413],[47.9108892],[42.77130453],[30.41542176],[29.99342176],[49.92333533],[43.39423837],[110.27808202]
96,[41.18794979],[132.61485097],[52.41671557],[78.62783451],[46.480491],[41.37452913],[29.92848134],[29.38036403],[49.606007],[43.43244355],[110.13657207]
