,Abbott_Laboratories_predictions,AbbVie_predictions,ABIOMED_predictions,Agilent_predictions,Align_Technology_predictions,Allergan_predictions,AmerisourceBergen_Corp_predictions,Amgen_predictions,Baxter_International_predictions,Becton_Dickinson_predictions,Biogen_predictions,Boston_Scientific_predictions,Bristol_Myers_Squibb_predictions,Cardinal_Health_predictions,Celgene_predictions,Centene_Corporation_predictions,Cerner_predictions,CIGNA_predictions,The_Cooper_Companies_predictions,CVS_Health_predictions,Danaher_predictions,DaVita_predictions,Dentsply_Sirona_predictions,Edwards_Lifesciences_predictions,Gilead_Sciences_predictions,HCA_Holdings_predictions,Henry_Schein_predictions,Hologic_predictions,Humana_predictions,IDEXX_Laboratories_predictions,Illumina_predictions,Incyte_predictions,Intuitive_Surgical_predictions,Johnson_Johnson_predictions,Laboratory_America_Holding_predictions,Lilly_predictions,McKesson_predictions,Medtronic_predictions,Merck_predictions,Mylan_NV_predictions,Nektar_Therapeutics_predictions,PerkinElmer_predictions,Perrigo_predictions,Pfizer_predictions,Quest_Diagnostics_predictions,Regeneron_predictions,ResMed_predictions,Stryker_predictions,Teleflex_predictions,Thermo_Fisher_Scientific_predictions,United_Health_Group_predictions,Universal_Health_Services_predictions,Varian_Medical_Systems_predictions,Vertex_Pharmaceuticals_predictions,Waters_Corporation_predictions,WellCare_predictions,Zimmer_Biomet_Holdings_predictions,Zoetis_predictions
201,[49.616692],[70.5209375],[146.46778113],[60.14118149],[171.02204877],[253.1571644],[94.12815632],[174.52611617],[60.67872352],[202.33959898],[286.97075384],[27.05650034],[55.32281467],[77.59377024],[134.12006133],[82.6844007],[64.58648148],[174.10239383],[246.46081264],[79.5777968],[81.47816183],[65.48090078],[62.65955622],[115.48393537],[75.99053296],[80.97350651],[183.10187111],[44.19468676],[233.29799915],[167.65392991],[175.05528255],[136.65882891],[940.60157853],[131.75654753],[160.12529002],[83.24679476],[162.49179753],[84.32598997],[64.02443226],[38.75627279],[22.94463517],[65.9698766],[74.4513762],[33.16337149],[109.53865337],[509.99360226],[77.41194772],[147.94673153],[209.92719003],[176.0195798],[191.29707052],[111.87937001],[97.78370444],[154.06861835],[174.25373084],[180.19415844],[123.9253522],[62.25135295]
202,[49.20715841],[69.88977401],[148.12022964],[59.88555666],[168.61541268],[252.45293545],[94.15397249],[174.69893889],[60.47133191],[201.79674337],[290.14558831],[26.70130177],[56.84878281],[77.30910074],[135.42656407],[79.61764926],[64.50090829],[173.65309643],[244.02357808],[80.04472359],[81.5287332],[64.76491492],[61.98890638],[115.20061759],[75.95580776],[80.35399974],[182.34289185],[44.28182577],[231.30010234],[166.5523707],[173.79709847],[132.77586641],[939.93067315],[132.75261789],[158.80279301],[82.5643726],[161.96267832],[84.04823824],[63.86519477],[38.92584629],[21.90377417],[65.94060872],[74.8860418],[33.16745288],[108.48152489],[491.00269149],[77.15942765],[147.08844386],[207.38950203],[175.80297889],[191.94450642],[111.31675916],[97.20454425],[151.62498311],[172.92783234],[177.23394437],[121.30531892],[62.45068748]
203,[49.1600348],[70.3766201],[146.75376712],[59.95977037],[168.71221369],[252.49517544],[92.94663217],[174.24958629],[60.74868572],[201.47016116],[291.35123424],[26.5502166],[56.12345002],[77.36520462],[135.27104918],[80.41959706],[64.83831975],[173.09814274],[245.8690002],[79.69728408],[80.87115443],[64.14958223],[61.51695235],[115.36839628],[75.61291383],[79.49151015],[181.56110941],[44.07802582],[230.8420018],[154.64073851],[172.5620956],[129.30581695],[941.43482286],[132.56861738],[160.65604607],[82.36309839],[161.24462953],[83.66568669],[63.89054747],[38.65016452],[20.6425046],[66.32064448],[74.09453175],[33.06633261],[108.42061621],[472.54962494],[77.54248858],[148.10703767],[204.56392818],[175.5545456],[192.37419762],[111.08995059],[97.97203577],[153.79792737],[175.56174979],[178.30879269],[120.37846493],[62.34994939]
204,[49.24954555],[70.7037067],[146.48271593],[60.18072206],[169.67047343],[250.29461568],[90.98081447],[174.21157918],[59.48123183],[201.0622509],[287.66129851],[26.54444973],[55.25894557],[71.36681101],[134.87056375],[81.89384323],[64.03820614],[174.83712098],[244.19774164],[79.72699731],[81.25986558],[58.55454433],[61.18403694],[114.26128569],[75.84094142],[78.97659971],[179.63986382],[43.72495083],[241.59771637],[150.91163957],[197.1099678],[125.3983387],[934.18025529],[132.16017583],[159.95893421],[81.98032204],[159.67399044],[83.32754156],[63.46264893],[36.89547358],[20.41782516],[66.75965394],[72.15602444],[32.90823107],[108.05910543],[477.2872092],[72.49380516],[145.11029296],[202.91860173],[176.42055486],[192.98947347],[108.76287712],[98.2218025],[157.96128276],[176.61331856],[179.4230018],[117.71097569],[61.70849118]
205,[49.17064377],[71.00079312],[148.09810933],[60.36813014],[168.65967634],[250.56500687],[81.55444403],[174.34828991],[59.54050597],[199.08909494],[286.14417108],[26.76568903],[55.48319973],[69.6028392],[135.78915204],[83.14278003],[63.58886082],[176.04997322],[245.15318204],[78.7233446],[81.31412894],[58.69213754],[61.41499482],[116.60150912],[74.40996179],[79.10387759],[179.35075665],[39.9922857],[249.1576523],[154.57902494],[198.33611103],[126.14310282],[934.11088923],[133.33678374],[160.63426302],[81.99518653],[155.48930577],[83.37454122],[63.56376144],[34.70930127],[20.0753504],[66.37020844],[68.18596881],[33.48093885],[107.70103906],[468.84115614],[73.62854237],[146.40887134],[216.86309492],[175.86768247],[194.71024409],[108.64028445],[97.08245555],[154.62470777],[178.13684434],[182.46455928],[117.22418187],[62.23723166]
206,[49.26251392],[70.9897612],[151.00893625],[60.142076],[170.22302877],[242.67755396],[80.33566914],[173.95381537],[59.85446773],[197.20403093],[288.58886796],[26.83993275],[55.95155682],[69.19707743],[136.62228736],[82.37820817],[63.05687122],[172.6731898],[243.86829278],[78.03423582],[81.02327917],[57.90384015],[61.67251914],[116.19213425],[73.18828044],[79.02895249],[178.85233986],[39.48453543],[245.30570474],[152.74766044],[195.15325692],[129.38139208],[932.12957948],[133.31541475],[158.71976142],[82.32051314],[154.66680907],[83.74420843],[63.14152202],[32.95688763],[19.95298235],[64.28814221],[67.4810198],[33.62051636],[107.07510722],[469.89833274],[75.30729254],[146.58255834],[214.73539207],[176.39164299],[194.91422668],[108.17884905],[96.59643387],[154.1707878],[177.80848824],[173.50337975],[117.90439976],[62.15133095]
207,[48.88306502],[71.50064842],[155.51179214],[60.12058912],[172.76530237],[240.23068191],[80.34016017],[173.71514852],[59.70529182],[196.87011158],[289.30575912],[26.54687181],[56.93125864],[69.46455709],[135.2347834],[82.67627254],[63.20799484],[175.75750174],[243.76081724],[78.47799763],[80.30496515],[56.97917901],[61.49298573],[116.14579252],[73.36254316],[78.1948916],[174.60875389],[39.16339154],[250.43350906],[154.26096196],[196.33150138],[131.33238349],[934.84957438],[132.39674063],[157.63191111],[82.0328064],[157.20682749],[83.88067265],[62.40651676],[31.88744471],[19.56718257],[64.04603445],[66.67225276],[33.2677822],[106.35647206],[468.39217662],[74.52600538],[146.33101902],[213.87180625],[174.19564581],[194.923474],[107.59271916],[96.0045942],[153.01728578],[176.92381593],[174.35890826],[115.06286509],[60.40314492]
208,[48.78958529],[72.02320013],[155.67022581],[59.69084436],[176.00898493],[238.23879106],[79.85986834],[173.63952961],[60.07380609],[198.3029273],[288.61271762],[26.57826561],[57.37845674],[68.01215981],[135.47299081],[82.77239952],[62.53679139],[177.99641505],[242.82597599],[79.42745629],[80.28149702],[56.54534185],[55.9600577],[116.3384813],[74.0762826],[78.00044574],[170.28616239],[38.53049187],[255.66577899],[154.49847546],[199.5324247],[130.27050459],[944.3553044],[133.10905234],[157.85798533],[82.51746374],[154.38752587],[83.9683562],[62.54688759],[32.20861319],[18.68135978],[64.2962363],[66.50939478],[33.45241791],[106.53581703],[475.51939172],[74.14684474],[145.35068137],[210.29165332],[173.46723062],[194.84794348],[106.90819069],[96.2721732],[152.93167061],[176.88730512],[174.15860876],[112.99175425],[60.81535429]
209,[48.05687198],[70.48928048],[150.37992268],[58.63153898],[171.72897036],[232.74185407],[77.33003967],[169.20803206],[59.68920485],[198.62978561],[281.16016093],[26.3129322],[56.58334389],[67.2928905],[130.38675427],[81.46064123],[61.60720136],[175.44374267],[240.09247062],[79.20537466],[79.40363325],[56.13849702],[55.52280657],[114.1339181],[72.61911811],[77.91190369],[167.56328949],[37.36059574],[251.37314486],[151.15800683],[195.12192497],[121.6216644],[930.71379851],[133.21255769],[156.69985587],[82.12284344],[151.07825797],[83.0779428],[62.22728142],[32.34549911],[17.88536164],[63.0208127],[77.24465861],[33.39255976],[105.74475771],[459.24143868],[72.61407349],[144.00000708],[204.13758925],[171.89941168],[192.75951625],[105.57192398],[96.62046613],[148.4850628],[175.91001872],[172.15084528],[110.0674221],[59.90773613]
210,[48.57694023],[70.70229653],[151.81289073],[59.32679314],[173.60348219],[233.21015063],[79.91610211],[169.53902546],[59.82314607],[200.52074985],[284.02395576],[26.44424529],[56.75760309],[67.00105908],[130.65184826],[82.15715936],[62.07286669],[174.63434555],[241.2593932],[79.35537728],[79.84555962],[56.5473913],[55.30343103],[114.62535971],[72.30013838],[79.41620456],[170.59887408],[38.27549443],[250.0810713],[152.94835611],[194.28507504],[124.09708039],[941.61482392],[133.22826569],[156.33441157],[81.27891695],[150.05668493],[83.70976729],[62.42359046],[30.90807116],[18.22178369],[64.04624511],[78.1485448],[33.28464073],[106.13178658],[467.02452314],[72.68338921],[144.32528779],[205.38524757],[173.29354031],[193.20978987],[107.55058998],[97.68719268],[153.69596083],[177.09047431],[172.82486969],[111.66735885],[59.86095764]
211,[49.08094751],[70.75809001],[154.54934031],[59.65559998],[174.19998875],[232.80096485],[80.10565668],[171.56011949],[60.23388581],[201.74100347],[286.43573197],[26.67308571],[57.60717293],[66.80117606],[133.05059539],[82.99867087],[62.98873885],[176.34109413],[243.34807438],[79.28440205],[80.59755912],[56.90034574],[54.40525778],[115.78921636],[72.8735493],[79.47018555],[169.52114079],[38.4647112],[250.72119861],[155.59374055],[194.74133697],[126.14785484],[965.35890728],[133.38577238],[156.57642365],[81.47848891],[149.12298995],[84.47452378],[62.66522657],[29.59734902],[19.25750459],[64.02916118],[76.8548922],[33.30630177],[106.44802166],[474.7659589],[73.73639439],[146.1211605],[208.92832929],[174.03335348],[193.91895219],[107.61373937],[98.32092101],[155.08521643],[179.54253869],[174.39777364],[112.41712391],[60.54838624]
212,[48.84835918],[70.42690701],[154.54612174],[59.45167045],[177.04031673],[231.46342094],[79.95333861],[170.33589697],[60.81341651],[201.42270559],[287.57232084],[26.51552511],[57.8725656],[66.40295777],[131.56605672],[82.85547783],[63.50838537],[179.12088563],[243.09693226],[79.18209098],[80.53760143],[56.94232244],[54.05795506],[114.7809381],[73.23640773],[79.21544612],[168.44821231],[38.1982594],[246.82381664],[154.70776736],[194.25954081],[127.44820905],[986.30489457],[133.50415086],[156.91541308],[81.81013653],[149.19374042],[84.63028551],[62.51334796],[30.10607913],[19.47001558],[64.19141461],[77.47722934],[33.38479132],[106.67149523],[474.00345836],[72.48564067],[147.54104636],[209.51432551],[173.72095624],[194.74395837],[108.23414734],[99.1689519],[153.17729778],[179.4833459],[174.11434003],[113.04535077],[60.99514181]
213,[49.79680303],[70.41543683],[154.88540448],[62.01449806],[178.99510506],[227.9077857],[79.87021027],[171.31422678],[61.41183053],[201.16317102],[293.65279167],[26.66610752],[57.5046312],[65.99193446],[131.285098],[82.86926863],[63.92527567],[179.91870097],[245.01747506],[79.21684994],[81.43447565],[57.32493381],[53.49214723],[115.61179226],[73.26113263],[78.89766446],[170.17953197],[38.20180084],[247.53143933],[155.04295427],[194.24849744],[124.35876968],[989.90646036],[134.18722886],[156.5019791],[80.79956434],[147.67556382],[84.5957321],[62.70523395],[30.52726716],[19.4814259],[64.68428867],[78.36347493],[33.37159421],[106.78102991],[467.32139884],[72.74145357],[147.46420126],[214.95981327],[175.34079888],[193.94796411],[108.50824386],[99.67272264],[150.81562711],[182.2176008],[174.75869959],[113.13870905],[61.43882933]
214,[49.28338877],[69.85026416],[153.91407268],[60.86884724],[170.75093902],[224.9745482],[80.10560496],[167.71631608],[60.82127805],[199.20260576],[284.2931399],[26.64624324],[56.7663245],[65.19516785],[127.52223038],[83.62171328],[63.34571152],[178.11394878],[245.09868294],[78.94389569],[80.90324579],[56.55554526],[53.18069143],[113.56653991],[72.2469464],[77.97074525],[169.53541873],[37.97500842],[247.99168846],[152.04086454],[191.32814546],[121.47997875],[972.60400568],[133.11868133],[154.68975763],[77.98073984],[146.80270195],[83.6719296],[61.87894267],[30.61945892],[18.45864372],[63.6461934],[77.40519195],[32.91937175],[105.57406863],[463.81703918],[72.81430535],[145.3588753],[211.86689701],[173.09737827],[192.82713582],[107.37053013],[99.3342413],[148.49206473],[180.33294124],[175.80705742],[112.44832945],[60.99280503]
215,[48.78677126],[70.01571492],[152.58936821],[61.17967141],[169.05855905],[224.29754077],[78.56884475],[167.6591714],[60.84945191],[197.79625585],[281.85355999],[26.8953597],[56.43810662],[64.42116003],[127.66298759],[83.51289324],[64.19605181],[177.13344355],[245.10627672],[77.78341211],[80.84220043],[56.23249469],[52.90431562],[113.1949452],[72.12249742],[77.6878723],[169.76261771],[37.45564003],[247.29528616],[150.51271588],[189.56785121],[121.19000188],[983.13412171],[132.72335915],[154.04421161],[77.21874068],[146.02820444],[83.44537858],[61.56673854],[30.64213678],[18.08728379],[63.49229907],[77.25528517],[32.68090533],[105.00665734],[468.96737924],[73.13630019],[144.33269733],[210.95261051],[172.75056192],[191.031009],[108.01299211],[100.42927659],[148.17525574],[180.06696427],[173.63654029],[111.41043527],[60.85923839]
216,[48.84632259],[70.66734458],[153.53181091],[61.58857117],[168.43835593],[223.22761296],[77.94734093],[167.93536012],[61.07136761],[199.40932827],[283.94053056],[26.88748478],[56.65127679],[64.35548776],[127.53662718],[84.23941815],[64.96068422],[178.05407226],[247.92421762],[77.6074954],[81.0822405],[56.4978354],[52.81872615],[114.38114088],[72.68574018],[78.35478398],[170.72972761],[37.67394807],[249.60987423],[150.49361471],[190.68303829],[121.11454835],[983.91912959],[133.35361301],[153.92431076],[77.53206768],[146.10116883],[83.58337153],[61.99173638],[30.40383929],[17.80122517],[64.1642217],[77.49180072],[32.78232668],[105.03270599],[470.28567625],[73.44819162],[145.23338422],[211.33781974],[173.88929804],[192.25107204],[107.8681935],[101.24912237],[149.20906189],[180.2264637],[174.32185607],[112.78058942],[61.28797962]
217,[49.77234064],[71.76256009],[155.0796882],[62.8365541],[171.53753281],[223.97012691],[79.26875154],[170.35700534],[62.16395217],[200.8327575],[286.8728006],[27.19452774],[57.68495543],[65.34997128],[130.37504612],[86.21794586],[65.43273994],[179.87998876],[249.04014136],[77.75477124],[82.46939095],[56.76379517],[53.76778166],[114.24031793],[73.42539059],[78.88574634],[171.23009501],[37.62910492],[253.55734136],[152.95568299],[194.8214147],[124.39549593],[996.37028888],[134.82627757],[155.537195],[78.30217394],[148.1767746],[81.92929858],[62.42146403],[30.73363521],[18.61529521],[64.98326913],[78.45292911],[33.19832571],[106.73914884],[479.22779758],[74.55866908],[145.68197872],[213.25945302],[176.71811845],[194.97680977],[108.52966052],[102.54071174],[155.93422833],[182.92222799],[172.07748335],[113.92081659],[61.58240599]
218,[49.64788474],[71.52797167],[153.00246449],[62.8058119],[173.24667318],[222.25430177],[78.20696609],[168.91991015],[61.47636626],[197.86645328],[282.18895197],[26.86975824],[57.84719713],[65.56807468],[129.22315623],[85.70011122],[64.72783859],[179.47633249],[246.43696755],[77.69402483],[81.80379514],[56.67919608],[53.2089914],[112.62871783],[73.64642273],[78.84210947],[170.64036238],[37.21524511],[251.96715236],[153.57293138],[193.76998684],[123.75767487],[988.34249362],[132.9365933],[153.78288079],[78.02382803],[147.22991686],[79.93454865],[62.15694561],[30.27176053],[18.29155836],[65.08389555],[77.37107264],[33.23322619],[106.76929125],[476.66692341],[73.86933728],[138.62537176],[208.04672401],[175.92757285],[194.44668216],[107.93317642],[100.96483586],[153.83186247],[179.99057426],[170.09778287],[112.33434279],[61.42079689]
219,[49.37464269],[72.15961575],[149.28514913],[62.62187529],[174.84189749],[223.86771793],[78.18241078],[170.00486249],[61.51439127],[197.7757571],[285.29987748],[26.74546272],[58.18913849],[66.02632026],[129.91862691],[85.94634227],[65.00000442],[179.88318351],[245.92710235],[75.55846339],[81.73930271],[56.92640904],[54.74791844],[112.85495571],[73.92779482],[79.1681561],[171.0981445],[37.56572095],[251.91897889],[152.49917845],[194.06920049],[124.06467227],[990.04705355],[132.8624767],[154.42363323],[78.76150447],[146.81112091],[79.38420388],[62.69233297],[30.2430073],[18.63039285],[65.18942851],[77.44390116],[33.22123323],[106.66395706],[485.6182676],[73.89897274],[139.16633933],[207.77082606],[176.01704112],[194.75575674],[108.64768681],[101.26611751],[155.84326],[181.08109266],[169.92577529],[112.94796275],[61.42430179]
220,[49.33884558],[72.45905597],[148.20808495],[62.81422705],[173.33779788],[221.74364958],[78.00452479],[169.68781223],[61.47335728],[198.63165789],[285.29515927],[26.7354143],[58.35162999],[66.06315618],[129.53003101],[85.93679015],[65.26897789],[179.35921916],[246.20134039],[75.31209423],[82.14772914],[57.22502325],[54.78193997],[111.83389258],[73.74171822],[79.49578353],[171.49228286],[37.92634949],[253.35203826],[151.07030808],[192.12354632],[121.4081073],[979.9730536],[131.67877462],[154.79166853],[78.80787894],[147.5765305],[79.2621244],[62.90500857],[30.47870403],[18.67264804],[65.33297796],[77.3163124],[33.37698856],[107.01413418],[477.12369238],[74.21404342],[139.93122717],[206.87769277],[177.09954072],[194.32135495],[108.88932962],[101.99734349],[153.00779386],[179.59375562],[169.03417362],[113.13274425],[61.37991715]
221,[50.3055227],[73.38378599],[148.33102079],[63.39557515],[174.55268698],[224.1864088],[78.86590415],[172.00959892],[61.59604012],[199.46808343],[292.11740583],[26.99451976],[58.59391001],[66.42435505],[131.52834835],[86.34159761],[64.69210545],[180.56998162],[247.75079016],[75.41716555],[82.3881058],[57.29959448],[55.18023907],[113.22359952],[74.72480466],[79.19838292],[169.80580789],[37.49487356],[255.21511014],[150.58875778],[197.13498497],[123.72217549],[985.66056817],[131.96046926],[153.46297443],[78.90452632],[148.30194471],[79.78958108],[63.30278295],[30.84680198],[19.17673812],[65.71290814],[78.24244266],[33.46781105],[107.12821034],[479.96166442],[75.59170599],[139.8542758],[207.84655894],[178.42654872],[195.16806568],[109.104775],[103.00923892],[153.46263828],[180.23886445],[168.48452369],[112.92024664],[61.55626548]
222,[50.15613708],[73.8787649],[145.63516514],[63.50106],[174.60540073],[223.46987478],[78.43741706],[172.1454155],[61.42542321],[199.01471095],[293.27046595],[27.05929935],[58.86281484],[66.40246852],[132.35763898],[86.2573085],[65.21679884],[180.16806822],[246.38513852],[76.15963955],[81.98413097],[57.05718202],[55.7322887],[111.79037017],[75.76755139],[77.67991286],[168.69114086],[37.78540952],[255.7859895],[150.43805073],[195.92686896],[124.98887667],[989.03402365],[132.07835253],[152.90082714],[78.57019863],[147.22641369],[79.82790126],[63.10543002],[30.48077474],[19.18909372],[65.89915008],[77.59389904],[33.50656628],[106.88509885],[478.60850132],[74.91702848],[139.72540599],[205.84347562],[180.42450757],[196.79763208],[107.08987466],[102.79349384],[152.756793],[180.23637336],[167.62316481],[112.86794932],[61.52760929]
223,[50.12250087],[73.97061817],[147.46846712],[63.86672403],[174.49109196],[224.04619281],[78.36494729],[173.8177676],[61.46913936],[197.89246918],[303.23765168],[27.083972],[59.38777594],[66.50806682],[134.19116799],[86.43914275],[66.16329136],[179.79058727],[246.41720196],[76.30740733],[82.12556853],[57.51997388],[55.60773716],[112.76165385],[81.33038773],[77.52785371],[169.54920372],[37.92733238],[254.30260142],[152.74732466],[199.92629255],[139.20011883],[996.38169613],[131.25959392],[153.93299157],[80.43117825],[146.6829191],[79.8901015],[63.13102325],[30.56682936],[19.54080275],[66.20895425],[77.41647677],[33.43597032],[107.27182607],[488.5518277],[75.57434187],[139.36836945],[207.71314915],[182.78952232],[196.00972242],[106.73256333],[103.79540861],[156.60691106],[181.14745702],[169.99772207],[113.01816858],[61.91139868]
224,[50.92698079],[75.32414139],[150.63907276],[64.64534986],[176.92261555],[229.46003353],[80.24911784],[177.67245913],[62.04616026],[199.49310959],[316.17405098],[27.50482339],[60.49018028],[67.40363526],[138.74100407],[88.81412481],[67.841897],[182.14522169],[250.96782031],[77.27201764],[83.36885468],[58.550239],[56.62787073],[113.75734611],[83.5738446],[78.77896356],[173.42927821],[38.62365415],[257.92985279],[155.47431223],[204.09821899],[137.08783733],[1005.66663535],[132.27141644],[156.91550363],[81.25463826],[149.21786062],[80.5907377],[63.83475116],[31.44628344],[21.03008476],[67.00770951],[78.91046753],[33.95820289],[108.30431858],[496.85862467],[77.56997292],[141.40130568],[211.74521641],[186.89519513],[198.8460332],[108.09733981],[106.14566149],[160.89666658],[183.27849463],[174.52488317],[114.28199773],[62.58408296]
225,[51.21321567],[75.41583353],[151.06854992],[64.36772669],[176.36520024],[227.61880151],[80.42947191],[178.84116297],[62.24141513],[199.31504435],[320.20285435],[27.50428731],[59.8693889],[67.80764581],[139.14999235],[88.63398497],[68.29460403],[183.14421643],[235.78537485],[77.86576575],[83.21120433],[57.83640386],[56.64107562],[113.30169388],[83.36401044],[78.79079457],[173.55988702],[38.475106],[258.97296534],[154.97505995],[207.28272601],[138.3563541],[1007.27498048],[131.09572161],[157.56035943],[80.1458523],[149.42627812],[80.05474002],[63.81379023],[31.56131347],[21.70400437],[66.99753781],[78.7125398],[33.92668916],[108.24524526],[504.31638455],[77.53949059],[141.08833834],[210.85090392],[186.06610351],[199.70298289],[109.06019276],[105.46203984],[162.67083636],[183.04159163],[175.19981704],[114.33755202],[62.84703659]
226,[51.04430776],[75.35187811],[150.43653204],[64.26572342],[179.00805655],[223.75862804],[79.65901882],[176.88991429],[62.20266975],[200.24195193],[315.13642981],[27.56772803],[59.85489294],[67.52874035],[139.05976826],[88.57273468],[67.51604421],[185.33299454],[241.19248213],[78.66290259],[82.99481986],[57.21888533],[56.48369603],[111.83512802],[82.15085051],[78.25013567],[172.6329477],[38.92775391],[257.47698566],[155.75809011],[207.1979565],[133.75554811],[1021.42755269],[130.11762183],[156.91577931],[79.76948165],[147.81312637],[79.83262307],[63.63529436],[31.58578414],[21.76380096],[67.21499612],[77.96356582],[33.80790401],[107.56441593],[493.41913661],[76.53540885],[141.69267562],[211.10645379],[186.09744026],[199.36232589],[108.03392636],[105.96057159],[158.89410965],[183.00643038],[175.96433684],[114.30731895],[63.14835453]
227,[51.18113707],[77.03212528],[151.76879406],[64.64507835],[177.29638756],[223.57047994],[80.64157911],[178.33752154],[62.53710881],[199.1893603],[317.72908931],[28.14764139],[59.84818832],[68.55127713],[139.83239975],[88.35587958],[67.52142822],[182.14592028],[240.15985352],[79.76875199],[83.95224798],[57.46906086],[56.95819008],[112.37613825],[83.22808893],[77.25693209],[172.38618785],[39.04726567],[257.11274989],[157.03741942],[207.39416237],[135.88445338],[1023.39341641],[130.44480397],[158.34267131],[80.62041519],[151.91274088],[79.86963543],[63.98988961],[32.1699938],[21.68525752],[67.58979606],[78.25938667],[33.98054652],[107.34234079],[500.12255572],[77.6677846],[141.12017913],[224.91086092],[189.14204954],[198.371728],[107.5181075],[106.71098728],[156.50883301],[183.94622892],[171.45399498],[115.65408164],[63.37213748]
228,[51.51827281],[81.78909829],[153.98085517],[65.10841943],[179.33770828],[228.35759118],[82.94868175],[180.82273066],[62.8299856],[199.64100956],[324.57279368],[28.5135962],[62.9104129],[69.0760464],[141.565656],[89.08366414],[69.02760014],[185.07225038],[245.18765518],[80.41088527],[85.04240229],[57.36971928],[57.84541625],[112.43745013],[85.803381],[76.57870263],[174.58722417],[38.91241089],[256.7525628],[158.11796237],[210.15434543],[134.2645001],[1036.16804224],[132.31496244],[158.16308271],[81.59561489],[155.77831396],[79.99184318],[64.30478223],[31.88787066],[22.58967171],[67.83657563],[82.08794202],[33.98212236],[107.36591623],[471.49860445],[78.84095211],[142.24944329],[227.20551847],[190.59870003],[198.24836855],[109.93202679],[105.60246614],[159.2866121],[184.98281966],[172.68028711],[115.65840965],[64.65721743]
229,[52.04739954],[85.4428],[156.76120817],[65.0440208],[181.71544039],[233.68665278],[82.60681012],[180.88433691],[63.30059878],[203.76278476],[326.09481878],[28.75536985],[62.51860108],[68.41254108],[140.43945749],[89.56942027],[69.46562254],[184.55863812],[252.15162637],[79.79911511],[86.58834494],[58.27978442],[58.49560128],[113.23457104],[85.07128965],[77.19513483],[175.30212323],[38.81014324],[256.71301363],[157.50473897],[209.79038835],[129.68661039],[1043.64453914],[131.12378119],[157.65386393],[82.76346512],[156.85290711],[82.01577353],[64.27203907],[32.12052532],[22.3622725],[67.67007409],[82.58165061],[34.13136223],[107.58540146],[472.85649356],[79.82916715],[142.51951865],[233.63978983],[191.67767284],[197.97887942],[110.42826188],[106.25875144],[159.43178303],[186.45724146],[172.39328839],[115.77395476],[64.6879702]
230,[52.45421425],[87.24316418],[157.63869798],[66.03820892],[183.45186974],[232.03084546],[84.34464324],[186.41217168],[64.3336893],[204.04640106],[325.99847091],[28.90313796],[62.80424982],[69.63971538],[140.8060412],[90.51642729],[70.46496411],[186.36077681],[253.11106308],[79.68483695],[86.91793817],[59.770987],[59.31920001],[115.20541858],[84.26208614],[78.42644137],[177.57320031],[39.22752493],[257.39884492],[160.28634596],[212.34076777],[124.88841157],[1045.65282297],[133.06239673],[159.15293612],[82.59508233],[159.16093706],[81.56456467],[65.09545783],[32.96826702],[21.84578984],[68.31952767],[84.9504832],[34.31031811],[108.21280738],[444.45525035],[81.31609381],[143.73133656],[233.3804223],[193.45585563],[199.76045613],[112.36361105],[107.22512483],[157.98112207],[188.91493291],[176.12920853],[115.82559648],[65.25375936]
231,[52.25711198],[87.95544823],[157.95622506],[66.10605647],[185.78569172],[230.99603128],[84.08060586],[190.93844999],[64.16907913],[202.09342106],[329.71478539],[29.00174906],[62.9737233],[69.4986805],[141.92754221],[90.8790158],[70.95930539],[185.66644973],[250.0635494],[82.20077209],[87.13848022],[60.22301065],[59.43743976],[114.64827097],[84.46354593],[78.71590133],[175.94028461],[38.19854789],[255.18876901],[159.12754181],[213.82405744],[123.25933895],[1045.44665699],[132.64279242],[158.81927988],[82.19992558],[156.55059204],[82.24163445],[65.40836282],[33.61512001],[21.8713706],[68.57132349],[88.83357169],[35.43946068],[107.65010926],[447.13285805],[80.77432602],[143.5382584],[235.62785763],[194.09000245],[197.72629374],[112.25850182],[107.87962208],[156.62023917],[189.92882585],[175.43130769],[116.44546934],[65.37288997]
232,[52.01143376],[88.71940537],[158.62604446],[65.45213015],[183.87998447],[226.35820671],[84.56373538],[190.06343502],[64.63682661],[196.17651328],[324.23129685],[29.07799402],[62.51142316],[69.3318839],[141.23766196],[97.94731923],[70.53651049],[187.62570146],[246.3953551],[83.13458657],[87.19286038],[59.7343479],[59.09681312],[111.6877908],[83.89088818],[78.77088991],[169.47979717],[37.61201242],[251.59786965],[159.00302762],[213.64059547],[124.17434455],[1043.18205093],[132.74035911],[155.40090562],[82.47515489],[157.58960974],[81.84772354],[65.4378003],[33.53590598],[21.83777794],[68.55606743],[88.44110967],[34.95728627],[107.03401841],[437.22186362],[79.56492966],[143.07717106],[233.91541306],[191.73928592],[198.46256174],[111.70530884],[107.58099181],[156.89969147],[189.72572609],[174.5342896],[115.90722089],[65.3730817]
