,Alaska_Air_Group_predictions,Allegion_predictions,American_Airlines_predictions,AMETEK_predictions,A_O_Smith_predictions,Arconic_predictions,Boeing_Company_predictions,C_H_Robinson_Worldwide_predictions,Caterpillar_predictions,Cintas_Corporation_predictions,Copart_predictions,CSX_predictions,Cummins_predictions,Deere_predictions,Delta_Air_Lines_predictions,Dover_predictions,Eaton_Corporation_predictions,Emerson_Electric_Company_predictions,Equifax_predictions,Expeditors_predictions,Fastenal_predictions,FedEx_predictions,Fluor_predictions,Fortune_Brands_Home_Security_predictions,General_Dynamics_predictions,General_Electric_predictions,Grainger_predictions,Harris_predictions,Huntington_Ingalls_Industries_predictions,Ingersoll_Rand_predictions,Jacobs_Engineering_Group_predictions,J_B_Hunt_Transport_predictions,Johnson_Controls_International_predictions,Kansas_City_Southern_predictions,L_3_Communications_Holdings_predictions,Lockheed_Martin_predictions,Masco_predictions,Nielsen_Holdings_predictions,Norfolk_Southern_predictions,Northrop_Grumman_predictions,PACCAR_predictions,Parker_Hannifin_predictions,Pentair_predictions,Quanta_Services_predictions,Raytheon_predictions,Republic_Services_predictions,Robert_Half_International_predictions,Rockwell_Automation_predictions,Rollins_predictions,Roper_Technologies_predictions,Snap_on_predictions,Southwest_Airlines_predictions,Stanley_Black_Decker_predictions,Textron_predictions,TransDigm_Group_predictions,Union_Pacific_predictions,United_Continental_Holdings_predictions,United_Parcel_Service_predictions,United_Rentals_predictions,United_Technologies_predictions,Verisk_Analytics_predictions,Waste_Management_predictions,Xylem_predictions
178,[90.82312049],[81.46418717],[48.80294618],[60.51384842],[56.73653693],[24.05186272],[199.76895533],[67.68096389],[104.34595034],[129.59938848],[31.44184395],[53.12942508],[159.24565422],[123.45644302],[52.87374062],[78.94427933],[76.87851635],[59.14840976],[139.60997075],[55.90804971],[42.64311695],[215.47748664],[44.5628071],[65.96351578],[200.16706999],[27.63647588],[177.66661843],[110.89556834],[186.46328208],[91.02998958],[53.6565304],[87.55528238],[42.29802456],[102.76901221],[166.46564177],[279.7200809],[38.92842023],[38.74008742],[119.56241665],[256.14578183],[63.27405518],[157.71366922],[65.73040978],[32.30767437],[161.97271422],[64.12515539],[47.70703619],[161.51540003],[41.8893148],[232.51122336],[156.56838899],[61.8343164],[142.52075587],[45.6310825],[268.37187201],[107.90103645],[77.06487657],[111.06224791],[106.32408386],[121.88641418],[83.29177849],[73.47886444],[54.70647912]
179,[89.09898537],[80.59213392],[48.51363889],[60.10156433],[56.27448452],[21.76522238],[198.94646051],[67.34194526],[104.00136591],[126.08126957],[31.27077179],[53.35900159],[158.37556149],[122.05800142],[52.89470484],[78.09446561],[76.46290164],[58.64269066],[138.35627218],[55.77660158],[42.0904527],[214.48722224],[44.97550079],[65.50615203],[199.17319055],[27.21110446],[174.82095068],[109.35821047],[187.14957483],[90.55336579],[53.61085922],[87.76161588],[42.17674379],[102.12485779],[166.01317156],[278.04707025],[38.27440247],[38.8603549],[119.05959781],[255.67804477],[62.83660184],[156.23801274],[65.12130049],[32.20034404],[161.35810004],[64.03490999],[47.53889643],[159.44764677],[41.21111321],[230.34595521],[155.07382099],[61.55520056],[140.72606179],[46.47348583],[265.54131353],[107.28342595],[76.06145568],[109.63356798],[105.87268166],[121.57350233],[82.82774249],[73.15071177],[54.53641093]
180,[88.49941684],[81.3021053],[49.30885798],[60.59984196],[56.5019303],[23.26411849],[199.87483125],[67.35749935],[106.46753334],[126.79945233],[31.50508261],[54.55143714],[161.55067848],[123.64742692],[53.88838085],[79.19973304],[77.34138712],[59.0279058],[139.74930752],[56.18135818],[42.45781885],[217.11335944],[45.28261815],[65.84042117],[200.8292781],[27.09869731],[176.91464015],[110.54234756],[187.45127442],[91.66492437],[54.23766728],[91.52081942],[42.82290255],[103.39274503],[167.96318558],[280.20091658],[38.77902818],[38.95039454],[120.83822713],[257.65464641],[65.28755112],[157.85579123],[66.05170879],[32.2529299],[162.66994564],[64.24145078],[48.10409723],[160.55574722],[41.09814782],[232.26212035],[155.88529598],[62.04256617],[141.46352018],[47.00244117],[267.59862015],[108.69904265],[76.76728161],[110.03967591],[108.54164267],[122.50269689],[84.00538413],[73.53021061],[54.96571651]
181,[89.10494489],[79.81520505],[49.69691252],[59.98072894],[55.9429582],[23.1440723],[197.11334367],[67.52786357],[105.70522652],[124.51197946],[31.41498424],[53.9489933],[160.08668797],[121.88408124],[53.88391763],[78.76474322],[76.62430587],[58.34229455],[137.00443037],[55.98461592],[42.52444556],[215.41238162],[44.97273744],[64.9866539],[197.07844439],[27.01765136],[179.00273912],[108.87646235],[185.3335744],[90.36781609],[53.52809852],[91.00453365],[42.58537096],[102.35075946],[166.31792355],[276.79388301],[38.01681994],[38.51557057],[119.41604227],[255.28240402],[65.21589021],[157.36129533],[65.55883713],[31.86765033],[160.44544049],[63.36186435],[47.78935026],[158.88803199],[40.42812054],[230.11617771],[156.44253514],[61.85262909],[139.73068241],[46.68992317],[265.12758311],[107.80374312],[75.48328587],[109.79577323],[109.65016346],[121.63434673],[83.27932302],[73.06574073],[54.93621865]
182,[89.70783383],[81.28578571],[50.38165439],[60.63156246],[56.36154032],[22.58057298],[198.05356957],[68.66307435],[107.42764234],[126.05616581],[31.77152359],[54.54500463],[162.27910446],[123.71621129],[53.74234776],[80.1723512],[77.91749008],[59.67778249],[137.7255494],[56.43665938],[43.56075043],[217.40515747],[45.67444145],[65.24116979],[198.43882008],[27.01583231],[180.55422],[109.15533122],[186.1712186],[91.48117341],[54.35783936],[91.45470897],[43.27846039],[104.74635295],[167.0446885],[277.93542774],[38.22076649],[38.63618014],[121.79823735],[256.81210981],[65.93963741],[159.97704906],[66.54962638],[32.84297383],[161.72694239],[63.69660481],[47.91374326],[162.19976102],[40.78122642],[231.58405767],[158.15670319],[62.187082],[140.98617324],[47.07783589],[269.18323824],[108.85703861],[75.29588397],[110.61961472],[112.82619276],[122.21766823],[84.44044118],[73.36845153],[55.44014866]
183,[90.13812643],[81.33690302],[50.42775567],[61.17169429],[56.52593216],[22.87345382],[198.78769996],[70.02342783],[107.01131471],[126.07973564],[31.81848237],[54.56197136],[163.07230057],[125.01188837],[54.11465591],[81.90305891],[78.23064322],[60.25709556],[138.19308947],[56.97438292],[43.99893449],[217.428045],[46.46544483],[65.42910454],[199.33679132],[27.47501134],[185.16234813],[109.70929642],[191.62389437],[91.4245613],[55.20887061],[93.26448595],[43.29741628],[104.71737071],[170.50385541],[278.89501764],[37.99334749],[38.4329104],[123.34914118],[257.73931236],[66.86969397],[161.24040281],[67.04868099],[32.69692719],[162.45641852],[63.83749321],[48.70443039],[162.71730676],[40.29181969],[232.274202],[158.96443353],[62.13455398],[141.7893939],[47.68096736],[265.16445075],[109.92643267],[75.14718688],[110.62949454],[113.24001044],[121.97159742],[84.12023337],[73.41711989],[55.47623917]
184,[91.23940667],[82.30414861],[51.3179532],[61.25163947],[57.21996805],[23.02537805],[202.02346744],[68.73078085],[107.41545514],[126.23118278],[31.62023955],[55.07273497],[164.04812107],[125.53227809],[54.38730895],[81.56966945],[78.76976284],[59.32127521],[139.80862416],[56.93282557],[44.16329776],[218.48543442],[46.15882288],[65.46181879],[201.23177836],[27.33266307],[183.99846774],[110.81551456],[193.46337255],[92.25519335],[54.87430948],[93.27010766],[43.49844831],[104.24894721],[171.53945878],[282.69216277],[38.14728857],[37.9996469],[122.58668],[260.59726158],[66.27664483],[161.29470209],[66.57927555],[32.66526395],[164.78766547],[64.02465231],[48.77074762],[163.57879097],[40.93312918],[235.3364714],[156.99064199],[63.17914282],[143.15336689],[48.05169933],[268.54528792],[108.19928462],[76.64886066],[110.5086675],[114.31952833],[122.8912708],[84.33019679],[73.75023402],[55.00226227]
185,[91.41092056],[80.47783182],[52.1435374],[61.18168041],[56.55340897],[22.92287411],[201.46627744],[67.66992279],[106.53791694],[123.96084992],[30.4325791],[54.69207351],[164.09778351],[125.08696938],[54.38489437],[81.99941478],[78.43591729],[59.05817123],[137.06855915],[56.1842948],[44.01350386],[215.10383189],[45.1203939],[65.08910734],[199.02300635],[26.28914697],[180.91746696],[110.31474274],[191.65235377],[92.17821741],[54.13300662],[92.30420709],[43.0836211],[103.05215335],[169.39954568],[281.18975023],[37.71731029],[37.53438172],[121.31752435],[259.17672151],[67.15250597],[159.17529516],[65.52287537],[32.77083866],[163.63738097],[63.64687778],[47.96280614],[162.61401572],[40.26450792],[233.2601009],[154.07220794],[63.42640571],[142.40323106],[47.48397343],[263.60882029],[107.73210541],[77.74037755],[109.20887757],[112.29194798],[121.85086667],[83.45498369],[73.44125539],[54.40460854]
186,[93.88636709],[81.33639564],[53.11755491],[61.53846453],[57.26688635],[23.12673031],[202.53088531],[67.94205617],[106.86283695],[126.00854568],[30.93259295],[54.85099535],[164.54240191],[126.6643066],[55.48603079],[83.01496536],[79.34117963],[59.38161707],[138.59341342],[56.88286636],[43.87712166],[218.47327132],[45.25231246],[65.89923118],[201.36703175],[26.18328518],[179.09748723],[112.99425325],[192.55002161],[93.30748291],[54.74094217],[93.65353834],[43.10336946],[104.44395275],[171.37643733],[285.45691851],[38.43041042],[37.52765588],[122.37786197],[261.96278501],[67.54195026],[160.71317636],[66.59944395],[32.98747827],[166.02830447],[64.06282851],[49.13657258],[164.39402642],[40.96291667],[234.52816723],[155.64077565],[64.27892193],[144.77493042],[48.01101189],[266.91457109],[108.28883202],[78.9273892],[110.36887314],[112.55412263],[122.68675461],[83.7362675],[74.00614994],[54.93210333]
187,[92.91078931],[81.57686275],[52.6690724],[61.68983002],[57.18437127],[23.86049661],[204.15180567],[68.31101045],[107.89954579],[126.60199913],[30.85849565],[54.93299748],[164.98788258],[128.12555064],[54.83781377],[83.30430754],[80.40118902],[59.80555814],[139.04723262],[57.21937336],[43.75059812],[219.0053413],[45.33824466],[66.47224793],[201.02917122],[26.02354071],[178.09514963],[113.91071918],[193.06351196],[93.78351866],[54.75977998],[92.69083769],[43.41252606],[104.58380654],[170.193181],[285.5447322],[38.76259165],[37.50991432],[122.96195381],[261.89463892],[68.42459311],[163.49941963],[66.87329875],[33.39379763],[165.92035034],[64.36788477],[49.42358839],[164.63307597],[40.81581091],[234.90445472],[154.38478697],[63.23006958],[145.73464404],[48.49027869],[270.51821671],[108.42721516],[78.20317224],[110.25998507],[113.52321517],[122.9686108],[83.47807049],[74.01839631],[54.66673755]
188,[91.76828096],[81.61247394],[51.52603452],[61.64135373],[57.1812144],[24.02808112],[206.27920006],[68.66650012],[108.28174096],[125.97954486],[31.04971731],[54.20942951],[164.7563354],[127.98637249],[54.30688417],[83.1107654],[80.49517323],[59.8491629],[138.98635871],[57.46367106],[43.59329757],[217.75769249],[45.2825266],[66.60082813],[200.31282131],[26.41596094],[176.43088892],[114.82863069],[195.09864883],[92.9612492],[54.62026729],[91.47862354],[43.08801254],[103.96326675],[169.70812449],[286.71514104],[38.80793227],[37.18613234],[122.5073689],[262.8583057],[68.45040347],[163.40898009],[66.60727553],[33.41342766],[166.67324671],[64.30012876],[48.41178058],[164.23246231],[40.7680335],[235.49618003],[153.87429942],[61.85046066],[145.3667225],[48.76745092],[270.95061334],[108.49865478],[76.9061583],[110.06721289],[113.68558296],[123.65068135],[83.52539931],[73.91683984],[54.37787874]
189,[94.57151646],[81.94389273],[53.9360702],[62.22672173],[57.43880053],[24.12882944],[206.44566705],[68.85132553],[108.99604166],[127.17079946],[31.20151037],[55.12939196],[165.304663],[123.36826433],[55.55967504],[84.29245423],[80.46498633],[60.03635431],[139.95032777],[57.18495619],[42.71403577],[218.27833485],[45.48372665],[66.79542242],[201.03029856],[26.59640876],[168.32669149],[115.80121139],[199.58318146],[93.53193292],[54.68832852],[91.92928709],[43.38261239],[105.08563578],[169.57070758],[286.43858749],[38.70281646],[37.87982236],[123.41449707],[263.96229738],[68.46814063],[163.71346118],[67.3514925],[33.7326195],[167.06132617],[64.43320499],[49.12551299],[165.69337717],[41.22702228],[237.51687676],[152.87450745],[62.1163949],[146.09380639],[48.83812939],[274.53970115],[109.12941236],[80.69414188],[110.57129626],[114.40459183],[123.71157455],[84.58581158],[74.19131668],[55.2682877]
190,[93.75741999],[80.78980939],[53.91851482],[61.73488319],[57.50074114],[24.43269457],[206.2694481],[68.75068539],[108.47289815],[126.56752208],[31.18431955],[54.90749435],[165.14345928],[124.64983529],[54.54164674],[83.70485163],[80.22219645],[59.75845137],[139.02878335],[57.10582943],[43.19587251],[218.06906516],[45.16667934],[67.28424939],[200.26626693],[26.79376409],[170.05670959],[115.20755296],[198.60370247],[92.80676289],[54.17373733],[91.16693993],[43.57286622],[104.98596749],[169.00825576],[286.83805229],[38.84660922],[38.19839347],[122.55828211],[264.07245158],[68.23211861],[164.67363462],[66.68482781],[34.33552989],[166.21505157],[64.3539202],[48.99250134],[165.64334072],[40.86879096],[236.67095158],[154.37510421],[62.02930097],[146.21380885],[49.16687007],[275.01042853],[108.78060121],[80.2562911],[111.17952615],[114.77571918],[123.06767828],[84.36903173],[74.03784648],[55.86961113]
191,[92.77207022],[80.84205084],[54.22998106],[61.94798935],[57.44538495],[24.38071653],[208.77437102],[69.43015108],[108.73477456],[126.52105391],[31.09506871],[55.08171408],[165.88827902],[125.5655467],[55.1175502],[84.25818314],[80.62608268],[60.16573088],[139.89428874],[57.28579918],[42.86036007],[219.16033537],[45.11376433],[67.13497547],[201.41668809],[26.76458189],[171.88784664],[115.30216128],[198.17807522],[92.88002044],[54.34983988],[91.90686786],[43.84845285],[104.82692015],[172.01345729],[288.26180951],[38.93208795],[38.61436229],[124.05710652],[264.94039147],[68.63057747],[165.13295198],[66.49742134],[34.22669069],[167.15207632],[64.4726154],[49.04731443],[167.4067787],[40.81136599],[235.94034102],[156.05316274],[61.99055992],[146.34628884],[49.63061592],[282.03074433],[109.46972696],[79.74527289],[112.43313644],[117.2799956],[123.41315287],[85.45732557],[74.29574415],[56.14077878]
192,[92.04928658],[80.87109179],[53.88632785],[61.8337433],[57.60426072],[24.93802673],[208.8836608],[68.87604038],[108.85715354],[126.27850109],[31.11484818],[54.70864821],[166.11742173],[125.86300711],[54.69389963],[84.39170491],[80.19615283],[60.33747164],[140.10528467],[57.59774999],[42.54417227],[215.60190694],[45.38187756],[67.08285714],[200.09062005],[26.80769039],[172.19065303],[113.50035748],[197.97335413],[93.08889473],[54.50583851],[93.61001695],[44.09354922],[104.18417056],[172.21287307],[288.65438374],[38.75659408],[38.95257935],[123.52030195],[264.93203705],[68.24758067],[165.97425481],[66.5361398],[33.81522444],[167.00543532],[64.66135776],[48.61468755],[166.20407727],[40.85900473],[236.64075312],[159.31724787],[62.22059232],[146.68687877],[49.55089361],[282.00989397],[108.97236555],[79.77288443],[112.01953113],[117.80619833],[123.0568308],[85.18821913],[74.52444265],[56.71145202]
193,[90.94499451],[80.73291223],[53.11071453],[61.43604456],[57.32233886],[24.90615259],[208.21298169],[69.50853146],[107.06521353],[125.53855056],[31.10681382],[54.64661376],[164.85675217],[126.23023768],[54.00870394],[84.46360343],[80.26289871],[59.81208974],[141.66793408],[58.74920617],[43.3929497],[211.05027257],[44.7533087],[66.77988206],[201.68895715],[26.87913763],[174.30362266],[113.8498694],[197.37610431],[92.48673502],[52.29004068],[92.05948564],[43.98460762],[104.22284395],[170.12513255],[286.97858706],[38.59590607],[38.92224666],[123.26351383],[264.42991809],[68.46809406],[165.21395117],[66.23903974],[33.08448154],[168.04883439],[64.85815207],[48.34643454],[165.56480981],[41.37408401],[234.35584459],[156.89119125],[61.62171346],[146.28065284],[49.55058861],[280.567734],[109.2032801],[79.04102486],[111.78499714],[117.55662448],[122.69437421],[85.90737137],[74.82695574],[56.4757417]
194,[90.31427594],[80.69139245],[52.59358988],[61.64366573],[57.58843661],[25.0756351],[211.29951971],[68.67566946],[107.83150092],[126.11649904],[31.39956573],[52.08847696],[164.66392752],[126.30306886],[53.82499738],[85.13241511],[80.34427267],[60.58787551],[142.7607641],[59.07385677],[42.66553375],[212.73365288],[45.44130938],[67.11275125],[202.28020209],[26.93205794],[161.51244144],[114.41586308],[198.65820098],[93.26287336],[53.37217612],[91.73971266],[44.12680169],[103.54575341],[171.8377208],[290.80725195],[39.03101945],[38.56695849],[120.68823437],[264.99386761],[68.53610639],[166.76752974],[66.10279978],[33.32545418],[168.99298604],[64.77779792],[48.46766873],[167.31667932],[41.3876262],[235.94813672],[157.45861139],[61.45781188],[147.83657779],[48.69218761],[285.99308238],[107.77569501],[74.22459915],[112.99873868],[118.77589289],[123.06649263],[85.96808755],[74.96407087],[57.06682135]
195,[89.09421848],[81.14486843],[52.3558933],[61.12364089],[56.66726973],[24.76269722],[210.06121215],[65.15676688],[107.38382919],[126.81430821],[31.51145267],[50.82151328],[164.43356358],[125.5723581],[52.89211781],[83.15884134],[79.59255838],[60.26055294],[142.90077856],[58.97327926],[43.11036142],[212.0237094],[45.11918395],[65.72973776],[202.67008812],[26.6782072],[166.22567531],[114.1990634],[199.34821124],[92.18006206],[52.49871376],[91.44583326],[44.1153498],[104.11243153],[177.49422197],[289.72999668],[38.32100572],[38.89863113],[118.48660814],[264.96028819],[68.55730204],[165.96215501],[65.1018278],[32.78940336],[168.8537476],[64.80296607],[48.67796291],[166.88367084],[41.25612113],[235.03293484],[149.98408308],[60.46225611],[146.74421928],[48.61530617],[283.86320554],[106.1285182],[72.17232403],[112.59956562],[122.56004057],[122.42885154],[86.297736],[75.04995599],[56.96578346]
196,[88.31324931],[80.43472869],[51.92357134],[60.96111407],[55.96915388],[25.19578368],[212.36804932],[65.67673462],[106.60664143],[137.87047303],[31.5413718],[51.57848938],[165.33578789],[125.8115553],[52.27957698],[82.82516867],[78.9583246],[60.0546313],[143.87179141],[58.96406434],[42.32605608],[212.63436004],[44.95890666],[65.86544604],[204.57847258],[25.89115308],[164.79423934],[114.04636211],[201.5998684],[91.70827528],[52.28679586],[91.53275693],[44.17713048],[105.20935186],[177.03876721],[289.47334055],[38.31936349],[39.36638533],[117.91836616],[265.50039661],[68.87435065],[164.57174655],[64.76272176],[33.06049405],[169.49976769],[64.92336336],[48.43286941],[165.22739024],[41.37170919],[234.90805463],[149.5928278],[60.3062599],[146.92363911],[48.49149963],[286.7293182],[104.81513841],[71.82692821],[112.66323934],[119.22673617],[123.58387266],[86.50618156],[75.40164906],[57.63003977]
197,[87.00908199],[80.3355253],[51.26957122],[61.20730651],[55.28316534],[25.23291498],[212.27647973],[65.71518248],[108.22496761],[138.4549407],[31.80575607],[50.83332137],[166.51972744],[126.61705665],[51.56039208],[83.94998814],[78.60335828],[59.96243983],[144.45552958],[59.10807797],[43.10247589],[212.68881313],[44.6903235],[65.74519114],[204.98874951],[25.44069496],[167.13740776],[114.00777218],[201.83672474],[91.00891775],[52.20562864],[91.59132926],[44.01414043],[104.90697438],[177.88982622],[290.32124101],[37.75475813],[39.7903796],[117.50386815],[265.43322549],[69.12321667],[164.25108541],[64.61847036],[33.63044412],[169.49546027],[64.58945419],[47.19923214],[163.99050313],[41.53060738],[234.9650629],[147.44234621],[59.86614399],[143.80029124],[48.80991408],[286.76008568],[103.61901322],[70.5663309],[112.14135257],[118.61407158],[123.0587988],[87.1381497],[75.15076004],[57.74455823]
198,[87.15666517],[79.098657],[50.59143871],[61.79879104],[55.04619215],[25.90097143],[212.41666307],[66.16464938],[114.66929577],[137.38899206],[31.89400353],[51.52196279],[167.69001732],[127.92757289],[51.16252883],[84.42491813],[79.41378051],[60.44019468],[144.76736414],[59.59629944],[44.02780225],[214.47698882],[45.62468536],[65.97547486],[203.83270669],[25.46087141],[168.53440628],[115.01104815],[203.70922287],[90.46125937],[52.96785945],[93.42636428],[44.16482878],[104.31156367],[177.45085486],[289.90747848],[37.73158158],[38.6114728],[119.13756465],[264.26409751],[68.64830769],[166.11358715],[63.2603284],[34.14421478],[169.68596823],[64.96354402],[47.7979051],[163.24414484],[41.62322946],[233.75470066],[150.52545415],[58.86135918],[142.42194282],[49.31687905],[287.80073398],[104.8754869],[69.47437123],[113.2386112],[121.16279813],[120.49296781],[86.85914506],[75.66028262],[57.28312853]
199,[87.63982542],[78.59508491],[51.06137052],[61.52941739],[54.18410504],[25.61656146],[235.37602686],[65.90275338],[113.67806289],[137.028113],[31.71493114],[52.08700658],[165.93718883],[127.79262601],[51.13009888],[83.34128181],[79.04255874],[59.79807205],[146.2952843],[59.67222759],[43.90923383],[213.75022617],[45.33379659],[65.95634241],[194.73164472],[25.61581175],[166.10297908],[115.24420771],[203.50432456],[86.87407348],[52.88241105],[93.67682683],[43.36319223],[104.2034702],[175.58262126],[290.09536917],[37.6722071],[39.90830529],[116.39694146],[263.9566676],[68.57152536],[164.88644861],[62.39955916],[33.82352617],[169.00077071],[64.868442],[44.40083946],[163.01255303],[43.55571367],[233.75989042],[150.79644384],[59.5619233],[140.42753174],[49.15426628],[286.10798383],[104.29659041],[70.3265575],[112.31135888],[119.95990813],[119.47680679],[87.08165623],[74.74521247],[56.90386073]
200,[87.9456173],[81.35083578],[49.99570966],[61.62801364],[53.91272962],[25.03851848],[240.78523486],[65.46911435],[114.25707535],[135.83339961],[31.87118658],[50.18446065],[165.72963794],[128.45873111],[50.07805098],[83.74888624],[78.53031738],[59.90320881],[142.34782723],[58.68263121],[43.75802067],[207.65433281],[45.46263949],[65.77109349],[194.06731209],[25.82072288],[167.35597298],[113.93677811],[202.87566485],[87.72649708],[53.08197456],[90.87614616],[40.15061062],[101.4659459],[176.00777671],[288.23645908],[38.28788699],[41.04663176],[112.99557239],[260.98683804],[68.17903819],[164.07681348],[62.56935438],[33.91119481],[169.6348707],[65.38478123],[43.81067366],[165.13464816],[43.22460014],[232.18153734],[155.23619676],[56.66231405],[141.3913055],[48.53924498],[282.64615109],[101.35903484],[68.10067497],[107.69775565],[121.06025764],[118.52574071],[87.16881272],[75.43879241],[56.88524662]
201,[86.33305567],[81.47057164],[50.51317204],[61.81947387],[54.27587995],[24.97690069],[241.36062515],[65.26196243],[114.00550464],[135.74192131],[31.95462758],[49.97533169],[167.10187082],[128.90898964],[50.33438995],[83.94714067],[78.34797041],[59.47158621],[145.47279155],[58.76757379],[43.49867902],[207.89000075],[44.51800881],[65.67924997],[197.78495653],[25.51993787],[165.08484333],[114.56158413],[205.61302408],[88.4869755],[52.34986341],[90.30238907],[39.58889544],[103.33470584],[176.37572207],[290.55536905],[38.600945],[41.70934598],[114.40167056],[264.11769739],[68.21701496],[164.64081201],[63.38075605],[33.56442191],[171.94990525],[64.45675732],[44.88293869],[164.51759008],[43.50996388],[232.42349584],[152.83381629],[56.556896],[140.23558624],[49.19683853],[282.78852782],[103.25607253],[67.89460318],[109.67003435],[119.74278113],[118.99937891],[87.3548027],[74.85966089],[56.9576849]
202,[85.34367834],[81.18252521],[50.50179721],[61.58919256],[53.55792652],[24.85717124],[243.30381799],[65.61609934],[113.75579021],[135.00899255],[31.48580124],[49.35148711],[167.96712541],[128.22412057],[49.38834087],[84.03073653],[78.27231145],[59.63944069],[145.46516591],[58.96880789],[42.98830523],[208.05133117],[43.35809421],[65.68894943],[196.8675378],[25.61864213],[166.86134687],[114.44078807],[206.26309288],[88.04968341],[52.64567235],[90.57486931],[39.11889002],[103.05678925],[175.14092268],[292.24408192],[38.15073447],[42.94232028],[112.44090686],[263.47550885],[68.48173559],[166.1763969],[63.15239912],[33.69433902],[171.76015994],[64.22891206],[45.313312],[165.11344302],[43.35664553],[232.47662415],[153.87312385],[55.56381879],[140.97092863],[49.14210297],[282.4035005],[102.84498334],[67.76366757],[110.41140999],[118.93874113],[118.5736023],[87.26504761],[75.1594582],[56.76621491]
203,[85.53746549],[81.31145019],[51.11336869],[61.64701159],[53.73157199],[25.15199253],[238.45145438],[65.02378766],[113.14615765],[135.61413559],[31.63036486],[48.62110965],[157.79179684],[129.10292395],[50.07357537],[83.57213552],[74.22172074],[59.97111943],[146.42553751],[58.84533732],[42.99886407],[206.90458726],[43.91126905],[66.16845911],[196.71499482],[25.4186446],[169.5883443],[115.88883693],[206.84920591],[86.59436473],[53.27782311],[89.50674244],[38.79407244],[101.30466313],[174.45190416],[292.96447414],[38.35856696],[42.8030758],[113.06410534],[264.95776528],[67.1050452],[164.65378014],[62.43995641],[34.43849459],[171.71561428],[64.57958598],[45.10257688],[163.47498752],[43.45904414],[236.3602393],[152.62633062],[55.67593996],[139.61897657],[49.42916892],[283.49895827],[101.92824096],[67.93563433],[110.21903847],[116.57646827],[118.9617226],[87.19213571],[75.23983039],[59.19517906]
204,[85.63869261],[80.9913231],[50.46244354],[64.23945718],[54.40489117],[24.92752909],[237.79445627],[65.63639634],[113.07104592],[135.1541282],[31.24763014],[48.15355744],[158.06258519],[128.98339975],[50.01128955],[84.26648234],[74.07944886],[61.05226881],[145.45511949],[59.11316216],[42.98273942],[209.46347656],[43.86901546],[66.2871662],[197.75519536],[25.52879249],[169.9976946],[116.30433808],[208.1976624],[87.09478653],[53.3820881],[89.73054491],[39.47997641],[102.17159892],[174.93758185],[294.91469002],[38.28880605],[43.20262797],[112.58508352],[266.82077463],[67.48845273],[164.22479278],[62.62532345],[34.23057309],[173.79838393],[64.64198936],[44.50004954],[165.32433638],[43.50199534],[235.84504148],[152.82139587],[55.77830323],[141.65346535],[49.37768792],[282.66867596],[102.23505791],[67.43814393],[111.24521406],[115.04659888],[120.35634196],[83.78621743],[75.29205937],[59.98801182]
205,[84.96105042],[80.83057771],[50.53650494],[64.34388596],[54.28284546],[25.31892157],[238.40465156],[65.6829425],[113.61740563],[134.32816993],[30.98588713],[49.17349139],[157.73168562],[129.5371291],[50.56496433],[86.43820565],[73.47840987],[60.67021822],[144.91042089],[59.55668452],[42.58016071],[209.49210254],[43.89816487],[65.1167517],[199.59244628],[25.76660806],[169.20689986],[117.01703327],[214.0292867],[86.68440065],[52.67301597],[89.26344769],[39.5168587],[101.98272159],[175.44319513],[295.91361652],[37.99660845],[42.92028697],[113.42964399],[269.02632406],[67.62497421],[165.25475297],[62.81972401],[35.65808836],[174.03869083],[64.80989769],[44.49676601],[165.50559493],[44.02939425],[236.43784411],[152.90926107],[56.12818569],[142.32138107],[49.05349715],[280.36904057],[102.48334696],[68.23802737],[111.50605252],[116.37362302],[121.1469274],[82.44971858],[75.63446696],[59.65937008]
206,[85.83633664],[81.3747365],[50.85771415],[64.63000777],[54.90746716],[25.17334353],[237.67990868],[67.21276499],[114.41302574],[135.04033586],[31.2916957],[48.82227301],[160.84861861],[129.79419972],[50.61129052],[86.52013769],[74.93856888],[61.11799155],[145.57511274],[59.55924554],[43.86101295],[209.46454149],[40.0510993],[65.20230244],[200.16863659],[25.7693049],[170.2823042],[116.78801612],[214.27739779],[88.29540525],[52.3921795],[90.56857546],[39.16044831],[102.45937013],[176.10400165],[297.20733646],[38.35589294],[42.36615653],[114.69793775],[269.43730679],[68.59024539],[164.39455455],[63.18238876],[36.47857043],[174.07368539],[64.76993788],[44.25295078],[165.02572265],[43.90130815],[236.75623217],[152.79113016],[56.64210532],[142.49503479],[49.30280391],[280.70151848],[102.40003391],[68.96519198],[112.04197633],[118.40987175],[121.57842966],[83.10477231],[75.57552876],[59.97350909]
