,American_Tower_Corp_predictions,Alexandria_Real_Estate_Equities_predictions,Apartment_Investment_Management_predictions,AvalonBay_Communities_predictions,Boston_Properties_predictions,Crown_Castle_International_predictions,Digital_Realty_Trust_predictions,Duke_Realty_predictions,Equinix_predictions,Equity_Residential_predictions,Essex_Property_Trust_predictions,Extra_Space_Storage_predictions,Federal_Realty_Investment_Trust_predictions,HCP_predictions,Host_Hotels_Resorts_predictions,Iron_Mountain_predictions,Kimco_Realty_predictions,Macerich_predictions,Mid_America_Apartments_predictions,Prologis_predictions,Public_Storage_predictions,Realty_Income_Corporation_predictions,Regency_Centers_Corporation_predictions,SBA_Communications_predictions,Simon_Property_Group_predictions,SL_Green_Realty_predictions,UDR_predictions,Ventas_predictions,Vornado_Realty_Trust_predictions,Weyerhaeuser_predictions
116,[120.48655877],[110.72873712],[44.38154708],[185.10711182],[131.38540753],[94.53369341],[103.68586039],[25.83103907],[385.33681989],[62.47880026],[233.14456197],[74.78296034],[133.18840805],[31.03843659],[18.18516702],[35.09287461],[22.0823845],[63.97234162],[101.03397198],[50.394152],[222.33177642],[58.90745563],[66.64697908],[118.44016871],[167.81992639],[105.42997925],[36.28358853],[64.8453865],[100.17544446],[33.64067612]
117,[121.09881428],[109.91671531],[44.427088],[183.65335718],[131.25632554],[94.57307176],[105.54674624],[25.8929219],[394.70564258],[62.32805377],[232.22261106],[74.06534834],[133.27780795],[31.02582102],[18.23692304],[35.39890366],[21.92867988],[63.98533131],[102.11767363],[50.63056958],[219.94611818],[59.09490093],[66.50913805],[119.83836161],[170.05760296],[104.72071244],[36.10734312],[64.71138879],[99.71461755],[33.51453164]
118,[120.95861743],[109.86834189],[44.33121344],[183.37044167],[131.48779129],[94.62942972],[105.38436618],[25.97552056],[396.98994563],[62.20366992],[232.63137337],[74.03890911],[133.51084143],[30.9897216],[18.55429409],[35.41740683],[21.97714829],[64.25181597],[101.8536566],[51.23010137],[219.41714091],[58.92964753],[66.53245588],[119.06039513],[170.05789841],[105.15977663],[36.17280624],[64.56213241],[100.40322733],[33.94233801]
119,[121.57886205],[110.54083735],[44.37960015],[183.70109387],[132.4668204],[94.42777184],[106.4793258],[26.28690781],[399.91748522],[62.21782126],[231.62761794],[74.40553157],[133.37802295],[31.31841571],[18.651273],[35.70214479],[22.09017393],[64.42296771],[101.78138976],[51.8402657],[218.97429764],[59.57750248],[66.40619195],[120.34154317],[171.89104029],[106.5702635],[36.28123466],[65.10362267],[100.32105691],[33.978988]
120,[121.20553628],[110.87182383],[44.33972255],[183.60942807],[133.03178659],[94.26440658],[106.11877347],[26.64779367],[401.92375661],[62.16863656],[230.95107677],[75.69825873],[133.90752453],[31.08197766],[18.33797178],[35.32287025],[22.09798096],[64.88993054],[101.809749],[52.24590008],[219.41074023],[59.71988579],[66.48085083],[119.46922181],[174.18509542],[106.85669945],[36.06228882],[65.12170265],[100.92697727],[33.69629748]
121,[120.81965192],[111.27174256],[44.46678207],[184.26307094],[133.83746703],[93.82839829],[105.99173023],[26.68526273],[399.50312851],[62.33519421],[231.0793545],[76.26121031],[133.12602574],[31.0443806],[18.28982987],[35.0922439],[21.89729262],[64.30119265],[102.623249],[52.52107665],[220.4273699],[59.75438444],[66.37215209],[119.54811603],[170.65619273],[107.34156684],[36.21414682],[64.17289566],[101.69892106],[33.99496724]
122,[120.62187588],[110.97854658],[44.67350808],[185.40432461],[134.12635328],[93.71241435],[106.9977804],[27.11580609],[400.15756976],[62.9843334],[231.48206197],[77.53651056],[133.18015075],[31.14414416],[18.27572013],[34.93725681],[21.85782575],[64.23305777],[102.80782133],[52.69146229],[222.45984968],[59.76924037],[66.15541784],[118.93266385],[170.20405812],[107.26749494],[36.15165649],[64.64533167],[100.80872526],[33.95766785]
123,[122.02816866],[112.29915919],[44.89155749],[185.90355835],[134.53503387],[94.43569591],[108.33881971],[27.30391523],[402.54937127],[62.87618583],[232.29322076],[77.76049882],[133.14490821],[31.4324059],[18.5546176],[35.29100135],[21.6788666],[64.16826308],[102.8379614],[53.10757969],[222.73727397],[60.24852461],[66.05687533],[120.18655695],[169.99802861],[108.68112554],[36.05777286],[64.72167778],[101.90491587],[34.43960604]
124,[122.23673321],[111.71325118],[44.94408253],[184.90949777],[134.66410859],[94.60069909],[108.71495795],[27.31874017],[401.97757678],[63.01839732],[233.49049278],[78.16717025],[132.83951689],[31.82947548],[18.26959909],[35.53914353],[21.50211913],[64.06002177],[101.9333367],[53.6075614],[223.71797421],[60.28876715],[66.10074613],[121.29546483],[169.95356738],[107.62699594],[36.17187592],[64.86336803],[101.62295222],[34.91295329]
125,[122.52295108],[112.89050359],[45.01424738],[186.7359694],[135.66365659],[95.00903459],[109.33984072],[27.44611979],[401.16925256],[63.48416002],[235.33844222],[78.8388841],[133.95032297],[31.92828796],[18.43189599],[35.45837068],[21.94051889],[64.83112527],[102.79010069],[54.2284391],[226.04105133],[60.80682829],[66.72270241],[122.15802611],[171.35502983],[108.54682707],[36.37038582],[65.12716382],[102.1034671],[34.7303105]
126,[122.72503944],[113.66370063],[44.82131278],[187.34628373],[136.83131387],[95.81913916],[109.43095016],[27.5962369],[400.12145354],[63.90967573],[236.87902742],[78.74993431],[135.0625674],[31.80962114],[18.57348526],[35.52167193],[22.25560722],[65.43292663],[102.92935625],[54.58999901],[226.49477958],[61.46566202],[67.22770301],[124.07501024],[173.38031805],[109.03256389],[36.53231915],[65.50647099],[102.48002551],[34.66014907]
127,[122.48692172],[113.78116134],[44.22852874],[187.4873312],[136.56042776],[96.54161096],[110.03687064],[27.78396932],[400.19004547],[63.42870597],[234.91011851],[77.9234974],[134.88260205],[31.92206163],[18.37443847],[35.33488634],[22.36090998],[65.35487527],[101.84187529],[54.96376259],[224.27887272],[61.41177648],[67.35949637],[123.05861748],[173.25857333],[109.017428],[36.21451379],[65.65922826],[102.41584353],[34.57380847]
128,[122.61267887],[113.51884353],[44.00093928],[186.63977677],[135.49240037],[95.99418005],[109.6163103],[27.74968783],[399.55071863],[63.27146058],[233.69508358],[78.091577],[134.68710332],[31.90835642],[18.4408162],[35.28521015],[22.33125683],[65.52663966],[101.08557193],[54.5734483],[226.1319626],[61.49013247],[67.32050305],[123.73689869],[173.79353976],[107.81404945],[36.05092129],[65.06860684],[101.26019982],[34.4023246]
129,[124.27930881],[115.196548],[44.64920276],[188.74439341],[136.91104652],[96.23160376],[111.45406023],[28.15238015],[403.54106583],[64.1321194],[236.230252],[80.62115596],[136.48470066],[32.31477504],[18.47555461],[35.90805981],[22.56199117],[65.95687447],[101.77765854],[55.35646872],[231.55557878],[61.87920228],[67.86168604],[124.80778344],[174.66194919],[109.77641687],[36.67303051],[65.92676025],[103.11194793],[35.00014625]
130,[125.01519578],[115.46991604],[44.74574279],[188.7802054],[135.77036887],[96.82211349],[111.98482311],[28.0100672],[403.07247075],[64.37319633],[237.08337676],[80.98016474],[137.09644043],[32.84949481],[18.62675459],[36.56380657],[22.72664476],[66.46820737],[101.98580065],[54.51588798],[231.25875807],[62.12598415],[68.33690383],[125.35476966],[174.83470666],[108.61986144],[36.74856824],[66.8060012],[102.99031417],[34.7487755]
131,[124.72149382],[115.73716533],[44.29559433],[188.11594973],[134.76249572],[96.62693788],[113.14390242],[27.65120699],[404.06475442],[64.28852727],[235.2715329],[80.55638627],[137.48099182],[32.36460761],[19.01168652],[36.22338181],[22.69443233],[66.19167621],[101.43416839],[54.38876747],[229.99143211],[61.99718059],[68.50687398],[125.06826924],[174.43103323],[108.00947407],[36.54219368],[66.37736142],[102.207377],[34.4857981]
132,[124.24541616],[115.94373185],[44.06698814],[187.20171304],[134.71407034],[95.98956681],[113.23761055],[27.62661159],[405.23455429],[64.39192541],[235.15516456],[80.57106099],[137.13562066],[32.54451211],[19.03963593],[36.55347087],[22.59598327],[66.15796283],[101.60549368],[54.53034669],[229.49956406],[62.10957136],[68.45244776],[124.1611919],[174.76560197],[106.79324472],[36.28282032],[65.96946541],[101.54348002],[34.8152677]
133,[124.49659009],[115.53891024],[44.17799554],[186.78098002],[134.45646741],[95.48682472],[112.93298601],[27.76505914],[401.85673865],[64.32803451],[235.68331747],[80.50589787],[136.30720609],[32.50514682],[18.78400964],[36.33468871],[22.2209125],[65.03999367],[101.30517009],[54.38484192],[228.44261492],[61.7710119],[67.48487288],[123.73914507],[172.0607613],[107.7762703],[36.22181698],[65.87283222],[101.61818657],[34.52119969]
134,[123.95844197],[113.1698909],[43.80839581],[186.41576554],[132.8915087],[94.73862608],[111.97639609],[27.45906658],[404.4982697],[64.23339398],[234.38803048],[78.89536255],[133.86613446],[31.96273702],[19.00843616],[36.45675043],[21.56471018],[63.76830433],[101.37494722],[54.35396801],[226.46510386],[60.02102685],[65.24951677],[123.46549268],[168.93311484],[107.04003275],[35.99010898],[64.64934118],[99.7542548],[34.92199501]
135,[123.96521389],[114.34962054],[44.71976579],[189.21607301],[134.05314971],[94.27967571],[112.26584013],[27.46938718],[406.92558136],[64.91275401],[238.36431747],[78.53453822],[134.78488404],[32.02428975],[19.06948466],[36.57332091],[21.70500843],[63.80773512],[101.52137592],[54.87106518],[225.58119619],[59.85372609],[65.19582156],[124.14463532],[168.08009936],[108.27971563],[37.08974674],[64.70145734],[100.5405037],[33.95551766]
136,[122.85767484],[113.67458445],[44.87368475],[188.86103098],[127.41669158],[94.55447569],[111.24375289],[27.44850626],[407.48059372],[65.24880684],[241.14354133],[78.98494173],[132.65347714],[31.56948056],[19.28632021],[36.08882977],[21.13674725],[62.00263376],[101.03164688],[54.4384301],[223.93996403],[59.19078565],[64.10969765],[123.77209054],[165.16269054],[105.99971651],[37.17126242],[63.93842055],[97.5352819],[34.26813014]
137,[125.76343279],[113.06196256],[44.43756631],[188.30270684],[126.22825385],[95.14230933],[113.58710164],[28.00310707],[411.07031631],[64.52397054],[241.47156639],[75.96087214],[133.35853801],[31.48252426],[19.21496883],[34.84143756],[20.66917488],[62.72812695],[97.91157844],[54.96604582],[212.48456262],[59.49138989],[63.93295919],[125.4455686],[167.77014108],[105.19404971],[37.04224169],[64.1187646],[96.49250025],[34.69167167]
138,[126.08960659],[112.39399755],[43.73364948],[189.87621873],[126.81831883],[94.65658487],[114.83676952],[27.72808256],[417.70207737],[64.61254513],[244.49993318],[75.46251441],[130.76078419],[31.29970021],[17.85962571],[34.73481952],[20.26502833],[62.36396258],[99.24372628],[54.36785033],[209.17967582],[58.2127344],[63.17741572],[126.57227995],[165.28913212],[104.88658429],[37.35217719],[63.92675622],[96.20482664],[33.80327817]
139,[127.61931446],[112.95667942],[43.35213651],[191.03523825],[127.26794928],[94.64747768],[114.23878049],[27.73230046],[419.76071369],[64.88938588],[248.15370127],[75.31389257],[133.40061483],[31.44933206],[18.09016556],[35.17179713],[20.44092203],[64.70999723],[99.72513726],[54.85811102],[207.12818329],[58.8832436],[63.55457879],[127.43301458],[168.45869207],[105.68494842],[37.59213605],[63.9677574],[96.3115979],[33.60445249]
140,[127.77552979],[114.67390436],[43.14431579],[191.28953053],[126.977307],[94.33833047],[112.69805833],[27.80446568],[422.43852643],[64.7517709],[248.69031646],[73.55430389],[133.6394734],[31.21471422],[18.51767428],[35.33361699],[20.73771449],[64.91561532],[99.64128071],[54.56086389],[207.21998549],[59.0318188],[64.26958914],[128.93384509],[168.79093658],[106.14032063],[37.43846995],[63.62995305],[96.32053182],[33.6883572]
141,[126.99907446],[113.34765963],[42.83710359],[189.28816336],[124.78465754],[94.12375377],[111.59928195],[27.55865505],[422.76634264],[63.94236403],[247.67201006],[72.75324868],[132.4827626],[30.43263123],[18.21043873],[34.72420562],[20.09986259],[62.05673286],[98.46766602],[53.85987382],[205.37777077],[57.78986927],[63.10577437],[127.80096251],[165.70499594],[105.14636869],[37.23458886],[62.78574142],[94.6633236],[33.19483431]
142,[127.27554849],[114.31596889],[43.21945113],[190.98075116],[123.4400893],[94.79026002],[112.12784626],[27.65636738],[424.18260899],[64.45473769],[250.64021145],[73.27215659],[131.24682769],[29.80389573],[17.92389999],[34.76411009],[19.94766634],[61.68930606],[99.047777],[54.15300287],[207.77307347],[55.64545075],[62.55909951],[128.1176586],[165.21310638],[104.86023283],[37.63329874],[62.67509899],[95.00905488],[33.10924637]
143,[128.79117684],[114.85572199],[44.03180729],[192.78812923],[124.03556385],[96.054178],[114.04087547],[27.90081576],[426.36946354],[65.47688343],[250.60262187],[73.49212893],[132.93401952],[30.08655173],[18.14360199],[35.25668322],[19.93096087],[61.62825551],[100.15095338],[54.67931124],[208.36723408],[56.75818616],[62.7048726],[129.48486241],[164.78102268],[105.5383063],[37.97857634],[63.76693897],[95.71763127],[33.57607281]
144,[129.07939904],[114.91645207],[43.05229476],[191.97519288],[123.67359032],[95.43794374],[113.46025891],[28.18595475],[426.7201959],[64.97451138],[249.94334485],[73.27660237],[130.58980391],[30.09982196],[17.80091075],[34.88483283],[19.42845186],[59.97893214],[99.44547785],[54.80977639],[208.50914718],[55.60030663],[61.51022978],[131.70264265],[162.90416359],[104.79568672],[37.9412776],[63.43622943],[94.58128579],[33.30955227]
145,[128.07691413],[113.44566398],[42.9148921],[192.23067273],[123.19155774],[94.83683425],[114.07926879],[27.87092826],[426.02036291],[64.81578745],[250.56972858],[73.14289665],[130.63671455],[29.8265493],[17.83689204],[34.82979529],[19.51591304],[59.64173569],[98.77305563],[54.16882372],[208.13232712],[54.90091636],[61.55806302],[129.84408645],[162.32709957],[103.47872873],[37.57253758],[62.58393768],[94.3560388],[33.22860316]
146,[127.07584812],[114.62152547],[43.40631891],[192.35246515],[123.05076958],[94.63290633],[114.42743688],[28.02728275],[425.28044539],[65.19579145],[251.46500171],[73.17211332],[131.90346727],[30.42502521],[18.01531798],[35.09334575],[19.63794822],[60.53169138],[98.72880241],[54.70440099],[209.03839498],[55.56228514],[62.97190917],[129.01298593],[165.6879957],[104.21447048],[37.53974453],[64.12471102],[94.88544746],[33.21954072]
147,[126.35429575],[115.18198295],[43.19236461],[191.90194153],[121.28264485],[94.52261715],[113.7277318],[28.03395207],[429.2600226],[64.86823624],[251.44506713],[72.50318558],[129.94631112],[31.02727499],[17.6659925],[34.83715715],[19.23071013],[59.40034162],[98.83117114],[54.61851878],[208.51666838],[54.39826671],[62.24264356],[127.45662851],[161.87736371],[103.51449198],[37.62273952],[64.97980185],[94.00043862],[32.9345706]
148,[126.20832412],[115.98070875],[43.24913885],[192.12742803],[121.0319868],[94.08652343],[115.2814032],[27.69926991],[431.31129269],[64.90551863],[252.75893072],[72.42907523],[125.49363507],[31.33920108],[17.46017115],[34.58133149],[18.90298955],[58.20887539],[98.37842246],[54.38940443],[208.70417589],[54.75786657],[60.71301787],[127.66664073],[157.31194389],[102.70167085],[37.67874691],[65.64779695],[93.27337551],[32.86818712]
149,[127.98868167],[115.82624119],[43.08778086],[192.39204946],[120.6095165],[95.79149811],[115.98020054],[28.15305774],[429.77665963],[64.86285828],[254.06576307],[73.30781874],[126.7115346],[31.0865071],[17.77675779],[34.67986129],[18.93148384],[58.33077683],[99.22581092],[55.02548835],[209.86937603],[54.23312052],[61.00164344],[130.57643519],[156.15962363],[102.66398102],[37.823948],[65.20021541],[93.36027506],[33.11087158]
150,[128.51302995],[115.92103516],[42.63138545],[192.19697932],[120.99982121],[96.07882226],[115.23157825],[28.16093811],[427.70421557],[64.56226923],[254.45511246],[71.77082904],[122.70701083],[31.01264644],[17.68507462],[34.942551],[18.13011884],[57.35171364],[98.74488196],[54.81639687],[208.11416505],[53.2086507],[58.96066751],[131.13215825],[154.40713324],[102.28698089],[37.66386515],[65.17046401],[93.10227331],[33.11364058]
151,[130.74986316],[116.60284843],[42.91007198],[191.13978014],[120.4695995],[98.20267384],[115.26437497],[28.51131963],[427.35172071],[64.3752117],[253.88527556],[75.5053013],[123.26351717],[31.41655612],[17.62623639],[35.27689025],[18.21720133],[57.48068092],[99.38089694],[55.39760961],[213.27598572],[53.76487873],[60.31509089],[134.30817],[154.14125219],[102.00800335],[37.42151551],[66.45037264],[92.4903223],[32.75196376]
152,[128.0572925],[117.2089742],[42.80501925],[191.89432342],[120.31065012],[98.64382666],[114.70332716],[28.30068777],[426.28342581],[65.40630158],[255.99683143],[75.98497076],[124.01206381],[31.76720271],[18.03909668],[35.43813164],[18.19307187],[58.13087929],[99.97366059],[54.71860857],[216.42993156],[53.81832574],[60.22496044],[131.83212258],[153.89015089],[101.83395466],[37.88266918],[67.44080935],[92.84263581],[32.70688751]
153,[128.27259547],[117.75496983],[43.07147861],[191.38511089],[121.04384524],[99.50616257],[115.03448847],[28.59275825],[427.37015239],[65.50607636],[254.75785435],[76.809087],[125.82942169],[31.71855416],[18.08808997],[34.98563805],[18.57527653],[59.35011735],[100.04087869],[55.34524444],[214.46152251],[54.23000444],[60.68003751],[132.73277279],[157.82841563],[102.26414309],[37.84131245],[67.08160081],[94.09376899],[33.0221071]
154,[128.65947485],[117.94751395],[43.17921904],[191.99848417],[121.05589493],[99.78751344],[115.991253],[28.74639243],[435.33025658],[65.32122926],[254.67400273],[77.52850418],[126.24784474],[31.9054842],[18.09710429],[34.80863386],[18.18588217],[58.52195573],[100.10761549],[55.38057828],[215.77133759],[54.08105731],[60.73289486],[133.52232985],[157.59690571],[102.49156881],[38.12032412],[67.33059621],[93.12696383],[33.12637514]
155,[129.11521256],[118.70503331],[43.30027323],[191.88951515],[121.85747549],[100.86411593],[116.23376103],[28.84646258],[435.62918401],[64.96133051],[252.15794148],[77.98771499],[125.66281223],[31.72520948],[18.14424315],[34.70751253],[18.02547881],[58.25952285],[100.14630649],[55.74907373],[217.40573204],[54.19561867],[60.78561948],[134.65500753],[157.16208934],[102.9162762],[38.2900669],[67.62665742],[93.18780121],[33.088018]
156,[129.19146593],[118.34231778],[43.28880373],[192.34499472],[121.8478543],[101.20086564],[117.26764204],[28.98587273],[440.26845863],[65.27116262],[256.83291218],[78.82043824],[127.40947596],[31.69560808],[18.22087593],[34.78907074],[18.30394986],[59.26833159],[100.5828351],[55.85490414],[217.66177433],[54.7085372],[61.99282951],[134.07303728],[159.71708046],[102.17490275],[38.3910132],[67.85267498],[93.35307056],[33.20204786]
157,[131.08084041],[117.40490582],[43.2019472],[192.29287621],[122.00714245],[102.84943854],[118.82862578],[28.88152196],[444.66075215],[65.10191248],[256.50540643],[79.10400633],[127.35800247],[31.51582946],[18.0790703],[35.10036294],[18.36814274],[60.14098176],[100.84937081],[55.9339211],[217.15074033],[55.20506343],[62.49207896],[135.50141295],[160.91183639],[102.68599193],[38.3130578],[67.21131665],[92.95798753],[33.16204682]
158,[131.25916183],[117.29851317],[43.19943075],[191.43572994],[121.33948386],[102.87606194],[117.72123246],[28.66491369],[440.63839356],[65.17440722],[256.29827683],[78.01374332],[126.45228967],[31.18914773],[18.07024489],[35.18431952],[18.02388214],[58.72007837],[101.18706134],[55.81257142],[216.43578479],[55.19763045],[62.00395317],[136.09039693],[157.231654],[101.85490848],[38.34409541],[66.61668061],[92.51104817],[33.00099129]
159,[132.10807049],[117.09360692],[42.92465043],[191.40887531],[120.85726497],[103.54022641],[118.13612394],[28.52332753],[439.9275527],[65.30700696],[255.40689352],[77.09765753],[123.80131049],[31.20330226],[17.83805247],[35.0523788],[17.46554074],[57.6103217],[101.09373534],[55.86719104],[214.29792654],[55.01836408],[60.67562821],[138.14393863],[154.87943177],[101.26161347],[38.35328509],[66.5935815],[92.13788745],[33.15400959]
160,[131.20988915],[116.7473198],[42.94211671],[191.33163763],[121.37673398],[101.54556635],[118.21826681],[28.70017303],[441.40137742],[65.11330615],[257.0542303],[77.4352204],[122.94656442],[31.33926056],[18.01287345],[34.9264554],[17.53415572],[57.43260953],[102.00803562],[55.55498134],[215.45885414],[54.97509096],[60.90777737],[138.17852511],[154.38720819],[100.99621233],[38.62511621],[66.48572373],[92.20237432],[32.94085643]
161,[131.89412837],[117.99830177],[43.07964194],[190.72177075],[121.80231908],[103.42681056],[117.93496508],[29.0326534],[437.28418772],[64.95683205],[258.61376777],[75.71552332],[124.40349416],[31.47273891],[17.86702693],[34.98680016],[17.84574629],[58.27208367],[102.26703785],[55.96200014],[212.15451115],[55.61680594],[60.97789699],[138.27789512],[154.95332658],[102.73946589],[38.4821728],[66.83741744],[92.81685436],[33.54673486]
162,[132.50123714],[120.1914727],[43.74223343],[195.4715497],[122.38347505],[104.74468749],[119.97206837],[29.19578928],[445.21844039],[66.67754895],[262.63619166],[76.52574288],[123.45653854],[31.94154007],[18.19435675],[35.26437557],[17.59621183],[57.71308988],[104.40709929],[56.89749831],[214.03602502],[56.64734482],[60.94011005],[138.53478325],[152.57072232],[103.29249064],[39.36542098],[67.05478671],[92.88113265],[33.51248987]
163,[131.82884317],[120.43754135],[44.07417631],[199.09986618],[122.21915829],[103.69715697],[118.83335417],[28.86986446],[444.31102039],[67.31319397],[266.23340085],[75.59317412],[121.76511995],[31.72313346],[17.82893931],[34.80980277],[17.28565568],[56.80070292],[105.70533853],[56.37897158],[211.29602612],[55.29999929],[60.18979946],[137.95700834],[152.14172033],[103.17083932],[39.84670933],[66.94851293],[93.27848609],[33.38586909]
164,[131.62820505],[118.50815284],[44.0928399],[194.03768889],[120.91979304],[102.88344891],[119.00279029],[28.71665423],[442.36264847],[66.81269524],[262.91292686],[74.52586967],[122.12979359],[31.5148616],[17.86058233],[35.01583918],[17.90721531],[57.4429356],[105.03758221],[56.535776],[207.71521286],[55.48993755],[61.1983291],[136.98517142],[153.10291181],[101.66213155],[39.41635132],[66.5891058],[91.21647922],[33.43203321]
165,[131.86643043],[118.90763758],[44.24546786],[194.79746729],[121.78172294],[103.20525696],[117.94804898],[28.62446813],[440.83296149],[67.08980638],[263.69974306],[75.81708182],[125.07243791],[31.38448683],[17.98059086],[33.66554191],[18.43288581],[58.20444723],[106.88290158],[56.77105036],[210.01524204],[55.65478328],[62.1798324],[135.82389612],[155.3305413],[102.40265919],[40.01611653],[66.80212349],[92.0130364],[32.97799084]
166,[131.14810743],[118.68009494],[44.09492418],[194.33545039],[122.65075365],[101.30545475],[116.92226523],[28.34046699],[440.83121532],[67.50617599],[265.96824709],[75.19540679],[122.87991013],[30.90798216],[18.16285515],[33.42121664],[18.19912202],[57.14157834],[107.45528391],[56.50575378],[211.0137192],[54.92002715],[61.81057921],[134.30353278],[154.50901247],[103.57620374],[39.91829282],[66.57825497],[92.14114995],[32.56348036]
167,[130.2735327],[118.77333757],[44.39182006],[194.93277174],[125.2899959],[101.98294708],[113.24102381],[28.47227519],[439.775974],[67.63427199],[266.34727825],[74.6179321],[124.66406508],[31.18863212],[18.37345803],[33.30462684],[18.56003355],[58.45723663],[107.23309447],[57.17389831],[207.40941658],[55.30999054],[62.37428647],[134.37133291],[155.51814964],[106.20184348],[40.2333992],[66.87855711],[93.70754137],[33.26139355]
168,[129.23080533],[118.58679079],[44.15750907],[193.82026314],[127.0325631],[102.31467905],[115.16059325],[28.69058418],[425.21421347],[66.95744719],[262.79722696],[75.40386971],[126.71483873],[31.65170066],[18.6254386],[34.28637655],[19.30546517],[59.4185316],[107.45742601],[57.3090328],[207.07732524],[56.17778797],[63.88502098],[132.54176215],[159.78009144],[108.28513155],[39.75150386],[68.1862936],[95.40180852],[33.59714828]
169,[130.2495203],[118.77886545],[44.34726312],[193.74016034],[126.69681886],[102.34256366],[115.41411576],[28.65961721],[432.03002005],[67.16078273],[262.48136654],[75.25813765],[128.02092337],[31.65863725],[18.68640541],[34.25742517],[19.45159217],[59.35144135],[108.22504472],[57.23209414],[208.52857583],[56.30820268],[63.89552346],[132.18819924],[158.92962087],[107.20747622],[39.67466079],[68.22358659],[94.89885397],[33.84903881]
170,[130.62056146],[119.02409047],[44.52279694],[195.37146918],[126.5133302],[101.79903872],[117.75688742],[28.88660644],[433.08650107],[67.23610108],[262.74627511],[75.51796396],[126.83572071],[32.00225495],[18.5491991],[34.20843317],[19.26646182],[58.91342416],[108.96748781],[57.85670618],[209.98871041],[56.98674625],[63.49200598],[132.94363021],[159.51188419],[106.27927897],[39.72289146],[68.74907377],[94.05115429],[33.8079401]
171,[130.98054261],[118.97536249],[44.4506784],[195.99751647],[127.27829929],[101.31896524],[117.54580235],[29.08391093],[434.67109074],[67.7590354],[263.81890554],[76.84850954],[128.31643128],[32.20512452],[18.59349068],[34.6588094],[19.56243801],[58.78678136],[110.11023401],[58.53426114],[212.9092763],[56.93316315],[64.08223957],[132.51188768],[160.76513642],[106.17271082],[40.01385666],[69.10376876],[94.50058548],[33.58818821]
172,[131.87969232],[117.90233576],[44.53646855],[196.19698276],[126.1432044],[101.18729517],[116.58246869],[28.82958079],[426.98654169],[68.49596818],[266.33331099],[78.72011094],[125.43066834],[32.57124651],[18.75697393],[34.175949],[18.45215247],[57.7258223],[110.11142779],[58.13199638],[213.81862332],[56.73618412],[61.44160148],[133.1533681],[160.41686617],[105.85434113],[40.20947064],[69.62794549],[93.8803152],[33.65902644]
173,[132.44711095],[119.20317056],[44.7507926],[196.75694484],[125.87955712],[101.13858847],[116.61615374],[28.893295],[432.77585282],[68.09964354],[268.48047341],[78.04889799],[125.41619702],[32.88885031],[19.12201505],[34.73821575],[17.85830939],[57.47473793],[110.37431709],[58.64886893],[211.7700368],[56.223422],[60.2826932],[132.9459529],[158.91567651],[105.11660224],[40.50241252],[69.77540291],[93.3702817],[34.05339107]
174,[131.27926212],[119.35017744],[44.4298927],[195.54017335],[126.00706378],[100.68597994],[117.84133219],[28.46350619],[434.31161518],[68.17162947],[267.27704385],[78.35785347],[123.80761618],[33.1404553],[18.88448224],[34.82564686],[17.56461837],[57.5629415],[109.90378668],[57.64599787],[211.83860603],[56.22531348],[59.77774907],[131.66138942],[158.99834074],[105.29724699],[40.26887144],[70.41220421],[93.36112776],[33.95539459]
175,[130.56302238],[119.14270119],[43.98830571],[194.68121921],[125.19052207],[99.47222156],[119.23964824],[28.52084114],[436.65607263],[68.07008727],[266.66111526],[78.0133404],[123.61044195],[33.06208017],[18.57360196],[34.02708995],[17.51105214],[56.76407486],[110.23577904],[58.18084136],[212.40124035],[55.38571999],[60.04510952],[130.95189153],[158.85365841],[106.53354264],[40.12027303],[70.78238648],[92.6626513],[33.76930486]
176,[130.92095111],[120.81074275],[43.84885221],[193.9925911],[124.89485402],[99.718662],[120.44533582],[28.29489339],[440.37523234],[67.13612261],[264.21175571],[77.34682538],[124.13805332],[33.2139052],[18.68544805],[34.14227073],[17.87212181],[57.19077356],[109.32662347],[57.58811813],[211.16384371],[54.81071852],[60.32071882],[131.24994618],[159.13065741],[106.3073068],[39.65365412],[71.24251744],[93.55370393],[33.95815507]
177,[132.03500508],[120.71434277],[43.79956743],[194.09357948],[125.63239285],[99.94046817],[120.46061213],[28.17142561],[433.68635633],[67.27601822],[265.89374577],[78.81132774],[125.09560943],[33.42681017],[18.746099],[34.50778577],[18.00094591],[57.42752081],[109.20637124],[58.62463827],[213.28075105],[55.29859247],[61.10847195],[132.13907974],[158.87476468],[106.76168698],[39.70111414],[71.7764417],[94.19755526],[34.13489512]
178,[132.54835155],[121.3775443],[43.78270681],[194.49826811],[125.7806145],[99.86611471],[120.14348655],[28.06201459],[438.90326874],[67.1967191],[265.68331987],[78.81506613],[127.65786131],[33.38836928],[18.96349768],[34.74554206],[18.49720669],[58.57929194],[108.6368495],[58.99817553],[212.52892726],[56.54368833],[62.47985059],[132.97423072],[160.44710268],[106.73517833],[39.75765923],[71.98918722],[94.78655294],[33.60407723]
