,American_Tower_Corp_predictions,Alexandria_Real_Estate_Equities_predictions,Apartment_Investment_Management_predictions,AvalonBay_Communities_predictions,Boston_Properties_predictions,Crown_Castle_International_predictions,Digital_Realty_Trust_predictions,Duke_Realty_predictions,Equinix_predictions,Equity_Residential_predictions,Essex_Property_Trust_predictions,Extra_Space_Storage_predictions,Federal_Realty_Investment_Trust_predictions,HCP_predictions,Host_Hotels_Resorts_predictions,Iron_Mountain_predictions,Kimco_Realty_predictions,Macerich_predictions,Mid_America_Apartments_predictions,Prologis_predictions,Public_Storage_predictions,Realty_Income_Corporation_predictions,Regency_Centers_Corporation_predictions,SBA_Communications_predictions,Simon_Property_Group_predictions,SL_Green_Realty_predictions,UDR_predictions,Ventas_predictions,Vornado_Realty_Trust_predictions,Weyerhaeuser_predictions
29,[104.8571324],[107.58689962],[40.47683367],[162.506795],[121.35699679],[84.85847406],[89.2531278],[24.3060708],[333.49845762],[59.08386097],[213.20348466],[70.64757496],[138.07041292],[28.69015171],[16.43070909],[31.54806542],[25.66477683],[69.00779171],[89.10682561],[49.12142253],[204.03960462],[55.31958938],[66.10083433],[100.85972133],[181.07331269],[103.63211354],[33.1915345],[60.11744643],[95.68286737],[31.2254705]
30,[105.78558056],[108.63554111],[39.85435274],[159.85858854],[121.05723792],[84.34473074],[89.35426367],[24.44413258],[336.58871826],[58.79445957],[210.28781042],[68.71164068],[138.53633876],[28.64488741],[16.71396578],[32.6006196],[25.68302016],[68.84621092],[88.97101369],[48.88585209],[201.79961101],[55.06769555],[66.04062987],[101.40611854],[179.73912212],[104.80626519],[33.13588336],[59.27457356],[94.56271375],[31.64388099]
31,[108.11519133],[111.16134438],[40.73024271],[162.33255742],[122.81642749],[85.55281967],[92.21213611],[24.6367917],[344.40971912],[60.06347777],[214.27315203],[69.83277438],[140.75399008],[29.46451108],[16.9519485],[33.08026897],[26.10235177],[69.26086532],[91.013901],[49.80052704],[205.14333709],[56.77834485],[66.95806828],[101.87112203],[181.46532152],[105.92025697],[33.70472385],[60.57683712],[96.3746754],[32.19822723]
32,[106.95794498],[110.7550692],[40.65643892],[160.60709631],[122.41456615],[84.2137393],[89.29912061],[24.72466155],[337.4599195],[59.16107133],[211.73710484],[69.59626023],[140.025035],[29.51276385],[16.86235425],[33.11344688],[26.07423654],[69.13279756],[90.91644458],[49.65910295],[204.78921904],[55.99079115],[66.65754661],[100.46308121],[180.76155183],[105.48596565],[33.39293228],[59.8207586],[96.49332538],[31.84811846]
33,[107.15986693],[112.04720625],[41.0949468],[160.92424851],[123.00230469],[84.73939013],[91.25152003],[25.01637659],[339.53959011],[59.4224915],[212.8355966],[70.24216483],[141.01962712],[29.23958705],[16.91617573],[33.72179605],[26.36704655],[69.03134445],[91.6126404],[49.79490716],[205.76533642],[56.67442372],[66.71121275],[100.92167429],[181.22862648],[105.12348835],[33.55185843],[60.28983994],[96.9522646],[32.05540935]
34,[106.07865237],[112.17521685],[41.76573623],[163.38964833],[123.71625974],[84.32016975],[91.45354988],[25.40846322],[341.4989733],[59.97295031],[215.3546839],[70.93332246],[141.11446985],[29.39034527],[16.97045677],[33.27754782],[26.26006302],[68.95880851],[92.31734345],[50.63317107],[209.67655819],[56.33450449],[66.7151247],[99.55222096],[181.33886038],[104.94764319],[34.09360477],[60.39594042],[97.9080173],[31.16258803]
35,[106.23412831],[112.03327586],[42.08178262],[164.77237235],[125.26187053],[85.38688296],[93.80673187],[25.83880553],[343.85108307],[60.48928868],[216.08071457],[70.96758202],[142.01709674],[29.64040935],[17.33031302],[33.72711947],[26.06016113],[69.17229923],[93.94193938],[51.50135989],[209.78474324],[56.90353347],[66.94735914],[99.94339517],[182.43893757],[106.13279746],[34.18175096],[61.15299317],[99.16518102],[31.14645197]
36,[102.30796728],[109.55516681],[42.12270865],[164.59630399],[123.8384352],[83.38978539],[92.08061451],[25.41789802],[338.55675909],[59.95640001],[215.93722493],[70.17588908],[140.39704757],[29.52316369],[17.86813221],[33.01975577],[25.54184809],[67.85730945],[91.599123],[50.86861835],[209.3374809],[55.34485177],[66.8598945],[98.87472639],[179.69338624],[105.33187178],[34.05878653],[60.3496904],[97.7367314],[30.7967497]
37,[100.97185355],[107.24728611],[41.33194233],[163.60380041],[121.84152603],[81.40762516],[88.59346015],[25.15251681],[329.4183818],[59.73204325],[212.449084],[69.15086528],[137.47770464],[28.49361013],[18.13478096],[32.48554198],[25.14992192],[67.43195568],[88.78452554],[49.96174911],[207.92515111],[53.42686436],[65.5502163],[96.1562155],[176.78705768],[105.40876979],[33.38685553],[58.37880819],[97.54265255],[30.55032557]
38,[102.53128636],[108.9705865],[41.81999031],[164.6296271],[123.18629911],[81.72985792],[89.42233169],[25.62115179],[331.83081756],[60.53193233],[214.58322557],[70.21446384],[138.46160673],[29.10996397],[17.66347749],[33.73542625],[25.19258947],[68.1424613],[89.33018821],[50.07022943],[209.67117966],[54.8253172],[65.85475731],[96.50093346],[179.40130009],[107.37376914],[33.68968542],[59.50688506],[99.29458663],[31.08607479]
