,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
271,[160.59158383],[141.40516997],[105.83656226],[40.33819307],[104.88841343],[36.97914379],[89.98165051],[130.30834106],[91.99305721],[14.71203074],[54.94366474],[104.08093901],[213.47858872],[22.45957565],[35.92226317],[56.49164982],[109.24728247],[44.72916377],[387.87488288],[124.92032085]
272,[160.38888976],[140.70624841],[105.38165652],[40.00693999],[105.87204933],[37.0923166],[90.70952106],[130.38003203],[93.29991782],[14.37591619],[54.90222437],[104.17670038],[213.17554228],[22.83060308],[35.55012289],[55.81203175],[110.39189475],[44.31961493],[389.3548011],[124.12359281]
273,[162.86851007],[143.11985542],[108.04118963],[40.3030495],[105.8212748],[37.14715247],[91.44026023],[131.64257151],[94.94387299],[14.38595494],[54.54953258],[104.24417737],[212.64033366],[23.2698904],[35.72512666],[55.6597529],[112.54890783],[45.0374842],[389.88686058],[124.01121762]
274,[162.15353469],[137.68698051],[108.15602769],[39.98536802],[105.04959748],[35.28010359],[90.33676265],[131.39124735],[92.94387108],[13.72267306],[54.30343794],[103.84041397],[212.17454886],[22.93863764],[36.23206377],[54.86923787],[112.65689118],[45.01509809],[389.64313764],[124.05394007]
275,[160.97325134],[134.80185268],[107.7339151],[39.39526695],[103.08514185],[35.14612429],[89.56719042],[130.26431898],[92.20784229],[13.57690486],[53.90639578],[102.56835686],[206.22969633],[22.3401292],[36.06071489],[54.95312979],[111.74204685],[45.03966965],[386.0689466],[121.65289173]
276,[161.18182522],[134.88934781],[108.13518175],[40.5160614],[104.3553754],[36.00495364],[90.07707328],[132.01250197],[93.42255892],[13.60819216],[54.09707911],[103.27073385],[209.72378895],[22.49639159],[36.1375393],[54.7907207],[111.87728261],[45.52753951],[388.25811136],[124.00180507]
277,[161.49904479],[136.38181255],[108.3939917],[39.93879945],[104.81385024],[35.22968675],[89.75568836],[131.46924809],[92.87825276],[13.87143805],[54.21229228],[104.02264354],[207.78351245],[22.9304355],[36.23688567],[54.81189618],[112.61172347],[45.71062244],[387.12520382],[123.04789537]
278,[161.67627482],[135.96575691],[110.74383863],[39.74928912],[105.88419145],[35.58761646],[90.10454356],[132.05452625],[92.68295671],[13.96821834],[54.1911071],[104.32959913],[209.13664513],[22.97583457],[36.32559453],[55.57084114],[111.88825541],[45.10262438],[388.06511375],[123.91485137]
279,[162.40918913],[136.96920196],[110.32573333],[39.60746397],[107.03444584],[36.27608939],[91.01170201],[132.5074431],[94.49401882],[14.14485423],[54.6730228],[103.79981201],[207.37017229],[23.6124236],[36.37724666],[56.00065352],[112.00917376],[45.14565901],[390.06596017],[122.82641274]
280,[161.64468511],[135.14782654],[111.15743092],[39.48982013],[105.91789757],[36.08809368],[90.92631169],[132.91037048],[93.08116815],[14.22036435],[54.76141573],[103.37209322],[207.35100016],[23.86757415],[36.71111976],[56.19648022],[112.14657412],[45.28510167],[390.81938633],[122.94564265]
281,[161.62618299],[137.26259487],[111.58060344],[39.93385271],[106.72723122],[35.73473078],[91.16969128],[132.87874579],[94.72984663],[14.32192281],[54.92606864],[104.36728454],[205.96927289],[23.80608539],[36.6835692],[55.94821009],[111.56611279],[45.59335719],[394.13864772],[122.42050701]
282,[160.94606819],[136.16565152],[112.05659567],[40.01977406],[106.83625141],[35.73699864],[90.8823309],[132.81139565],[93.74961779],[14.04330883],[55.00028625],[104.43511155],[201.97612183],[23.45045475],[37.10468166],[55.8221162],[111.42744561],[46.48502451],[390.453778],[119.75366289]
283,[163.29620408],[137.10911573],[112.00124728],[39.57270998],[107.84585337],[36.26502138],[91.65550739],[134.22551424],[94.58475493],[14.17299319],[55.58823553],[104.95205769],[204.59583348],[24.11441681],[37.14246296],[56.24926599],[112.9860661],[47.11564371],[397.67100479],[121.82666332]
284,[162.66474638],[131.86557528],[111.93549947],[39.56087151],[106.84115204],[36.6480726],[91.4387257],[134.93667791],[93.18203052],[13.97506046],[55.526175],[104.99668526],[208.68307314],[24.35861786],[36.65714984],[57.35485286],[115.12776125],[47.36655027],[393.9957626],[124.81690153]
