,Air_Products_Chemicals_predictions,Albemarle_Corp_predictions,Avery_Dennison_predictions,Ball_predictions,Celanese_predictions,CF_Industries_Holdings_predictions,Eastman_Chemical_predictions,Ecolab_predictions,FMC_Corporation_predictions,Freeport_McMoRan_predictions,International_Paper_predictions,LyondellBasell_predictions,Martin_Marietta_Materials_predictions,The_Mosaic_Company_predictions,Newmont_Mining_Corporation_predictions,Nucor_predictions,Packaging_Corporation_of_America_predictions,Sealed_Air_predictions,Sherwin_Williams_predictions,Vulcan_Materials_predictions
0,[135.55221397],[83.73227927],[76.2546164],[79.32848352],[66.40307553],[23.58109335],[66.15115069],[119.16643699],[47.77666302],[10.15224337],[46.80589747],[82.01296275],[172.18425604],[24.82635893],[34.02064991],[47.73254372],[81.36144399],[44.75990189],[270.87796973],[107.76995791]
1,[132.55380112],[81.59273093],[75.5992326],[78.37027904],[65.46583489],[23.15988244],[65.19803135],[117.32297649],[47.23174609],[9.82495448],[45.71705318],[80.24146793],[168.73373991],[24.8074437],[33.88188809],[47.34065414],[80.67534612],[44.57547174],[267.51450604],[106.6252931]
2,[132.82985105],[81.08751293],[76.2021628],[78.78332088],[64.85388026],[22.61039235],[64.32444339],[117.22692379],[46.97902289],[10.02322949],[46.4272228],[79.99147826],[170.31935039],[23.7138587],[34.50582975],[47.2843887],[82.21532993],[44.61266459],[269.39333761],[107.4057861]
3,[132.25813985],[80.48182493],[75.74359493],[78.6286109],[63.61527801],[22.75634163],[63.1286797],[117.17631441],[46.31241644],[9.59444343],[45.85962714],[80.05586208],[171.70677692],[23.22964703],[34.80987039],[46.54079865],[81.54450549],[44.24526019],[269.36728433],[108.58596474]
4,[132.69491699],[80.76509739],[76.50610292],[79.27324528],[63.44010873],[21.96462603],[63.61429229],[116.77171998],[46.53933566],[9.60991364],[46.76678549],[79.64974201],[173.43906171],[23.1149743],[34.27904524],[46.80497199],[82.48569376],[44.65877752],[268.70132161],[109.74057467]
5,[132.38275641],[81.41614902],[76.47797966],[79.53515166],[63.64811577],[22.31512149],[63.48091403],[116.4322597],[46.35225405],[9.48384228],[47.10816763],[79.59309999],[177.34965623],[22.7606881],[35.0114566],[46.74516409],[83.39767087],[44.6989392],[269.60523203],[112.63589182]
6,[133.89858139],[81.7527456],[76.49517332],[80.91591062],[69.6321887],[23.18482189],[65.36235488],[116.64712101],[47.17693915],[9.69663578],[47.05397257],[80.2454815],[178.13369211],[23.40307274],[36.14016037],[47.16997926],[83.86239761],[44.27360349],[270.91017859],[111.51844866]
7,[133.97243196],[82.74524933],[76.65224254],[81.9767434],[70.60402449],[23.846088],[66.16799503],[116.844661],[47.86488569],[10.02243657],[48.11809166],[81.74397938],[177.56266516],[23.81314565],[36.98780151],[48.01229395],[85.45955853],[44.23386934],[271.625715],[110.72735031]
8,[134.46859263],[83.07929606],[75.99514588],[80.18777004],[70.73172669],[24.69283414],[66.97314648],[116.43510013],[48.02920495],[10.19831665],[47.18043165],[81.5344713],[178.58353281],[24.68577306],[37.02710132],[48.37610511],[81.59560868],[43.62088521],[275.75678417],[110.46166522]
9,[134.48649178],[82.18506867],[75.602341],[79.85853925],[70.29921429],[25.64358065],[66.89479237],[115.83557228],[47.38057196],[9.99037648],[47.00992052],[81.7368216],[179.8949893],[24.25071607],[36.40254383],[47.96516889],[81.22941629],[43.41418981],[277.11199077],[111.70947515]
10,[134.8091016],[83.42890419],[75.9526056],[80.27817121],[71.77568682],[25.03779997],[66.87298957],[116.75716906],[47.86988721],[10.11984943],[46.63320033],[81.52331705],[180.44034394],[24.5030343],[35.88609709],[47.67812881],[82.73205159],[43.08543302],[278.00201657],[112.32314724]
11,[133.50295111],[82.00967282],[75.83075378],[79.74350687],[71.79421266],[25.2690322],[66.3471664],[115.96802318],[47.32986322],[10.52813095],[46.72901031],[79.8355022],[178.0358387],[24.56391304],[36.59381937],[46.92869683],[81.17681192],[42.51775535],[248.67435891],[110.74475244]
12,[132.96660346],[81.00630251],[71.16842395],[79.66748398],[71.14925635],[25.27530522],[66.98374168],[115.37270366],[47.12344898],[10.56048449],[46.19935147],[80.3514092],[178.36209175],[24.77440591],[36.21067613],[47.28562209],[80.73531547],[43.43966842],[250.17655775],[112.50690235]
13,[133.39276813],[82.1520272],[70.70058674],[78.44362667],[71.69979884],[24.21165759],[67.25016464],[115.08570632],[46.94499072],[10.65245894],[45.219704],[80.38287531],[176.89273812],[23.86428846],[34.8594688],[46.71765595],[81.04407042],[44.36135832],[247.9465741],[111.85198352]
14,[133.83667228],[82.87793102],[68.73612444],[77.21940573],[72.38925978],[24.24891508],[71.93018179],[115.13546885],[47.13049625],[10.89337187],[45.04478159],[80.35354776],[181.70579604],[23.78027032],[35.37061698],[47.6056868],[81.54735644],[45.46433388],[245.98934798],[112.67775906]
15,[133.50845439],[83.72852604],[70.04358798],[77.14838596],[72.97844692],[23.71746002],[72.15946786],[114.23390185],[46.82594482],[11.1561816],[45.09346078],[79.54349926],[185.17677188],[23.48326746],[36.99045061],[48.78005922],[82.41593243],[45.57496989],[244.66549308],[113.18556623]
16,[132.27756901],[83.00860757],[69.13691143],[76.88082135],[72.38057347],[24.61536186],[72.2571075],[112.24905314],[47.15956474],[11.11405846],[44.34532156],[78.13851332],[193.23124829],[24.31029166],[37.92741456],[47.95429275],[80.55720742],[45.66878321],[240.94534808],[115.69244701]
17,[133.57151376],[82.18269858],[69.06488138],[76.98330183],[71.77738538],[24.39698264],[70.57243894],[112.16744732],[46.02439783],[10.53230834],[44.1864902],[77.39216109],[190.01590641],[24.70671651],[37.19520862],[48.24071353],[79.6411929],[45.32116041],[242.62714918],[112.41442599]
18,[133.07741788],[83.83762779],[70.38460193],[78.25554783],[71.85655684],[22.25753397],[71.117442],[111.30711676],[50.95874181],[10.65830343],[43.63602973],[78.47985987],[189.09359928],[24.08352613],[37.77914856],[48.60402],[78.77015364],[45.51066897],[241.5183927],[114.56826404]
19,[133.4582351],[83.45298041],[70.68294424],[76.51093252],[72.14792331],[22.87707781],[71.22716043],[110.72786706],[52.41447573],[11.04253434],[44.03697845],[78.61881812],[192.76705425],[24.52444809],[37.82390769],[49.90577231],[79.06709547],[44.98144323],[242.73993283],[116.77183528]
20,[137.24558134],[86.51380166],[71.5852135],[78.70024721],[73.3433042],[23.00949102],[72.36748252],[112.94265181],[53.42612019],[11.30232976],[44.4426721],[79.19745884],[198.53530421],[25.07767961],[36.56722372],[51.38603221],[79.27654871],[45.97166086],[247.67438025],[118.20644533]
21,[136.97222624],[82.77234491],[71.21128883],[79.44185035],[72.92123612],[24.04156336],[72.71257386],[113.50835634],[53.31174107],[12.11902132],[44.76717482],[78.90154804],[201.90217895],[26.16365003],[36.1100858],[51.4748245],[80.10022102],[46.11658229],[252.11052567],[119.64477969]
22,[137.38943681],[80.18868481],[71.10295698],[78.67533342],[75.67192369],[26.22753092],[73.85817436],[114.61377853],[54.41995967],[13.11871144],[45.5440122],[80.93751474],[227.10628659],[26.7564927],[37.02637108],[57.55598439],[82.16014726],[46.84261369],[257.57172376],[132.01958171]
23,[140.05722078],[81.55344419],[70.31956543],[76.14199847],[76.31277076],[26.8231478],[75.75736162],[116.0838696],[54.14676169],[13.83486887],[45.73798681],[83.45487341],[233.55145855],[28.27740164],[34.76167748],[59.33197788],[82.29467542],[46.86569846],[264.75190011],[135.6692541]
24,[138.4425598],[80.17276281],[69.66024213],[76.08813651],[76.97379514],[27.50182435],[75.31897008],[115.52579467],[52.31451474],[13.90056645],[45.61605483],[82.02557809],[230.60426559],[27.31157993],[31.73621775],[59.48926089],[82.56462636],[46.87501059],[261.8958951],[134.37403986]
25,[138.08121908],[77.14314439],[70.78998032],[76.10821454],[78.44278605],[27.94271842],[74.27631074],[113.9725487],[52.7683159],[13.82036048],[47.05346132],[82.11045338],[232.52696459],[28.32828841],[32.63626021],[59.73977298],[85.85992394],[46.649916],[263.46756557],[136.0467102]
26,[138.08445753],[80.39150979],[71.17269138],[76.42462702],[78.69912962],[27.5111668],[74.67455216],[114.24071546],[54.0699499],[13.90445275],[47.70997589],[83.37418328],[229.21978942],[27.89857093],[33.76930226],[60.15014441],[86.26758254],[47.10385022],[265.62910953],[135.08951722]
27,[138.67921562],[81.43927627],[71.38170663],[76.5704722],[78.67805893],[27.16517797],[74.10215524],[114.82012699],[53.39125434],[13.73297673],[47.91094042],[83.20094571],[220.57470162],[27.12176489],[33.71611085],[59.93830346],[85.72699221],[47.1965978],[262.46066779],[130.0631829]
28,[138.09096789],[83.20227646],[71.88668203],[76.52523401],[78.63351166],[26.81715122],[74.48580264],[114.80271023],[53.71383844],[13.75395229],[48.14851847],[82.94482919],[221.60998423],[27.35589983],[32.77502234],[59.55117589],[86.74565345],[47.76373797],[262.75727531],[130.3835814]
29,[138.02667279],[82.83387218],[70.63022206],[76.42888359],[78.11997582],[28.72459447],[74.18882286],[114.31929916],[54.0430662],[13.69473429],[48.4132983],[83.08151175],[219.18428029],[28.23736039],[32.77956469],[58.76083318],[87.72341696],[47.19591687],[260.38237877],[128.03965491]
30,[139.78730771],[83.74142804],[70.3387992],[76.14737734],[78.357542],[29.58101703],[75.63674355],[114.95020966],[54.45412193],[14.53372589],[48.29831628],[85.25775416],[223.63249275],[29.03092549],[33.06300051],[59.57046634],[86.43306266],[46.81695634],[266.27522648],[128.10412239]
31,[139.74831723],[84.26222313],[71.68877761],[76.70990579],[78.18380932],[28.05085101],[76.08452908],[116.3275879],[54.50793914],[15.18045172],[48.53605922],[85.83075737],[221.05313675],[27.27112355],[33.17125615],[62.26280932],[84.70788041],[46.95682961],[268.60472054],[128.06407909]
32,[140.9087634],[83.80300053],[71.26900376],[77.62707515],[78.7621408],[28.14433497],[76.62587827],[116.68748727],[55.28291331],[16.28402245],[48.70815403],[86.54212692],[224.95074651],[27.50368347],[31.54198892],[62.68508015],[84.70020141],[47.46011868],[272.5403195],[129.77464966]
33,[141.59944269],[84.11033736],[71.71590771],[77.06659077],[77.26395866],[28.3007182],[75.18856689],[116.58820568],[55.08447537],[15.9775461],[48.85326834],[86.53007905],[225.22349857],[27.38571708],[32.01688546],[63.18065883],[85.46134179],[47.47517709],[274.76032841],[132.17860865]
34,[141.801698],[83.86943391],[72.4952551],[77.43209213],[76.58684642],[27.8856047],[74.00283497],[116.34805868],[55.10994302],[15.65625382],[48.66644573],[85.39757412],[215.85708799],[27.26949592],[33.38644958],[61.99055764],[85.41826003],[46.75970083],[274.22638712],[124.2168138]
35,[143.58201832],[86.02592396],[72.97333071],[77.05746017],[77.22022678],[27.14078007],[73.55521903],[116.41577183],[54.78784362],[14.81125428],[48.82448131],[83.5674277],[219.38337114],[27.0605217],[33.44068457],[61.59240657],[85.58013478],[47.0089316],[276.35847298],[127.08185689]
36,[144.51457678],[87.95680263],[72.06470954],[75.16355822],[79.52819393],[28.71328865],[75.03068518],[116.74176142],[56.14426321],[15.28395628],[48.71661601],[90.63371617],[218.90588488],[28.4341399],[32.49782348],[62.09055099],[84.85523432],[45.66291534],[268.99321701],[125.38036388]
37,[144.1432871],[85.64207925],[71.24649423],[73.31198258],[78.82487288],[28.41765435],[74.55090199],[118.458013],[56.3127249],[15.03317408],[49.70329904],[91.46404715],[221.54201656],[29.0484839],[32.40187097],[61.93440613],[85.17294312],[45.38372294],[266.26146857],[125.36514092]
38,[144.61416909],[84.9296535],[71.79073808],[74.27276114],[79.04881699],[28.08206984],[74.68348196],[116.84658077],[56.465033],[15.42735315],[50.41128408],[88.7221404],[223.52330426],[28.76619425],[33.57583728],[63.1083375],[87.02018661],[45.96552896],[265.05609924],[127.28867682]
39,[147.37307698],[86.19839745],[72.74431503],[73.53500878],[80.38135481],[28.33597867],[75.08549066],[118.53016975],[56.9114455],[15.91347251],[51.37083908],[88.22916423],[223.6261354],[29.21364305],[33.37491026],[65.11333207],[87.29026865],[46.47796857],[266.79707056],[127.44585108]
40,[146.6113991],[86.14300318],[73.19253411],[74.32749112],[80.72363838],[28.29386642],[75.38564819],[116.97221947],[56.63957282],[15.8791207],[51.6550027],[87.71112537],[225.71514456],[29.32998684],[33.05500987],[65.74998157],[86.93593972],[46.57384315],[266.50857657],[128.5788433]
41,[148.74715657],[89.1214587],[73.26429069],[75.57679318],[81.65565868],[29.46643342],[76.92016848],[118.69074638],[58.24006304],[15.3536582],[53.20069255],[89.62311457],[230.21383646],[30.21669826],[33.69455235],[67.00649663],[87.30942331],[47.44150591],[269.7967816],[130.05676283]
42,[149.08335319],[92.08885921],[73.66318085],[75.99743159],[83.26076807],[30.0971708],[77.81822362],[119.67657258],[59.00781171],[15.52726688],[53.59109502],[90.72230086],[230.77943908],[30.14560741],[33.83683366],[66.46475229],[87.46469281],[48.82460084],[271.3458184],[129.08832422]
43,[149.59237536],[90.6444873],[72.65785816],[76.87885957],[82.7797553],[30.67497762],[77.28235014],[120.29197131],[58.74221467],[15.73706913],[53.80710294],[88.27949197],[231.54208859],[31.4577482],[32.80501385],[65.43965929],[87.41219444],[48.26046859],[271.08603421],[128.73599598]
44,[149.73571648],[91.50171792],[72.79211909],[76.30522644],[83.07076918],[28.68978074],[76.87334507],[121.45144055],[58.76048429],[15.3243393],[53.49284617],[89.49531677],[223.08707673],[30.15482513],[32.71342807],[64.00933801],[86.55524071],[47.95153461],[270.77684051],[125.07031788]
45,[149.094802],[90.96198051],[72.5868086],[77.29605293],[83.29892415],[28.16261305],[76.9498103],[122.09988874],[58.09947422],[14.97259157],[53.30144311],[89.69818023],[222.68429376],[29.48678566],[33.86044116],[63.26207268],[86.57953695],[48.25766729],[269.73826478],[125.74443816]
46,[148.17362323],[89.69406508],[71.89093215],[75.00746372],[81.7349203],[27.8623313],[75.63522],[121.00874684],[57.25991653],[14.57346623],[52.93053137],[88.0614278],[221.56305756],[29.39699265],[31.62640198],[62.92635816],[86.2272914],[47.9090037],[266.74675638],[124.6091126]
47,[149.10894832],[89.92997652],[71.78316951],[76.39988986],[82.95102529],[28.37450154],[76.80039214],[122.03991763],[58.31319385],[14.57343561],[53.60986378],[88.84218735],[221.74228796],[29.66800001],[31.11802265],[62.85510661],[86.51556141],[47.16250251],[267.82228259],[123.95945496]
48,[147.41100263],[89.1483945],[71.98861779],[76.58155957],[81.67957397],[29.21193685],[76.06092967],[120.34970308],[57.43149505],[13.77568547],[53.77999542],[88.77106828],[220.53694901],[29.53174554],[31.70394901],[60.63893358],[86.47654097],[47.169822],[271.78169836],[123.59096479]
49,[147.81066938],[89.02260694],[71.34956316],[76.55783051],[81.96008134],[27.97384993],[76.22685888],[120.57187862],[57.05391202],[13.48113857],[53.70665477],[88.16730828],[223.09074561],[27.6909031],[31.62555348],[60.4743732],[86.76188765],[47.14670639],[269.15529407],[124.2687951]
50,[147.51210566],[89.46066092],[71.56528851],[76.43946072],[82.05794271],[28.75528361],[76.2712526],[120.57865598],[57.01434777],[14.19041609],[53.92329722],[88.13728793],[226.30062475],[28.22081832],[31.66458615],[61.91477144],[86.74946059],[46.79579337],[266.34933355],[126.00436645]
51,[147.37559041],[89.31040621],[71.58785319],[76.31157386],[81.37463356],[28.63707953],[76.35993847],[119.36800664],[57.18198684],[14.08048633],[53.95903985],[87.80229253],[225.52673745],[28.74224023],[31.60820286],[62.20835321],[86.56511478],[46.93115129],[271.0580421],[126.16996744]
52,[146.15566336],[88.46696358],[71.43261142],[76.46570872],[80.24785052],[29.8501058],[75.97333534],[118.73630922],[56.92188535],[13.7688654],[53.80680186],[87.56723145],[224.35972608],[29.27981049],[31.46164652],[61.87051978],[86.02521501],[46.27154855],[270.43873192],[125.44297894]
53,[146.4985382],[88.88634753],[71.44891577],[76.26203571],[80.7318905],[30.44577548],[76.51166101],[118.85715121],[56.6442944],[13.75705651],[54.00308668],[87.75262814],[225.26383706],[29.18292354],[32.44621968],[61.47694787],[86.46540216],[46.39857337],[272.47562247],[125.81181844]
54,[147.41634237],[88.99952046],[71.71598573],[76.51887754],[80.66055809],[31.6936188],[76.48689911],[119.24728237],[57.31998836],[13.71484901],[54.29054446],[87.12481611],[229.56398256],[30.06845802],[32.51849497],[61.78343735],[86.70896703],[46.36562967],[272.2360394],[127.63125135]
55,[145.14923583],[86.51063202],[70.84122791],[76.04469259],[79.17282323],[31.35132607],[75.61891136],[118.04443066],[56.62163634],[13.53555532],[53.42569061],[86.37256041],[225.9232761],[28.97074202],[32.79885893],[60.91900993],[85.30061688],[45.81258393],[270.62044248],[126.74118481]
56,[144.44288608],[87.1908068],[70.69081674],[75.76195329],[79.28547306],[31.64802001],[75.47076763],[117.78797463],[56.71755709],[13.44207461],[53.35068676],[86.04342587],[225.30487243],[29.32814804],[35.25450195],[60.97590622],[84.99061784],[45.51569595],[271.15581027],[127.49956375]
57,[143.72608083],[85.95596074],[70.27010421],[75.14025458],[78.78911049],[31.222297],[75.14825061],[117.33187668],[56.55148756],[13.13909275],[53.06850601],[85.86208877],[221.1779828],[29.3267927],[33.95191506],[59.41843155],[84.88484248],[45.32297374],[268.93580927],[125.17112482]
58,[143.36892831],[88.13798106],[70.23492723],[75.77851035],[79.62429818],[31.61734861],[75.90117165],[118.04673922],[57.02046964],[13.7857905],[53.46344205],[87.0074432],[223.83963447],[29.46053513],[34.78878508],[59.58232188],[85.01075281],[46.49906705],[274.59629542],[124.84880755]
59,[144.7897077],[91.02381546],[72.12061644],[76.86343177],[80.90184999],[32.80323452],[77.21029907],[118.81095796],[58.19961348],[14.92351653],[54.02675379],[88.91928005],[226.53057999],[30.85976162],[34.97905741],[61.15111669],[86.26543728],[47.13194122],[276.31345283],[127.956574]
60,[143.25884476],[90.44493013],[71.39884576],[76.86322652],[80.80014645],[32.76361555],[77.57032182],[118.56131523],[58.39060316],[14.62860664],[53.65378536],[88.62277461],[226.71230858],[30.8043621],[36.47509073],[60.96246018],[85.48705159],[47.44108416],[276.44873896],[127.17749525]
61,[144.47903274],[91.02204761],[72.40609605],[77.26675564],[81.00696562],[33.21598159],[77.55460434],[118.92297425],[58.26887225],[14.84582367],[53.68222272],[87.97038245],[219.5436613],[30.78277044],[35.41456437],[60.49679523],[87.03937043],[47.17054999],[278.77469885],[123.91583187]
62,[146.36903269],[90.34645697],[72.45766147],[76.01501106],[80.52535143],[33.52626066],[76.57818172],[118.84939262],[57.95305014],[14.59522719],[53.58535046],[86.73381013],[219.83804414],[30.71709176],[35.50755899],[59.57814473],[87.883949],[47.12651191],[278.88941091],[123.17424516]
63,[145.31520179],[89.70262969],[72.80279108],[75.70161734],[81.39687868],[32.44256256],[77.20697208],[117.87235365],[57.71729471],[15.53871204],[53.82887899],[86.90753616],[220.47423737],[30.67274648],[35.16102879],[61.12964401],[88.08613667],[47.80659701],[279.07845197],[123.65570898]
64,[146.18099343],[93.49262396],[72.66921479],[76.70328205],[83.08873751],[33.98252477],[79.02253767],[118.38243127],[58.75084192],[15.91322816],[54.11983771],[88.63351408],[222.3060395],[31.43198587],[34.36519049],[61.16662251],[88.47916456],[48.30244841],[283.62124205],[123.31569877]
65,[145.78814549],[93.77285043],[72.18800783],[77.00613365],[83.35741806],[34.24792564],[78.46423756],[118.6773855],[59.26883844],[15.1953051],[53.70120486],[89.7531548],[219.89715129],[31.36519622],[34.5261854],[60.79138175],[87.12534488],[48.32445211],[283.68950815],[122.61013377]
66,[145.34475069],[94.18522457],[72.20312227],[76.27607447],[82.45304035],[33.68423844],[77.94176456],[118.54532984],[59.20029644],[15.09587174],[53.54058769],[89.64898507],[221.06584079],[31.22786133],[34.50722939],[60.3764278],[87.16115338],[48.04379828],[285.23554275],[124.66244421]
67,[145.40100093],[94.44728114],[72.48403459],[76.57520979],[81.39708609],[32.63353295],[76.8445537],[118.71492424],[58.71471869],[14.99565946],[52.99192691],[89.81842972],[219.74667861],[30.75499019],[35.10277737],[60.05126017],[85.82830057],[48.27677059],[284.30454331],[123.50893495]
68,[146.34961134],[92.34903182],[73.19301479],[76.93025621],[82.6570038],[32.0760449],[77.0707388],[119.07216472],[58.57457484],[15.23106167],[53.08162393],[89.96731796],[226.10618264],[30.57202936],[35.24274018],[62.37820958],[86.56708161],[48.61392494],[287.14245531],[127.5967763]
69,[145.51712587],[93.08294534],[72.49595431],[75.6674603],[82.29874911],[32.00000877],[76.05715147],[118.84615501],[59.37439321],[15.26470728],[52.70464519],[89.72128194],[225.5266218],[30.21587391],[34.96642455],[60.18221917],[85.83543301],[48.17388626],[283.25611748],[126.10173827]
70,[146.73723819],[93.33779584],[72.4536306],[75.15142542],[82.78474471],[33.97510137],[76.70490001],[118.42504818],[60.30175583],[15.5033505],[53.70665053],[90.92945694],[228.3326345],[31.29876058],[35.10337714],[61.18006031],[86.0196137],[48.29013738],[283.8593207],[130.19969724]
71,[146.07505075],[93.76387335],[72.89336747],[75.39644857],[83.89859265],[34.97909242],[76.79199391],[119.37864864],[60.67935293],[15.71713719],[54.29153607],[91.19306977],[227.24681535],[31.51248703],[35.85350486],[59.89235227],[88.16176059],[48.48023517],[283.967871],[129.46889579]
72,[147.20502439],[95.78258765],[73.85588029],[76.4105519],[85.78708177],[36.60078432],[78.22245375],[121.58477169],[61.61830031],[17.087402],[55.88343267],[95.24004787],[235.3191604],[33.49126594],[35.9827635],[60.92375991],[92.09361754],[49.28513038],[281.21324517],[132.54904834]
73,[148.62473097],[93.96332071],[74.44525166],[76.7666354],[86.59596585],[36.27493236],[79.46958943],[122.34557015],[62.40470981],[16.49104189],[57.88325589],[96.36201209],[242.31584808],[33.21871114],[35.02123736],[59.73384834],[94.81110999],[49.16279633],[283.41485255],[135.40964629]
74,[148.88944466],[95.60653054],[73.33932088],[76.42939526],[86.77105613],[35.9613022],[80.35054383],[120.87261664],[62.13963279],[15.69600339],[57.49763832],[95.05118775],[241.64361461],[31.74811893],[34.34755206],[60.70772494],[94.21562219],[49.28769963],[304.44720932],[135.20863016]
75,[141.96835742],[95.37461353],[73.80451274],[76.96763604],[84.97751225],[36.29428983],[77.80164054],[121.33508791],[61.73742591],[16.31086875],[57.1980224],[94.99950829],[240.04950566],[31.46591561],[34.42045019],[60.97015074],[93.63801875],[49.19036345],[305.14725899],[134.65928897]
76,[140.87858918],[94.54434062],[72.95765915],[76.45563456],[84.0740793],[35.10992118],[77.43070965],[121.53074896],[60.49634342],[16.23101116],[56.7491439],[94.22359335],[235.0165961],[30.90218488],[34.88638343],[60.18585033],[92.03372501],[48.67245357],[305.10088816],[130.87624248]
77,[139.43205975],[92.67209726],[73.14757987],[76.33238638],[84.48678388],[35.04737819],[77.34849664],[120.11926079],[60.17179917],[16.67092509],[56.6875986],[93.2982515],[229.41782014],[31.36092039],[36.19015183],[58.17638741],[92.21493809],[48.53042901],[303.14770415],[128.53443943]
78,[138.66830264],[93.35231651],[79.42594693],[76.57103224],[86.20789205],[36.42054587],[78.28751476],[120.88521036],[60.6179144],[16.84780998],[56.52467245],[95.25903483],[230.97893798],[31.6858553],[35.82961366],[56.79772713],[93.12724003],[48.87356999],[306.50767481],[128.43834162]
79,[139.55831877],[92.88571061],[79.71818128],[73.43499049],[87.84523885],[35.32406813],[77.77726371],[120.28538788],[60.42652725],[16.77269314],[53.45282021],[93.84486344],[228.3913784],[31.4085518],[36.74719118],[57.2796525],[93.45154272],[49.78045309],[304.05397976],[127.89753239]
80,[140.24108017],[94.4525161],[78.98071566],[74.05679123],[86.50965998],[35.43536582],[77.88460951],[120.72887313],[60.219035],[15.72004539],[52.99923633],[94.70110131],[231.63303998],[31.86757505],[36.76697507],[57.26833393],[94.14020643],[49.66374931],[304.25657901],[128.97711313]
81,[139.15499334],[94.43673077],[79.20719371],[72.9199835],[88.02501176],[35.2588073],[78.41905169],[119.80414246],[60.66575429],[15.92165131],[51.63533172],[94.96314047],[230.47772813],[32.00222158],[37.9052534],[57.92624418],[94.28845343],[49.62050292],[302.0835109],[128.09173482]
82,[138.88705795],[92.78335603],[79.30915827],[72.731029],[87.8153285],[34.61813344],[77.71761256],[120.24971675],[56.92059294],[15.48511641],[52.3688341],[92.26598499],[226.60106518],[32.19965183],[37.32623737],[57.69001994],[95.10020309],[49.49431099],[302.33676757],[121.7225663]
83,[138.53683963],[94.44809861],[79.5346256],[74.5025451],[87.72521179],[34.70119741],[77.84485295],[120.41633306],[57.2384065],[15.51067576],[53.09100899],[91.6029496],[226.54199922],[32.1938823],[37.90858944],[58.29852757],[94.31247823],[50.26140288],[305.39830536],[120.75512674]
84,[138.5317864],[93.81722784],[78.88811256],[74.01762284],[87.83374562],[34.2310014],[78.4257751],[120.56404804],[57.36123296],[15.38819062],[52.3164698],[92.43351829],[225.24657875],[31.7891907],[37.25802021],[60.96344476],[93.7704099],[47.28204968],[306.63855063],[120.47153639]
85,[140.24614764],[93.79718254],[79.36699483],[74.44271623],[88.35016114],[35.61832582],[79.36433768],[121.22683876],[57.77930798],[15.8033975],[52.7657964],[92.06619587],[231.09336853],[32.89347751],[37.66081883],[61.09829992],[94.08858666],[47.93102416],[306.62989212],[122.50542839]
86,[140.57848842],[94.87205862],[79.44165668],[73.86196038],[88.46995126],[36.46263042],[80.13283526],[121.71521105],[58.62616197],[15.98173193],[52.63391712],[92.29209693],[231.29186642],[33.73213677],[37.40447174],[63.82106235],[94.95509111],[46.83424053],[309.59640079],[122.33516373]
87,[142.28768928],[91.04458444],[79.35905062],[73.76483649],[88.39938902],[36.03633303],[80.60863599],[122.78218914],[58.00537761],[15.87173384],[52.98734909],[93.20077811],[226.28719216],[33.97252539],[37.10642722],[63.21306778],[95.17741471],[47.36556265],[309.98130419],[122.89774278]
88,[142.44986506],[92.87238785],[79.55010242],[73.1787038],[89.08813899],[34.22020456],[80.87560068],[123.33629311],[57.86246135],[15.29131426],[52.67909062],[93.09196455],[221.96577919],[33.7637036],[37.09229599],[64.01485163],[95.46422475],[47.38595571],[310.10835046],[123.2500537]
89,[141.89074377],[92.32038852],[80.16957032],[73.04670067],[89.07321078],[33.29383524],[80.58431116],[123.21987805],[57.85734616],[14.97970382],[53.40818872],[92.61235571],[221.73152506],[33.10694253],[37.55119409],[63.64800222],[96.62841906],[47.98154068],[311.19911639],[120.33841239]
90,[141.49638953],[92.02172582],[79.44411642],[73.29799389],[89.6932552],[33.89655604],[80.21164555],[123.93501588],[58.25123174],[14.86640402],[52.17222726],[92.87864296],[217.32028208],[33.60344553],[37.00347961],[63.898846],[95.45426194],[47.76464447],[311.49894767],[119.57222647]
91,[141.40852544],[93.97079974],[80.39253307],[73.70721352],[90.06100757],[33.65054804],[80.86287906],[124.01250951],[57.85136769],[14.06691069],[52.73019372],[94.61830255],[220.72120988],[33.60573889],[37.48342941],[64.50493866],[95.72549814],[47.94599942],[312.67017769],[121.5037643]
92,[140.3252058],[92.38915001],[79.78236648],[73.48335685],[90.34749228],[32.94043163],[80.48585803],[123.09653571],[58.41736647],[13.66575272],[52.02180934],[94.01084347],[218.66612949],[33.07969657],[36.0720144],[63.29821592],[94.17773593],[47.74485011],[312.57232411],[119.91084512]
93,[140.40348884],[92.53617721],[80.75355079],[74.05988729],[89.65000642],[31.55909382],[80.16184018],[122.84394527],[57.9640326],[13.44544269],[52.31848203],[93.00132564],[208.15995614],[31.7918537],[35.94126555],[60.92828798],[93.97164046],[47.93135426],[310.44508237],[116.37743287]
94,[140.88105074],[92.89023216],[80.18576443],[73.08931146],[88.77497143],[30.90986504],[80.13162349],[125.50225931],[58.11176697],[13.23087434],[52.54497909],[92.35724994],[210.83540248],[31.42527621],[36.10514809],[60.686848],[93.4828628],[47.28271565],[312.75376104],[118.28503351]
95,[139.397122],[92.45256677],[80.79855461],[73.56684409],[88.67261944],[31.25694492],[79.94535644],[123.79894569],[57.6026303],[13.27351839],[52.97734812],[91.3765495],[215.33316922],[31.54037746],[33.98304634],[62.43128425],[93.70426817],[46.77564534],[310.38633643],[120.50840777]
