,Affiliated_Managers_Group_predictions,AFLAC_predictions,Allstate_Corp_predictions,American_Express_predictions,American_International_Group_predictions,Ameriprise_Financial_predictions,Aon_predictions,Arthur_J_Gallagher_predictions,Assurant_predictions,Bank_of_America_predictions,The_Bank_of_NewYork_predictions,BBT_predictions,Berkshire_Hathaway_predictions,BlackRock_predictions,Capital_One_Financial_predictions,Cboe_Global_Markets_predictions,Charles_Schwab_Corporation_predictions,Chubb_predictions,Cincinnati_Financial_predictions,Citigroup_predictions,CME_Group_predictions,Comerica_predictions,Discover_Financial_Services_predictions,ETrade_predictions,Everest_Re_Group_predictions,Fifth_Third_Bancorp_predictions,First_Republic_Bank_predictions,Franklin_Resources_predictions,Goldman_Sachs_Group_predictions,Hartford_Financial_predictions,Huntington_Bancshares_predictions,Intercontinental_Exchange_predictions,Invesco_predictions,JPMorgan_Chase_predictions,KeyCorp_predictions,Lincoln_National_predictions,Loews_predictions,MT_Bank_predictions,Marsh_McLennan_predictions,Moodys_predictions,Morgan_Stanley_predictions,MSCI_predictions,Nasdaq_predictions,Northern_Trust_predictions,Peoples_United_Financial_predictions,PNC_Financial_Services_predictions,Principal_Financial_Group_predictions,Progressive_predictions,Prudential_Financial_predictions,Regions_Financial_predictions,State_Street_predictions,SunTrust_Banks_predictions,SVB_Financial_predictions,T_Rowe_Price_Group_predictions,Torchmark_predictions,US_Bancorp_predictions,Unum_Group_predictions,Wells_Fargo_predictions,Zions_Bancorp_predictions
200,[178.59633632],[77.14331903],[89.65697229],[83.76790452],[65.13853019],[142.43987871],[135.89974664],[57.98641028],[104.9390641],[24.1425269],[52.89271752],[46.88583658],[173.08944239],[425.88319177],[84.72663296],[93.3996072],[42.56900787],[143.19589818],[75.21385498],[67.68419257],[121.44640937],[72.03846067],[60.37434685],[40.66339341],[260.15333809],[26.13201888],[100.27650598],[45.88780544],[221.70622361],[53.03244661],[13.12319256],[65.94679825],[34.56457261],[91.60205768],[18.10374667],[72.35475938],[48.12441218],[159.14295412],[77.50391024],[131.52072614],[47.09705833],[109.81757068],[74.3499518],[87.6813439],[17.69733176],[127.72098976],[66.64014947],[46.27843741],[112.67886974],[14.40380646],[93.48161533],[56.67085091],[179.50625173],[82.67697391],[78.78605635],[52.4260713],[48.44150571],[54.74311814],[45.12459256]
201,[178.58604907],[79.34054558],[90.52374901],[84.88090931],[65.20433767],[144.7106995],[138.87078237],[59.3813221],[105.49588943],[24.00941955],[52.69373706],[46.8622477],[173.90655606],[424.34657984],[85.0272009],[93.53029823],[42.56176732],[145.32413846],[75.81132013],[67.35031531],[121.33983637],[72.00591955],[60.17236809],[41.07292131],[259.97962577],[26.38749658],[99.72079505],[44.6233396],[223.51572704],[54.76062013],[13.1688652],[66.18569614],[34.34887777],[91.1693523],[17.8914744],[72.85546083],[48.20565171],[160.40935324],[78.73467436],[132.39519296],[46.64982016],[110.34582172],[74.43408694],[87.26238299],[17.35387517],[127.56740197],[67.36635257],[47.30899473],[113.2035147],[14.48981103],[93.1628154],[56.54892003],[176.77487291],[82.39250567],[78.86545818],[52.53560612],[49.80267979],[53.24185573],[45.28486981]
202,[185.99490964],[79.75645782],[91.07627562],[85.2170186],[65.47658066],[144.5946107],[138.3935274],[58.94436599],[105.39502119],[24.1167324],[53.07143676],[47.34810372],[174.95224402],[426.39864847],[86.25295961],[94.52383553],[42.87979071],[146.66959849],[76.19209865],[68.44414632],[122.54767557],[72.34805403],[60.91483823],[41.05767011],[262.89881681],[26.71305963],[100.36987314],[44.73625204],[225.3390627],[54.85718596],[13.26050513],[66.51014056],[34.7422938],[91.86476161],[18.04596979],[73.07148205],[48.6770349],[163.21773673],[78.06216927],[131.59835302],[46.89094368],[108.8875171],[74.28253981],[87.57333829],[17.46165094],[128.79947616],[66.732255],[47.13637546],[113.23545424],[14.59704708],[93.16586775],[57.34118238],[178.56963703],[82.75623509],[78.98138637],[52.82515861],[50.14500035],[53.98988595],[45.25574501]
203,[185.76143327],[80.89595764],[90.95671928],[85.24172365],[65.49682847],[145.96623949],[139.80705566],[59.18927709],[106.31211332],[24.4867488],[53.74369869],[47.84315142],[176.2207274],[430.04370295],[86.05023326],[95.33258497],[43.15407468],[148.05607536],[76.49408701],[69.6313937],[123.84169017],[72.35581636],[60.7189156],[41.19865127],[264.20934925],[26.92585884],[101.74709943],[44.73715363],[227.15597116],[55.72237043],[13.32096273],[67.08343612],[35.27858219],[93.13838722],[18.13581049],[73.65492425],[49.17610939],[164.56579969],[78.94850172],[131.7707138],[47.25923804],[110.65950647],[74.87867286],[88.17316918],[17.5245545],[130.45676732],[66.78397015],[47.26800353],[114.40214408],[14.70685917],[93.65681476],[57.73541555],[183.66959575],[83.22197362],[79.09973618],[52.98519133],[50.34185773],[54.08374569],[45.41445965]
204,[180.44044773],[80.96355657],[94.00949812],[85.36796863],[65.89117095],[145.55993038],[139.06365684],[58.94481509],[103.88984985],[24.60739283],[53.9150089],[47.9223215],[177.71109532],[426.02097909],[85.72874489],[94.81816654],[43.05750009],[148.72353351],[77.21046516],[69.42647735],[124.29217459],[72.5275621],[60.88277229],[41.12403625],[265.36948602],[26.95360133],[101.64432115],[43.98214334],[226.26006687],[55.49112419],[13.31961718],[66.84499995],[34.63284165],[93.18079564],[18.07431392],[73.32410487],[49.09864133],[164.81886292],[78.52362128],[129.43628961],[47.3601215],[108.66111142],[74.69448032],[88.14261389],[17.50503116],[130.70964627],[66.67419659],[47.17770911],[115.20659931],[14.84130965],[94.27667249],[57.65919635],[183.35731628],[82.53872418],[78.92798015],[52.98937051],[50.20467023],[53.71292031],[45.74454044]
205,[180.19067968],[80.88780429],[93.91237187],[85.48519579],[66.05246163],[146.27688848],[139.00926841],[58.71434036],[103.86617326],[24.37377847],[53.8237327],[47.82543825],[178.89118924],[426.29025324],[84.55251057],[94.96671734],[42.90194276],[149.93796086],[80.51012181],[68.09351522],[125.06870981],[72.8731415],[60.44804608],[41.0505477],[265.98228711],[26.89155723],[100.95447522],[43.81494072],[223.88010091],[55.73365405],[13.16794153],[65.03918163],[34.52361078],[92.51653322],[18.04498689],[73.17381601],[48.94297446],[163.71502707],[78.54747519],[128.91950584],[47.28970632],[111.86903727],[75.12933476],[88.00256377],[17.45126995],[130.52601365],[66.56352455],[47.7307657],[110.39103839],[14.90255423],[93.76212342],[57.79724056],[181.57468262],[82.65728421],[78.84505953],[52.67928786],[50.1501605],[53.4209696],[45.50245303]
206,[180.32023546],[81.07229603],[94.14725154],[85.95509035],[65.11827399],[147.87372799],[138.92614625],[58.96781161],[104.92235676],[25.01058973],[54.02910226],[48.35033775],[179.83089002],[426.40228629],[84.43347022],[93.57162293],[43.10644423],[149.76483044],[80.29406253],[69.01727898],[125.86386409],[73.90562806],[61.03620563],[41.2327083],[265.58334707],[27.18041819],[101.50282009],[43.75732271],[229.73126547],[56.22169387],[13.30937661],[64.65174773],[34.54263366],[93.61968554],[18.3973834],[74.27437219],[49.08197152],[163.58112149],[78.16056161],[129.29562639],[48.09996434],[111.22423041],[75.10501239],[89.04546946],[17.58652249],[132.03366781],[67.08564125],[47.70711885],[112.39062294],[14.94633404],[95.16768395],[58.42980545],[184.9176519],[82.77909162],[79.06241717],[53.11366389],[50.81074708],[52.82280786],[46.1514817]
207,[181.63399847],[81.2089237],[94.01481919],[85.92541271],[64.55895142],[148.88447146],[138.69171144],[58.87632667],[104.96163212],[24.86578366],[53.78584495],[48.24381908],[176.67606375],[428.8643945],[85.55426831],[95.46991383],[42.75769071],[148.61806102],[79.93611888],[68.77593535],[124.87982107],[73.46123229],[61.9886971],[41.25785611],[266.24967104],[27.41295144],[101.592166],[43.67140068],[232.24124431],[56.01368842],[13.347057],[64.34974604],[34.62826155],[93.65468364],[18.33779616],[74.38766116],[48.92728099],[164.37610106],[77.54103758],[127.81686164],[47.9208084],[110.53548605],[75.31652118],[88.76242658],[17.45849894],[132.32923701],[66.25233323],[47.67090016],[111.620677],[14.86109672],[94.27686137],[58.04076837],[183.78238033],[83.20438784],[79.26406215],[53.18790025],[50.76534375],[52.75799241],[45.79768907]
208,[180.7058563],[81.7913409],[94.7957499],[85.66578919],[64.04798263],[148.0068846],[140.29898824],[58.9241468],[105.05891777],[24.76335135],[54.07748083],[47.70648204],[178.0115961],[431.4375165],[85.16744992],[96.86602107],[42.06243566],[149.35867563],[80.34912339],[68.53479445],[126.15482322],[72.46835289],[61.27873871],[41.17236746],[268.69417111],[27.13828219],[100.51160048],[43.58018121],[231.27742894],[56.26801216],[13.18424812],[65.5298204],[34.57158101],[93.63690275],[18.13454903],[73.77207832],[48.8981713],[163.10861098],[77.53889911],[128.35669174],[47.65258073],[109.73592903],[76.21713726],[89.31762425],[17.3350539],[131.82514122],[66.05327194],[48.05916853],[110.09943079],[14.67869263],[94.35320395],[57.62260847],[179.67609791],[83.14418999],[79.23077551],[53.25983927],[50.77966066],[52.82570871],[45.33519382]
209,[175.20297134],[80.82570433],[94.20152405],[84.49014583],[63.16385994],[143.62188751],[138.90370726],[58.59384807],[102.98918483],[24.09291168],[51.92397449],[46.68603251],[176.56757046],[423.0715336],[83.08493821],[96.81639377],[40.66476024],[148.37980956],[79.74435815],[67.20668056],[124.34688512],[70.79551941],[60.08152407],[40.1917757],[269.18502703],[26.37433673],[97.96037649],[42.58708937],[225.21537352],[55.73292675],[12.81708924],[64.98300951],[33.51813982],[92.13793736],[17.63283669],[71.75650175],[48.5795212],[158.98300446],[77.15285002],[126.84251684],[46.27964169],[107.16643912],[75.95672643],[87.0741142],[17.00701379],[129.12128318],[64.49746088],[47.73897351],[106.35244923],[14.29377962],[92.40128535],[56.40390722],[172.79451541],[82.85681057],[78.47082378],[52.39368572],[49.93668199],[51.98130067],[44.40619171]
210,[175.3482827],[80.76920768],[94.00121481],[84.26232437],[62.73896661],[143.26766965],[138.44013633],[58.43570495],[102.58701132],[23.84441357],[52.30790606],[46.35882151],[175.70409455],[424.47108751],[82.83178608],[96.10819326],[40.61730566],[146.64488197],[79.09069214],[66.83125705],[123.26682644],[70.2371378],[59.57802199],[40.08574743],[265.23892081],[26.12160141],[97.37952328],[42.75429059],[223.9010731],[56.08587827],[12.7390372],[64.86189452],[34.00244784],[91.42426118],[17.52202299],[71.32493591],[48.30009678],[156.86215546],[77.10492672],[127.97546434],[45.62613799],[107.29650537],[75.57932424],[87.24754786],[16.84411828],[128.09762434],[64.417311],[47.26482983],[105.70806705],[14.06475778],[92.16349185],[56.02703901],[172.14852198],[82.79896373],[78.18002138],[52.06994872],[49.70148431],[51.9947805],[44.1111788]
211,[178.54764855],[81.22861129],[94.43977707],[85.53055221],[62.96639571],[145.08939198],[139.67207462],[58.85534461],[104.24815651],[24.45993805],[52.84900786],[46.92163305],[177.11434329],[427.77335086],[84.2946713],[97.08778611],[41.12917258],[147.40947877],[79.5093404],[67.9634096],[124.61348388],[71.78015019],[60.49967081],[40.58097568],[269.35072642],[26.71662851],[98.70016182],[42.97284021],[227.46213462],[56.43162903],[12.97179503],[65.16875914],[33.97621637],[92.54955233],[17.92400074],[72.17113013],[48.45564136],[159.23716849],[77.76090335],[130.55374704],[46.58829113],[110.42458311],[76.73404581],[88.71165587],[17.18357426],[130.87955653],[65.08673815],[47.80043864],[106.89397879],[14.41111464],[93.59607533],[57.41021758],[174.58781745],[83.83422237],[78.75970937],[52.80343118],[49.88378152],[52.85490361],[45.02199962]
212,[178.89297721],[81.33791531],[94.48041165],[86.85467209],[63.15636861],[145.05538705],[139.4591646],[58.79466494],[103.5409193],[24.48106439],[53.19195133],[47.03541031],[177.61677707],[428.40298211],[84.19336927],[97.65317247],[40.98655459],[148.05140955],[79.45506118],[67.98184487],[125.88876488],[71.98096954],[61.95554765],[40.40277774],[266.97480367],[27.04437923],[98.99196176],[42.92638454],[227.98101765],[56.79745795],[13.0009401],[65.66731847],[33.86131488],[92.85528951],[17.91768322],[72.21310357],[48.38996135],[158.64888498],[78.15385105],[132.23426452],[46.48302217],[109.50662746],[77.03845653],[88.75500394],[17.1043269],[130.55522517],[65.04789365],[47.62746261],[106.40707848],[14.48857489],[93.89878788],[57.42270478],[175.03544961],[83.85768679],[78.86344946],[53.03350587],[50.10103504],[52.87747434],[45.19174741]
213,[178.51120116],[80.8627923],[94.4211221],[87.45173885],[63.018663],[143.52845047],[139.3777025],[58.91877973],[102.66856633],[24.22670071],[52.90102349],[46.83840037],[178.54352328],[427.48428013],[83.86572519],[97.89247574],[40.79145791],[148.18610892],[79.16368314],[67.80062764],[126.40465408],[71.68163311],[61.76911111],[40.44707509],[267.41488208],[26.82647987],[98.50223298],[42.81653904],[225.77125244],[56.52690798],[13.00226988],[65.87619258],[33.63805543],[92.22736972],[18.01649776],[71.18933432],[48.35395335],[158.86997836],[78.16264056],[132.22102799],[46.08503072],[112.48665711],[77.19829812],[89.5900428],[17.06920551],[130.32590381],[65.23378218],[48.75382347],[105.34243717],[14.38199137],[93.06559309],[57.54892308],[174.47501814],[84.13489435],[78.76033494],[52.90854508],[49.5354915],[52.72233513],[45.19612757]
214,[172.69332809],[79.82454642],[93.38486969],[86.00670571],[61.68962357],[138.52671419],[136.67677255],[57.83433553],[100.27507579],[23.62352168],[51.79905083],[46.14822295],[177.20706527],[420.25241725],[81.94900478],[97.19509381],[39.72143719],[145.87915751],[77.68372318],[66.54639177],[125.53159991],[69.4348906],[59.86147081],[39.65316635],[262.83830056],[26.24566167],[96.15153995],[42.00556352],[221.24553067],[55.66244101],[12.63469853],[65.000816],[32.75161857],[90.61156524],[17.79299325],[68.86300746],[47.45117023],[153.92339769],[77.22028261],[130.13966474],[45.10407695],[110.21709367],[76.24610519],[87.25775033],[16.64016012],[127.41153788],[62.97242531],[48.42523852],[102.75464238],[13.99736444],[91.72620768],[56.08675441],[166.10643874],[82.59611273],[76.89815081],[51.71874056],[48.15998276],[51.74715349],[43.81057312]
215,[172.84747148],[79.87138111],[93.00927151],[85.27728585],[61.3511894],[138.76655688],[136.69067752],[57.8955204],[100.12047563],[23.62244282],[52.1706552],[46.14988132],[177.62004505],[416.92709886],[81.57666374],[96.35278546],[39.49441578],[145.57574483],[77.41830228],[66.62342377],[125.38141852],[69.42869447],[59.364907],[39.72385566],[263.40652692],[26.34691433],[96.30131944],[41.82323136],[222.1365731],[55.63624926],[12.68471266],[64.43280333],[32.87034599],[90.75135505],[17.58223891],[67.94327751],[47.60542921],[153.74215753],[77.39877383],[130.42144959],[45.39636215],[111.07863416],[75.06973684],[88.04876233],[16.64813071],[127.15058127],[63.02272819],[48.71994783],[101.99818013],[14.04919162],[92.47917918],[56.13463817],[166.84662805],[82.410034],[76.65292735],[51.69342225],[47.94018197],[51.69498694],[43.92533024]
216,[172.06937518],[79.77459586],[92.82251154],[85.23850676],[61.33451107],[137.31336519],[138.38100893],[58.15173939],[99.4759424],[23.36800567],[52.20820164],[45.90670277],[178.30208119],[415.59430737],[81.4678176],[97.12258178],[39.2927538],[145.38417617],[76.95565557],[65.91329442],[125.28065768],[68.81038059],[59.25023468],[39.90898393],[262.60425634],[26.22923608],[96.29617864],[41.72624612],[220.92439116],[55.33581918],[12.6016529],[64.35617943],[32.86470172],[90.68467466],[17.42217615],[67.03175427],[47.39537322],[152.56719903],[77.51288669],[130.68762146],[44.69644126],[110.28233134],[75.35707781],[87.83034694],[16.5926569],[126.74343458],[62.78943971],[48.64963255],[101.20858825],[14.0270835],[92.35963503],[55.80805675],[164.77818194],[82.36505773],[76.53534803],[51.70615417],[47.35057182],[51.83961341],[43.51491112]
217,[175.6372646],[80.27470548],[93.8768812],[85.28406472],[61.38127318],[139.04296462],[139.83372425],[58.74378885],[100.06943841],[23.89468921],[52.705656],[46.17800204],[180.41946728],[421.4949236],[81.52125852],[99.20095967],[39.76448054],[145.51512271],[77.50588462],[66.99858915],[126.35598661],[69.93435379],[59.56254878],[40.66029489],[264.0125212],[26.64350669],[97.16898459],[42.54642013],[223.8660152],[55.6698373],[12.7176964],[65.29044022],[33.2874184],[91.74324443],[17.63167494],[67.83173418],[47.84318912],[153.8749273],[78.20264624],[132.78582718],[45.64276875],[112.8823963],[76.47614043],[89.23823942],[16.71610857],[127.66935059],[62.95480313],[49.02350044],[101.96897562],[14.26369409],[93.77114944],[56.62092494],[168.80326448],[83.63130128],[77.44600103],[52.03041507],[47.90354993],[52.28542956],[44.08270101]
218,[174.2434019],[80.0877958],[93.25995203],[85.35196672],[60.82225253],[138.57641462],[138.15292395],[58.2253013],[100.1044768],[23.76397589],[52.76512866],[46.15652993],[180.00906981],[418.3489938],[81.33631889],[98.49772041],[39.80890957],[144.25383064],[76.81557348],[67.22177048],[126.08567941],[70.15029993],[59.3629743],[40.62358575],[263.04563662],[26.6010187],[97.08203386],[42.32775065],[222.81119242],[55.22644324],[12.66203235],[64.85284179],[32.84886024],[91.72134049],[17.68955621],[67.7794055],[47.50059783],[153.26700776],[77.18673895],[132.05696823],[45.86140113],[112.43892843],[75.78554725],[89.19942608],[16.70692654],[127.69010943],[63.05927614],[48.82368237],[101.21997354],[14.32490401],[93.39968983],[56.39167162],[168.60461117],[82.76312099],[77.29478626],[51.85803791],[47.99049327],[52.04803539],[43.94382357]
219,[174.69118295],[80.41062626],[91.6213186],[85.39743132],[60.25986773],[138.50082097],[137.67451586],[58.26786837],[98.30628849],[23.87084712],[52.79850167],[46.16679132],[178.57283214],[416.41024463],[81.45159751],[98.40046299],[39.66200288],[142.84252793],[76.49672629],[67.76166573],[125.98145129],[70.38262913],[59.48933226],[40.9066429],[257.91440409],[26.85008854],[97.56471855],[42.40744401],[223.08747579],[54.73872061],[12.70736501],[64.55052048],[32.58093414],[91.57283236],[17.65616251],[68.01764968],[47.24124086],[152.94588468],[76.92422475],[132.3608227],[46.00131411],[112.08992352],[74.97841085],[89.80085638],[16.67259435],[127.74449204],[63.08401242],[48.28271701],[101.68756607],[14.46208372],[93.82529274],[56.26345137],[169.49446884],[82.49722242],[77.10560433],[51.86477221],[48.41560136],[52.17193416],[44.43097462]
220,[174.82912981],[80.88270193],[92.02522742],[85.47240169],[60.7936764],[138.62644323],[138.10479796],[58.36938608],[98.47062158],[23.76845843],[52.6556018],[46.14896579],[179.51013287],[416.40829802],[81.49385356],[99.74007306],[39.77072252],[143.71912501],[77.43334134],[67.83513639],[127.10217035],[70.33137624],[59.6963885],[41.07890364],[260.79441602],[26.66285472],[98.14987943],[42.61105755],[222.39664074],[55.08409597],[12.75797606],[65.18606952],[32.75190195],[91.872836],[17.60380646],[68.23360306],[47.45192379],[153.80285256],[76.97418534],[132.28971567],[45.96925808],[114.18019126],[75.71813011],[89.68692047],[16.85520141],[127.90828548],[63.33815845],[48.44001131],[102.82973515],[14.45281193],[93.41085936],[56.41901361],[169.65023191],[83.85749774],[77.66616415],[52.06384732],[48.56707576],[51.74049728],[44.69743024]
221,[173.73969542],[80.80488548],[90.87014787],[85.39875779],[60.72975936],[137.71444531],[138.58513895],[58.35905985],[95.52005227],[23.71704518],[52.28716544],[46.14981072],[178.90632607],[414.44311344],[80.54932589],[100.3091916],[39.5590442],[141.84409361],[77.09805094],[67.78884782],[127.00042459],[69.2186865],[59.09461005],[41.01976246],[252.86911541],[26.59053078],[97.86916157],[42.59093875],[220.38928291],[54.52494478],[12.72317457],[65.1207971],[32.45051604],[91.59607598],[17.38467982],[67.9045581],[46.91691808],[152.04525949],[77.54390293],[132.7037748],[45.43836047],[113.9475214],[75.72221434],[88.93770874],[16.75326057],[127.59267929],[63.31649934],[47.3300836],[102.67561318],[14.28865558],[92.92003217],[55.76463474],[167.86785038],[84.12131022],[77.212974],[51.96975291],[48.26541681],[51.6516787],[44.30201819]
222,[173.90759156],[81.69084508],[90.96638733],[85.41442799],[60.27881651],[137.40664544],[137.97112471],[58.03055156],[94.64126295],[23.58199887],[52.12657776],[46.08046283],[178.78608303],[414.45291218],[79.76365732],[100.35296235],[39.20289028],[142.09609041],[76.8562669],[67.45843547],[126.49181157],[68.6089748],[58.43923714],[40.68862728],[253.47009261],[26.26521901],[96.59494917],[42.38784862],[219.9723198],[54.46207733],[12.5943227],[64.67344361],[32.2371358],[91.1474849],[17.26061789],[67.15983156],[46.68223954],[150.32275962],[77.03370519],[133.10507878],[45.35544811],[113.27290218],[75.31436007],[88.55130006],[16.66812353],[126.38588304],[62.68008688],[47.69550003],[101.34727107],[14.15907457],[91.99345045],[55.16138868],[165.94287155],[84.01643714],[76.8336223],[51.52423758],[47.92496899],[51.42428294],[43.70473039]
223,[173.99194904],[82.01205705],[90.12528991],[85.69171804],[60.15250302],[137.18491585],[138.19236177],[57.81230155],[94.77107859],[23.89717112],[52.39981521],[46.31354741],[180.20845249],[416.26954938],[80.12640824],[100.26561719],[39.56204364],[141.04856777],[76.82104361],[68.04916946],[126.11119117],[68.70696399],[58.97290522],[40.91712932],[251.95366602],[26.31768957],[97.0446892],[42.58255261],[222.52416967],[54.39535852],[12.67841549],[64.64094089],[32.42674879],[91.3323176],[17.29387517],[67.77890185],[46.60595422],[149.39965745],[77.41217269],[134.49627605],[45.6847875],[112.9609912],[75.06026875],[88.33860278],[16.75012075],[125.87649352],[62.59699169],[46.52489783],[102.10328598],[14.23512486],[92.47280199],[55.53682848],[169.82647212],[83.783768],[76.93288153],[51.60191229],[48.15662592],[51.39319263],[43.80398166]
224,[176.75168677],[82.5495179],[90.63176655],[86.10372617],[60.5081154],[138.59657781],[139.22340002],[57.91185741],[94.93084306],[23.89188181],[52.29665238],[46.09374138],[181.1981485],[418.99411394],[79.63637076],[100.95841255],[39.91202165],[141.66515609],[76.88747523],[68.00615254],[125.80056323],[68.28183201],[58.96779612],[41.05387664],[252.7155726],[26.14599455],[97.08347344],[43.22262229],[223.94312827],[54.12312814],[12.59130062],[64.48976169],[32.78837491],[90.92311024],[17.21901784],[67.89586932],[46.61626707],[148.03445846],[78.06282108],[134.00200267],[45.52188048],[114.49750353],[75.44785008],[88.58363777],[16.69928854],[125.51385017],[62.54610553],[46.55252462],[102.10702339],[14.10961682],[92.5293461],[55.14154472],[169.32248496],[84.40130937],[76.97576057],[51.2756229],[48.20203435],[51.09073691],[43.67884283]
225,[177.01637505],[82.8334376],[89.84187085],[86.13009143],[60.75207946],[139.92007733],[138.9212483],[57.96424423],[94.64078397],[24.11953125],[52.35839049],[46.30761516],[180.7984095],[421.77904262],[80.37329251],[101.00525907],[40.17874418],[140.43758822],[76.97753104],[68.65280556],[126.26469019],[69.37630294],[59.63251203],[41.01271453],[248.88450931],[26.42798685],[97.50434759],[43.39913078],[226.00344111],[54.13708639],[12.70083851],[64.91392738],[33.12846454],[91.80819641],[17.38102937],[68.97065824],[46.94149816],[149.17998917],[77.9355302],[133.88714299],[46.24244329],[115.58154586],[75.41984554],[89.03319246],[16.85447003],[126.72217157],[63.33465542],[45.57067412],[103.13100003],[14.25152911],[93.2675888],[55.56851961],[172.82604699],[84.26421404],[77.51093259],[51.7275509],[48.63276618],[51.00005398],[44.38184317]
226,[174.17552763],[81.49394817],[86.69077588],[85.25705958],[59.68044717],[135.57670858],[140.35036947],[57.73642462],[90.4696027],[23.27113085],[51.19555894],[45.37515654],[177.26679534],[413.95309848],[78.63309184],[102.23681188],[38.85071922],[136.9886915],[74.82262939],[67.0722519],[125.56925703],[66.68883854],[58.42807756],[39.98490716],[231.65933332],[25.79230738],[94.39713062],[41.68289534],[217.63984431],[52.97849556],[12.37488995],[64.76806918],[32.234713],[89.4900074],[16.79561888],[66.89676884],[45.86802457],[145.54786548],[78.06925199],[133.00775789],[44.89802092],[113.35185397],[74.4575112],[86.42415613],[16.40890659],[124.04224027],[61.86286756],[44.14476435],[100.8454111],[13.63482165],[91.73289434],[53.851722],[166.98793374],[82.8165756],[75.9064244],[50.90432635],[47.58414625],[50.1030736],[42.76382627]
227,[172.9301015],[81.67114045],[87.50855565],[85.21451086],[59.4566518],[135.12777827],[140.18747226],[58.16695952],[91.05641244],[23.44011715],[51.34640488],[45.11356488],[176.95197382],[412.55903397],[79.53221872],[103.75037731],[38.89524241],[137.82400172],[75.20961554],[67.42410588],[128.32698878],[66.92335558],[58.85070712],[40.12403318],[228.55056176],[25.78130917],[94.49219727],[41.59030955],[218.71152806],[52.9209299],[12.53100038],[65.57479892],[32.04630018],[90.22165082],[16.93701299],[67.09122367],[46.1985075],[145.43137073],[78.93942816],[134.30763033],[45.07725831],[112.14630046],[74.26141871],[86.70427549],[16.46938694],[123.67695762],[61.37284564],[44.84315727],[100.54637816],[13.63490465],[91.68129078],[53.87634531],[167.97720613],[82.83457304],[76.07384278],[50.95578888],[47.77524121],[49.92809599],[42.64718993]
228,[172.6120145],[80.55447203],[86.69238079],[84.3537174],[58.30561906],[131.86457615],[138.63109976],[57.72923862],[87.83968427],[22.93953236],[50.2919503],[43.67439909],[174.39326237],[414.1515727],[78.2036493],[103.76179012],[38.16060233],[134.88956305],[73.61558266],[65.95509539],[126.04278926],[64.47867756],[58.07636481],[39.58777421],[210.58030864],[24.9862595],[92.58119942],[41.04206846],[215.82096786],[51.75314899],[12.17593531],[64.15474348],[31.71842762],[88.46932938],[16.47449757],[65.25695578],[45.10964846],[142.52154907],[78.89295064],[134.21615805],[44.08964258],[113.9129536],[73.77854542],[86.84893152],[16.08624033],[120.89814689],[59.99570232],[43.73672443],[98.77700476],[13.14905265],[90.94099121],[52.33175807],[160.5537014],[82.2653073],[74.71448589],[49.89437572],[46.43464007],[49.69800207],[41.27122521]
229,[173.35391079],[81.31543873],[89.65812268],[84.2558063],[59.86486215],[132.89212197],[142.61937231],[59.65912552],[90.88010181],[22.9161455],[50.51801801],[44.05758633],[175.71572907],[416.05211057],[78.28302805],[104.71678613],[38.64201011],[141.14940941],[75.79047012],[66.30740238],[127.89316218],[64.76182442],[57.66598667],[39.68516865],[222.9793906],[25.12447867],[94.01059532],[41.11613951],[217.59078102],[53.26746431],[12.34516128],[65.15607764],[31.71853753],[88.61379158],[16.63723863],[65.69381687],[46.03417084],[144.31241867],[81.82685392],[135.5453765],[44.01545959],[114.97647672],[74.4534636],[88.66282129],[16.27113679],[121.61596226],[60.75127777],[45.32350887],[98.91484499],[13.26961598],[92.64678383],[52.4716966],[162.73431037],[82.18879056],[76.07889721],[50.04940134],[47.12779377],[49.64152845],[41.71484021]
230,[177.50093118],[82.48872581],[91.06251074],[85.80905388],[60.78305711],[136.71995113],[142.6918119],[60.16342771],[93.29883518],[23.41177125],[51.56908344],[44.72056172],[177.75873727],[424.03510523],[79.0739721],[104.43558254],[39.34178568],[145.46949312],[76.35108559],[67.78170858],[128.89481359],[66.87644096],[58.21446939],[40.5080574],[232.47714869],[25.73911723],[96.13293858],[41.71437446],[221.16026064],[53.86213818],[12.52774842],[65.47224662],[32.10005182],[89.82790427],[17.05589722],[67.28418041],[46.66882694],[146.45504972],[81.20318054],[135.68292335],[45.26735919],[116.02409175],[74.15263395],[90.0916963],[16.59690492],[123.85161846],[61.93472415],[46.23200563],[100.99328976],[13.53460095],[94.37882968],[53.68523607],[168.90243441],[83.28086073],[76.79379378],[50.91294306],[48.09801401],[50.71708399],[42.74975852]
