,Advance_Auto_Parts_predictions,Amazon_predictions,AutoZone_predictions,Best_Buy_Co_predictions,BlockHR_predictions,BorgWarner_predictions,Carmax_predictions,Carnival_predictions,Chipotle_Mexican_Grill_predictions,D_R_Horton_predictions,Darden_Restaurants_predictions,Dollar_General_predictions,Dollar_Tree_predictions,eBay_predictions,Expedia_Group_predictions,Ford_Motor_predictions,Gap_predictions,Garmin_predictions,General_Motors_predictions,Genuine_Parts_predictions,Goodyear_Tire_Rubber_predictions,Hanesbrands_predictions,Harley_Davidson_predictions,Hasbro_predictions,Home_Depot_predictions,Kohls_predictions,L_Brands_predictions,Leggett_Platt_predictions,Lennar_predictions,LKQ_predictions,Lowes_Cos_predictions,Macys_predictions,Marriott_Int_predictions,Mattel_predictions,McDonalds_predictions,MGM_Resorts_International_predictions,Mohawk_Industries_predictions,Newell_Brands_predictions,Nike_predictions,Nordstrom_predictions,Norwegian_Cruise_Line_predictions,OReilly_Automotive_predictions,Polo_Ralph_Lauren_predictions,Pulte_Homes_predictions,PVH_Corp_predictions,Ross_Stores_predictions,Starbucks_predictions,Target_predictions,Tiffany_predictions,TJX_Companies_predictions,Tractor_Supply_Company_predictions,Ulta_Beauty_predictions,Under_Armour_Class_A_predictions,V_F_Corp_predictions,Whirlpool_predictions,Wynn_Resorts_predictions,Yum_Brands_predictions
162,[137.39626997],[1007.84742271],[621.94005913],[59.75520643],[26.88489508],[44.33698897],[63.58171543],[65.3938292],[477.97128849],[33.75197103],[91.24981918],[78.62148865],[80.38414753],[35.26411463],[146.42845091],[11.34699712],[22.53394372],[52.95618278],[34.41391198],[94.15475484],[34.48296257],[21.23286344],[53.1259364],[107.17072613],[155.35377564],[38.93392811],[52.45578831],[52.46874365],[52.73485695],[32.33853116],[80.2938928],[23.76414733],[110.16074894],[22.51847887],[153.75648943],[32.50598398],[239.46606314],[53.38789229],[52.99591868],[42.44940285],[51.12124973],[246.11135417],[69.03271877],[23.701643],[106.06935313],[63.72454867],[64.53886469],[55.49249263],[89.9508704],[75.30031687],[55.61701062],[311.79794058],[20.02081479],[54.27213953],[189.84809698],[134.54213321],[73.90660865]
163,[135.54705613],[1012.30391599],[615.93875218],[59.60279244],[26.80983927],[44.26211281],[62.65554067],[65.06053824],[472.73831533],[33.27889245],[91.82796251],[78.56263305],[79.22918663],[35.4999491],[147.9446295],[11.22857474],[22.42569781],[53.56383755],[34.41723012],[93.90677429],[34.47634381],[21.22998265],[53.37624477],[107.80999478],[154.80314339],[37.93960478],[51.84052956],[52.63783643],[52.40585903],[32.37029751],[79.57851008],[23.86196964],[108.24308482],[22.77402731],[152.80816703],[32.20179754],[240.20415152],[53.07495021],[52.97012459],[41.56713592],[50.27362992],[240.09138785],[69.12082126],[23.38671092],[105.17910535],[63.30258709],[64.2442242],[55.6830746],[91.05563612],[75.02718995],[55.84022155],[313.8407558],[20.20614037],[54.28143251],[191.85071207],[133.0086248],[74.14856196]
164,[131.52839435],[1002.71494838],[605.47341666],[58.62963384],[26.34446944],[43.89435988],[61.70661335],[64.31996599],[470.20339365],[33.27036599],[92.09677421],[75.62792364],[77.07965279],[35.44134424],[146.58494212],[11.09951749],[22.0521496],[52.83557145],[34.40527219],[92.1616797],[34.48318581],[21.07310523],[52.05763994],[108.03750301],[154.39917134],[35.8045055],[50.3683041],[52.04191059],[52.22602587],[31.88836804],[78.8345833],[21.83010079],[105.0140476],[22.76961618],[151.32687888],[32.50899015],[239.8199075],[52.79172284],[52.41857697],[40.25316414],[49.7834694],[236.07092171],[68.74389729],[23.44371179],[103.6182915],[61.84741254],[64.14299299],[54.55660216],[91.53322503],[74.06970135],[54.98812712],[307.00203961],[20.12645353],[53.69957181],[188.92802162],[132.25915617],[74.24873645]
165,[130.83121598],[1010.14404674],[606.91737029],[59.34446107],[26.4019335],[43.62613482],[62.49030469],[64.27122951],[462.10323048],[33.68782065],[92.16061185],[74.1720394],[75.35633869],[35.73242451],[146.45976982],[11.05349552],[22.0980167],[51.90615704],[34.31112387],[91.79410661],[35.11027784],[21.2397442],[52.17832891],[108.46047991],[155.08837534],[36.17635082],[51.1366341],[51.89585502],[52.40682423],[31.84909411],[77.80981394],[21.80298894],[105.13245052],[22.34021232],[152.09676154],[32.72608065],[240.30163694],[53.00426573],[53.23895817],[40.49591643],[50.90300061],[235.46500925],[68.97921416],[23.55398005],[103.12826765],[62.12290797],[63.48467667],[54.57260088],[92.28217772],[74.32726081],[54.42446425],[307.86522611],[20.44491402],[53.6184197],[189.26967858],[132.23912589],[74.24517367]
166,[125.73941647],[1011.61031134],[600.34774421],[59.09668901],[26.35103265],[42.40745091],[60.7539328],[64.37613418],[460.10529926],[33.54284956],[91.96766021],[73.61632203],[74.85755184],[36.08126237],[149.28808263],[11.10036111],[22.2665002],[51.90670888],[34.09189229],[90.79963765],[35.24736027],[21.23888008],[52.82018202],[108.55075589],[153.46791996],[35.25512229],[50.50608219],[52.105109],[52.12016405],[31.50964444],[77.70637115],[21.63992194],[105.26713281],[22.40078658],[151.47403152],[32.79595211],[239.25656939],[53.02427694],[53.15832978],[44.54799971],[51.75165494],[230.84901943],[69.0781282],[23.4260888],[103.09371585],[61.32319646],[62.27092706],[54.59262043],[93.66818622],[72.97792538],[54.40147233],[307.9702389],[21.07586638],[53.57612226],[189.25111853],[134.70178396],[73.96484279]
167,[128.69518498],[978.48637094],[605.9040339],[58.21423003],[26.20828583],[42.87307632],[59.70989571],[63.44398607],[460.94453648],[33.65039025],[92.17469034],[75.13519357],[75.36253837],[34.91992908],[143.62039664],[11.13297491],[22.8283497],[51.93583318],[34.34388143],[91.63683462],[35.46699906],[22.02237763],[53.31019607],[107.97148291],[153.10694154],[37.76287123],[52.17893167],[52.1731205],[52.03916336],[31.96656725],[78.68285155],[22.63462066],[102.53898522],[22.2329048],[151.53376949],[31.95080002],[240.35394461],[53.32785046],[53.41968047],[46.88464877],[51.03381087],[233.08860317],[70.06306488],[23.45465089],[105.52987121],[61.98041509],[62.18402652],[56.90258573],[94.68394502],[73.77284932],[56.95004329],[308.43917192],[21.80359853],[55.3124924],[190.95975456],[129.668702],[73.12510632]
168,[131.15127064],[964.48062416],[612.96685824],[57.27977696],[26.41821829],[43.68269161],[60.86466431],[63.71027772],[461.76076363],[33.38757752],[92.00145776],[75.02979477],[75.37340678],[34.20595511],[144.50919445],[11.28981931],[23.13633914],[51.94313998],[34.69902075],[93.00461369],[35.75035294],[22.7526581],[53.19745621],[108.53766646],[152.40368106],[37.9937107],[53.81545654],[52.78386545],[52.72552909],[32.34556004],[79.0797763],[22.60614638],[102.01837777],[22.22311018],[148.53517982],[31.5885681],[239.57753639],[52.72477614],[54.01335146],[46.17866707],[50.4563756],[235.02033332],[69.58487717],[23.46346842],[106.22620013],[61.83481727],[61.31121953],[57.6446219],[93.07462555],[73.78058443],[57.81987319],[301.20335285],[23.08026324],[55.87316954],[190.59693605],[130.0538838],[71.98063946]
169,[131.23208045],[984.18829465],[611.25729097],[57.81201227],[26.94513524],[43.96538325],[61.56888262],[64.0740151],[464.4440086],[34.01159928],[90.17313946],[75.83498],[75.54666733],[34.46947526],[145.91740948],[11.2698029],[23.42338277],[51.62498022],[34.49243217],[93.88569185],[35.68918541],[22.77913162],[53.57664686],[110.09585297],[154.11763193],[38.00340735],[53.53413796],[52.5933288],[53.63724039],[32.65695944],[79.68134837],[22.26141154],[103.91998609],[22.62696477],[149.97075264],[32.10554213],[242.15167324],[53.93122549],[54.27383087],[46.4954958],[51.97719594],[234.37215189],[69.9871069],[24.12334815],[105.66053247],[62.08186974],[60.9297881],[57.34765175],[91.84367836],[73.98343044],[57.1734393],[302.90048188],[22.79266584],[55.92028948],[193.8640275],[134.02098161],[72.74198593]
170,[130.90144384],[979.08446627],[608.64659284],[57.43384016],[29.05144475],[43.28784992],[61.8661543],[64.79525504],[459.48985669],[34.31866432],[90.48681217],[75.69262042],[75.33604782],[34.4513657],[147.88304686],[11.20814101],[23.23019789],[51.7271308],[34.59987056],[94.37840496],[34.88067962],[22.8699327],[53.24191218],[109.30621],[156.88290596],[37.69899858],[52.83596675],[52.80897509],[53.90996228],[32.52475223],[80.55132605],[22.76256984],[104.05335234],[22.10459948],[150.73636197],[32.38620429],[243.73214229],[54.73683932],[54.62929788],[47.47419278],[52.11760346],[234.53820371],[70.37882286],[24.25807815],[106.46042106],[61.08471599],[60.25380034],[57.98736959],[91.48323507],[73.14923852],[56.02288724],[302.85211495],[22.57888846],[56.3670474],[196.53113198],[133.70441414],[73.05917268]
171,[131.25299215],[963.14118943],[613.01569453],[56.63970365],[29.93137343],[43.25033221],[61.5979963],[65.55007502],[455.63855385],[33.84392637],[89.88798713],[72.28405729],[72.64843408],[34.09849685],[145.58386885],[11.23267092],[23.05725088],[51.71298549],[34.59016117],[94.86631289],[34.56333216],[22.51510881],[54.81336977],[109.13398126],[156.55017828],[37.28881226],[52.09781633],[52.35876336],[53.08433695],[32.50005782],[80.37298456],[22.67712293],[104.77403243],[20.61718484],[151.1266718],[32.65648731],[242.56944691],[54.52211065],[52.83535029],[46.90375415],[52.90301655],[234.13874708],[71.50199367],[24.08466587],[105.43277314],[60.90860236],[60.09674149],[55.4664718],[91.03645574],[72.64234046],[55.67680956],[300.60265808],[21.54188532],[55.94535368],[196.14367103],[133.78885284],[72.63035764]
172,[130.01222948],[988.33146741],[594.73792624],[55.7937047],[29.98345829],[40.95412214],[60.69265319],[65.60381688],[450.87565753],[33.70667671],[89.33605844],[70.39183253],[70.07861611],[33.97359391],[146.13818952],[11.21230443],[22.84582935],[51.3571596],[34.25433334],[95.57314786],[33.45524082],[22.53057338],[55.32522726],[109.71559176],[156.72554155],[37.36529844],[51.57137707],[52.75945616],[52.93799277],[32.41230103],[79.83798888],[22.91535862],[104.48768931],[20.70918044],[152.04177568],[32.5998999],[241.99004278],[54.90552669],[51.10041163],[47.43881779],[52.8283266],[231.53650017],[72.02136623],[23.99524531],[105.07116668],[60.07767237],[60.11775739],[52.77467566],[92.14929401],[72.52891479],[55.43999291],[296.03483029],[20.88145132],[56.25404881],[195.90748778],[134.20751566],[72.74735109]
173,[129.57611786],[997.077186],[596.73534904],[55.77964915],[30.57504267],[41.17843917],[61.67783228],[66.27823279],[459.10908067],[33.86122699],[90.45382355],[71.75687169],[70.68880711],[34.85287898],[148.43774959],[11.23674125],[22.99921641],[51.79120364],[34.34871974],[93.45347781],[33.57597087],[22.33344965],[55.36906607],[111.26657867],[159.05471633],[37.49234399],[51.86375597],[53.49024121],[52.73452516],[32.88799061],[81.02183244],[22.67787797],[106.04782332],[20.40585194],[153.18634406],[33.16593375],[243.92182739],[54.35256263],[52.09763777],[48.09414679],[53.73483772],[230.64035569],[71.34926898],[24.14964013],[105.72909458],[60.6588382],[60.85376969],[51.8196222],[93.91473242],[72.48032421],[55.63576192],[294.58757642],[20.97953436],[56.78640472],[196.98926057],[138.31214558],[73.89099881]
174,[123.57367328],[992.0726558],[587.58283081],[54.93337766],[30.13692522],[40.7578614],[59.24030648],[65.63892458],[425.14110156],[34.17410024],[88.84841776],[71.07411079],[68.77150478],[34.85509628],[147.84664533],[11.10885269],[22.11714683],[51.37882891],[34.40320794],[91.33061689],[33.21318883],[22.03011915],[55.34841108],[111.36943035],[157.43246703],[36.02783027],[52.40566558],[52.97353146],[53.89980253],[32.39989521],[80.49100204],[22.07224428],[104.22767926],[20.05345404],[154.09915919],[33.14745074],[243.10263683],[53.25694065],[51.47591617],[46.09585634],[53.06745115],[225.35371622],[70.49025296],[24.23423303],[104.76333808],[57.73940553],[59.84823611],[50.84475651],[92.19667759],[70.44189589],[53.70109273],[297.01428752],[20.41217992],[54.91223051],[194.62206932],[137.07469799],[73.8678035]
175,[120.37323785],[1001.8452173],[573.81601921],[55.18811329],[30.9563948],[40.98377286],[59.84495302],[66.41940367],[418.65429622],[33.96094405],[88.31607103],[71.88434858],[68.01474316],[34.9431664],[149.48247904],[11.02537977],[21.87503978],[51.18131183],[34.11034773],[89.79898527],[33.67229765],[21.99605013],[55.825447],[111.31633679],[156.64226836],[35.59396565],[51.4778284],[52.84761901],[53.2579161],[32.11709504],[79.24741921],[21.56038546],[104.23152713],[19.96076275],[153.76467789],[32.96993659],[243.12282501],[52.66438939],[52.53218358],[46.13057809],[55.02955973],[221.10248939],[70.66948795],[24.28837625],[105.10514177],[56.94996754],[59.93301412],[50.40762648],[91.34287109],[69.59945234],[52.7531922],[289.3862955],[20.2924896],[55.21730021],[193.87876899],[137.25509912],[74.35424119]
176,[121.11181579],[1002.21311463],[581.27170723],[55.22181793],[31.06249866],[40.94797468],[62.48758938],[65.67610443],[420.41189218],[33.51444169],[89.12346897],[71.16576666],[67.85859068],[35.09099358],[151.88486746],[11.13105941],[21.96171165],[51.39445008],[34.19156228],[89.54084085],[33.52244237],[22.19939467],[56.15961133],[110.57998124],[155.77263123],[36.27361205],[52.79068476],[52.73323217],[52.43914533],[32.08796585],[78.4763779],[22.04148519],[103.88580276],[20.28698619],[154.89072569],[33.25292717],[242.711138],[52.25691093],[52.33298163],[47.57308048],[55.34693073],[220.66919633],[71.28068331],[24.03934254],[109.00895801],[55.98746397],[59.4903679],[50.50953085],[91.39026589],[68.97803606],[52.49196916],[284.17554357],[20.61112583],[55.83301349],[195.28762999],[136.83676424],[74.46084792]
177,[119.43233156],[1004.08912178],[575.7108587],[55.16753663],[31.33633235],[41.16079562],[61.60463739],[66.47000982],[415.8684862],[33.91584596],[88.83360775],[69.75805949],[66.47183024],[35.51771054],[154.51478373],[11.03440299],[21.96807688],[51.29993616],[34.20073909],[90.82307976],[33.67191237],[22.55901867],[55.51178509],[111.96154842],[151.20529882],[36.9352762],[53.47578067],[52.63714265],[52.18413874],[32.25469282],[76.17315306],[22.19407107],[104.20804035],[20.66841556],[154.6939303],[34.18147981],[246.67231137],[53.35857438],[52.82708331],[47.81597786],[54.82986119],[220.25646067],[72.7280722],[24.15994269],[110.30295879],[56.33004121],[59.81539321],[50.6885039],[91.83454036],[69.49328],[52.65938601],[285.18518947],[21.14481723],[56.46838888],[188.74515076],[138.37084226],[74.79858392]
178,[122.1100375],[994.34289187],[579.25363753],[56.27060373],[31.27441258],[41.90251042],[63.49876737],[66.03675046],[415.0776715],[33.92561301],[89.94371526],[70.53281946],[68.61258718],[35.0522315],[151.66743781],[11.18427566],[22.18267504],[51.30786329],[34.52361711],[91.26656142],[34.12965989],[22.7010121],[55.08948704],[111.82489193],[151.87786642],[37.44988873],[53.63097415],[52.93839043],[52.46782227],[32.68143754],[76.74897884],[22.44454198],[103.95855513],[20.56907067],[154.01142515],[33.82644894],[246.58451429],[53.43028799],[53.26105237],[47.70104605],[55.37288882],[223.07316948],[72.84082991],[24.18445741],[112.41975041],[56.71186485],[59.60618758],[51.45218515],[92.33128305],[69.94710671],[52.90358355],[290.46584308],[21.4978009],[57.15413223],[190.82052638],[137.10532369],[74.70158707]
179,[122.0829215],[977.23436193],[579.67568145],[56.1617575],[31.36697108],[41.08441875],[63.02808434],[65.09637232],[413.84302606],[33.79894783],[92.55840759],[70.66593307],[69.22960181],[34.91498566],[147.60585249],[11.07500807],[22.50552878],[50.58556391],[34.19959773],[90.97127493],[34.39455214],[22.77646592],[54.51874936],[110.5238416],[152.51058334],[38.36810352],[54.3917518],[52.36448158],[52.12784194],[32.36595287],[76.48630869],[23.08229285],[101.09982941],[20.58855332],[153.83046321],[33.77472535],[243.78119657],[53.18662934],[52.90341578],[47.71969663],[53.89600769],[221.95383309],[72.84068023],[24.08522025],[112.52230717],[56.52240482],[58.96061747],[52.01093364],[93.71210007],[69.95083523],[53.75323909],[283.08020016],[21.68285001],[56.7511508],[188.72904008],[135.56616208],[73.97554157]
180,[116.42692161],[991.75713699],[568.9224496],[56.79004882],[30.77001962],[41.11271013],[62.09201184],[66.16824839],[416.86621771],[34.26868689],[91.7056562],[71.475062],[69.92420057],[35.28098228],[150.21032998],[11.07975198],[22.47535846],[50.95680335],[34.57198595],[92.00847302],[34.88208274],[22.77214958],[54.78294097],[110.98596176],[153.17158756],[38.39617179],[54.24986107],[52.67496228],[52.92568999],[32.39659655],[77.05186362],[23.1580525],[102.02332206],[20.64109691],[154.37934042],[33.64058474],[244.01514788],[53.41352861],[53.35278789],[47.70272796],[55.46386358],[217.09292716],[72.6502524],[24.49440943],[113.0910061],[57.74808609],[59.14558103],[52.02879203],[93.84442514],[71.20953685],[53.15137248],[285.06448799],[21.51203966],[56.91303067],[188.47761691],[135.81714061],[74.17159412]
181,[116.58622075],[977.84223984],[560.54116761],[57.27226591],[30.89408825],[41.21268719],[62.31485972],[65.13628798],[419.15953348],[33.78163692],[91.80939473],[70.8591853],[69.85825265],[34.47337553],[148.51768998],[11.17264093],[22.21872736],[50.95998719],[34.87702264],[91.01494792],[34.73997601],[22.91657206],[54.14253122],[110.09473964],[152.28875793],[37.9690197],[54.15954143],[52.17371967],[52.69904009],[32.62675657],[76.78477128],[22.94721219],[100.26353734],[20.84498284],[153.16598657],[32.84778706],[239.80049178],[52.8884179],[53.14042053],[47.53627394],[54.28323916],[216.48360687],[73.15383543],[24.04743548],[113.67044943],[57.25468861],[58.36588134],[52.10949586],[92.48140966],[70.99023764],[53.01542465],[286.35398645],[21.19552478],[56.85434288],[188.13514021],[132.85752333],[73.474599]
182,[116.63310757],[968.2295932],[570.90906468],[57.32396435],[30.87891193],[42.320395],[63.02054741],[65.69582733],[415.93260942],[34.61871733],[90.61682546],[72.19171415],[69.91031398],[34.93901409],[149.51280973],[11.18767194],[21.94800983],[51.04312606],[34.90427942],[92.83228077],[34.94182666],[23.09336799],[54.09699496],[111.56553119],[153.60950672],[38.66603428],[53.90217742],[52.53130937],[53.31692064],[32.94284771],[77.46661843],[23.23697057],[100.4564764],[21.51145206],[153.25497884],[31.26231395],[242.17830349],[53.74656979],[59.09266492],[47.80772561],[54.41320261],[219.0070482],[73.69103116],[24.55547638],[114.34258799],[57.70348404],[58.30203898],[52.31173388],[93.93131358],[72.02965625],[54.12932941],[287.69630976],[21.69376602],[57.54260473],[191.59104059],[134.04932686],[73.81563081]
183,[118.16729125],[954.36094505],[572.14652849],[59.16950759],[31.0921454],[43.25448218],[63.73955825],[65.2972837],[417.22894495],[34.29426743],[91.4508939],[71.82153212],[69.91677702],[34.56248284],[147.63596865],[11.58213454],[22.86797873],[51.80488338],[35.58997892],[93.62762661],[34.95506251],[23.198366],[54.80291397],[110.76090857],[154.0707059],[39.52906664],[55.51457108],[52.47221896],[52.56332199],[33.31962425],[78.28520649],[23.81211789],[100.04764133],[20.92513004],[152.58870672],[30.56652716],[241.04582867],[53.38268973],[58.43245784],[48.38534436],[54.50303873],[220.31232393],[74.80088795],[24.45484323],[114.81901227],[58.18058188],[58.21979274],[52.6559952],[93.5965965],[71.47467737],[54.94771491],[283.43786597],[22.20479979],[57.68058816],[191.94325539],[131.07109409],[73.34696076]
184,[104.94324761],[973.23884438],[518.20872752],[58.18557317],[31.01007936],[43.20626537],[63.39447184],[66.51367292],[412.83018967],[34.6959331],[90.19561499],[71.2701253],[68.11641551],[34.70308103],[150.49988433],[11.2893008],[23.08121923],[52.06330768],[34.96853118],[89.12267314],[35.07045045],[23.11651899],[53.94117256],[112.06857572],[152.53537478],[39.25846419],[54.1554741],[52.7081203],[52.40383739],[32.46648876],[77.40344215],[23.48289447],[101.29624197],[20.94915305],[153.13189358],[31.03843522],[244.13217936],[53.78611144],[57.46744519],[48.06510404],[55.48748572],[179.26578669],[72.98398554],[24.66384954],[113.3928054],[57.36566208],[57.94338008],[52.10906536],[93.12982061],[71.23332677],[53.05354089],[279.27354149],[22.05155975],[57.29528704],[193.1253519],[132.3993957],[73.12677791]
185,[104.13056765],[966.70479172],[509.6349945],[57.58074623],[31.28723879],[42.9777921],[63.54126983],[65.55617927],[412.80221604],[34.4589655],[89.75953337],[70.13770758],[68.00014371],[34.02986447],[148.63724589],[11.15121946],[22.74326475],[50.98206231],[34.82041963],[86.93324291],[35.11727537],[22.45894064],[52.91203699],[111.17625124],[152.29830196],[38.3145136],[46.5707949],[52.19069917],[51.91272251],[31.39960353],[76.67922566],[22.84372642],[99.68605035],[20.6900283],[153.14848887],[30.33764951],[241.56056386],[52.97244535],[57.28148472],[47.369228],[53.96984136],[178.85028802],[70.4053015],[24.39643177],[110.88951796],[56.31590733],[57.57380469],[51.45704992],[93.02216447],[70.33206159],[51.40084948],[273.68743646],[20.51266321],[56.12015824],[189.81161209],[130.88195501],[72.66200105]
186,[102.32019111],[978.69045597],[505.4043015],[57.92853214],[31.357408],[44.02111016],[63.93658781],[65.86244958],[413.73481631],[35.80039388],[90.12164645],[70.27490992],[68.01119916],[34.2279205],[149.96843064],[11.25483237],[22.59910111],[51.15718832],[34.94939337],[86.64370283],[35.47683345],[22.87603861],[52.51145895],[111.99746036],[152.38902851],[38.27302269],[45.22062326],[52.87061835],[53.49929983],[31.45519632],[77.11919573],[22.65646716],[100.40405344],[20.81121654],[156.31700139],[31.0354355],[245.96396255],[53.36234284],[58.06122888],[47.5964013],[54.80748945],[174.81833174],[71.95417399],[24.94255553],[112.08361668],[56.13110352],[58.01190871],[51.09554244],[93.86483414],[70.47928022],[50.94434826],[277.47627531],[20.5841503],[56.66669685],[192.16150687],[132.44602395],[73.51601765]
187,[100.31770913],[997.20650241],[506.29170813],[54.37182671],[31.35087633],[45.09857012],[64.19180312],[65.84537825],[407.40402577],[37.04610554],[89.38099414],[69.41019638],[66.24777413],[34.99130862],[149.87252972],[11.34222547],[21.14915503],[50.2962186],[35.18154736],[84.89266911],[35.69321474],[22.84136064],[52.57122556],[112.17919181],[151.14597036],[36.63622284],[44.34794128],[52.49028731],[54.59702138],[31.70739957],[76.93822438],[20.9836478],[100.72635066],[20.88902074],[155.5088234],[31.15824156],[246.42873371],[53.39700725],[58.67166027],[46.22596357],[54.00506837],[171.07326954],[72.17490715],[25.04610083],[111.83725644],[54.81074094],[57.79617341],[50.14875897],[91.24187845],[68.90774793],[50.65698572],[269.47796773],[20.50729626],[56.59406572],[192.93719077],[134.79390511],[73.5169615]
188,[100.87411825],[994.33605871],[501.05812732],[53.87277043],[31.31677696],[45.57300355],[63.69594399],[65.73144044],[396.08131863],[36.94926171],[89.2878046],[69.097434],[66.99354839],[35.11892904],[150.1282856],[11.38597846],[21.15395522],[50.33484342],[35.42004875],[84.58489986],[35.93537113],[22.6600867],[52.11168989],[112.32980827],[150.77576335],[36.9121267],[43.69052269],[52.53276804],[53.67402598],[31.97361807],[76.3615838],[21.1360865],[100.85723095],[20.85473106],[154.95145948],[31.48695183],[246.71869723],[52.99146624],[58.08958691],[46.42780553],[54.06841135],[174.50267098],[71.99413813],[24.68811772],[111.81922655],[54.36896343],[57.87430236],[50.43991164],[90.93950006],[68.7591125],[50.11684303],[255.92701218],[20.20364311],[55.80658196],[191.1743901],[134.29225304],[73.95563623]
189,[101.06183035],[1005.87882979],[492.94587901],[53.24003767],[31.51047622],[45.62876075],[64.23401991],[66.06172505],[396.9946415],[36.64052428],[89.60512176],[69.75981154],[67.44572671],[35.99474924],[152.36799381],[11.47269464],[21.50844947],[50.32563546],[35.4941128],[84.06278431],[36.08407883],[22.81515129],[50.46559009],[113.03619414],[152.88047332],[37.10814804],[44.20744521],[53.15373055],[53.79026502],[32.11157093],[76.30478344],[21.11310147],[100.81197299],[20.8478622],[156.73452726],[31.76510907],[247.77157891],[53.13796418],[58.22030889],[46.65894968],[54.05447375],[176.99919564],[71.09111249],[24.39773694],[112.02667141],[54.1355132],[58.49046422],[50.79625721],[92.44911823],[68.99828957],[49.99789005],[262.13438176],[19.92773036],[55.95477738],[192.33058918],[135.02339446],[74.03511655]
190,[103.27117421],[1000.33144167],[507.46856989],[54.46700594],[31.26118656],[46.15741316],[65.00805878],[66.16655983],[399.90641539],[36.56135576],[88.69536483],[70.50001599],[68.51581196],[36.41750821],[152.91289566],[11.60400605],[22.81927374],[50.27817094],[35.85848774],[83.64629215],[36.05776564],[22.97731707],[51.48337189],[111.79766717],[153.21258663],[38.8336456],[45.36577265],[53.17308113],[53.76404039],[32.32463406],[76.51611508],[22.05148505],[100.76336181],[20.69986736],[155.04161101],[31.9052993],[248.02894371],[53.47403716],[57.94190115],[47.21044418],[54.27855627],[184.70890756],[71.65378998],[24.37227492],[113.13447426],[54.42415879],[58.36660531],[53.33848109],[94.08346126],[70.0326081],[50.33654536],[258.36475954],[19.86061416],[56.01957707],[192.33289409],[134.8312343],[73.41414714]
191,[101.8038696],[1002.03048919],[506.12616868],[55.23516521],[30.56927734],[46.24984648],[64.41699999],[65.79197022],[396.07723064],[36.74816109],[88.92963914],[71.12064094],[69.1980925],[37.0053398],[154.18312421],[11.68193565],[23.33489473],[50.30699119],[36.35535448],[83.4348543],[36.26757233],[22.63698032],[51.60638765],[113.23328784],[152.85015162],[38.74132098],[45.52732876],[53.2265535],[54.00603061],[32.53136451],[76.13047725],[22.31573068],[101.05180489],[21.04294298],[155.37569853],[31.89416653],[247.73510793],[53.83914849],[57.98568874],[46.82342856],[53.44794765],[183.98941293],[71.24578392],[24.37901329],[112.52899076],[54.74857235],[58.71971568],[53.00853249],[91.81102005],[69.75748787],[51.50922429],[261.58710982],[20.34141404],[56.06147092],[192.27867508],[130.46036236],[73.60426624]
192,[101.86751091],[1010.8346055],[502.73189856],[55.99981057],[30.3134377],[46.19812282],[65.08773835],[67.02510191],[392.18080762],[36.67973651],[89.64602909],[71.91639227],[69.89777223],[36.99549853],[152.49938076],[11.73854324],[23.37763241],[50.60045471],[36.35923174],[84.12782355],[36.32269884],[22.87311115],[52.07470831],[112.85413822],[154.13930913],[39.83375027],[45.43493029],[53.14904098],[53.65150201],[33.19237827],[76.47783062],[23.06933486],[101.40510795],[20.8040815],[155.36029538],[31.83549021],[248.25941141],[53.9298694],[57.75752415],[47.376737],[54.20916533],[185.39778719],[72.82922818],[24.38194775],[113.63632946],[54.70639827],[58.3029825],[53.82956707],[92.25243839],[70.24063285],[52.29619427],[254.01228055],[20.37613799],[56.21880478],[195.52803181],[129.69969339],[73.57022061]
193,[100.38296058],[1025.48945644],[496.69961273],[55.86089846],[30.3382862],[46.17478519],[64.71668738],[66.73227523],[374.48959795],[36.43011814],[89.13215316],[70.7664949],[69.28885027],[36.76809426],[153.60987335],[11.74384699],[23.01536586],[50.219915],[36.40445456],[82.96296438],[35.71298624],[22.75376801],[48.96120735],[113.44663557],[152.04852274],[39.69524795],[44.64337292],[52.30731068],[52.98011319],[33.04809127],[76.02820687],[22.66198112],[102.06216028],[20.83286583],[154.01003759],[32.58016709],[246.97343855],[53.83233808],[57.62530273],[46.31031891],[54.15412936],[187.83708091],[71.95612722],[24.17172363],[112.91572082],[54.30444719],[58.2015787],[53.70947556],[91.68469459],[69.8907056],[51.79950691],[258.70338435],[20.13915192],[55.90779062],[196.1729829],[133.52390262],[73.78180316]
194,[100.78314602],[1027.09540603],[493.60045592],[56.18358201],[30.29358829],[46.72813807],[64.85534429],[66.80823989],[373.11573668],[36.66686835],[89.81035672],[71.51620917],[70.39568079],[37.05406014],[155.50994125],[11.82735648],[23.2226479],[51.6329487],[36.45195095],[83.04499804],[35.70916771],[23.10505611],[48.88196356],[114.09486079],[153.47359726],[39.70722983],[44.54808933],[52.61994265],[53.35640432],[33.39453763],[76.79257398],[23.00912118],[102.29481292],[21.26421551],[154.00633239],[32.77583063],[248.08679673],[53.72573985],[57.75384442],[46.89398999],[54.40831625],[186.70649355],[73.00486655],[24.46949634],[113.93247857],[54.39316103],[58.08254392],[54.19477903],[91.9372848],[70.28227559],[51.74746092],[257.29294906],[20.41822434],[56.51331905],[198.25852544],[133.36306467],[74.12207017]
