,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
37,[35.65036361],[38.86414856],[60.59047881],[23.77105661],[69.93690926],[27.03906919],[26.42157951],[56.23158374],[75.44189476],[115.08567522],[24.14223987],[116.87911356],[11.76262545],[11.9954643],[87.67835683],[47.39796197],[17.9955183]
38,[35.79625061],[38.62496567],[60.16759181],[23.92671505],[68.77870955],[26.54141097],[25.98114122],[55.50002657],[75.9936011],[115.81876903],[24.00263286],[120.40693923],[11.63362394],[12.03769662],[86.31101489],[47.61506019],[17.83445893]
39,[36.5261801],[38.68209549],[60.95548113],[24.19687886],[68.68077907],[27.27505848],[26.54587323],[56.67932105],[77.75156066],[118.14456501],[24.0068151],[118.70000369],[11.82531334],[12.06075694],[86.23000133],[48.30581167],[18.13703162]
40,[36.71284428],[39.33891398],[61.12139699],[23.99157503],[68.75133094],[27.73565699],[27.01395877],[58.55888176],[77.07213137],[117.51042193],[23.2912167],[124.2074088],[11.79007534],[12.03904357],[84.25979638],[48.16204001],[18.15140255]
41,[37.44619966],[40.52374647],[63.45887619],[24.27702082],[69.37005536],[28.6849137],[27.94828414],[58.64217178],[78.14347564],[117.75528202],[23.45741369],[124.7825063],[11.80135167],[12.14330184],[85.40537555],[49.17770866],[19.37511128]
42,[37.37772521],[40.430308],[63.58391155],[24.09750187],[69.27951044],[29.49140483],[28.65110105],[60.00277045],[77.77742269],[118.91395038],[23.64419654],[122.90216245],[11.92807708],[12.19060854],[85.28847125],[49.58072372],[19.57087964]
43,[36.79324579],[40.33427748],[62.69999036],[24.10215564],[69.48368415],[28.9707106],[28.13407764],[58.88686918],[78.8101782],[119.73186494],[23.9206366],[122.48240657],[12.03329021],[12.39994032],[86.91264689],[49.65184679],[19.53926734]
44,[37.20166997],[41.08695831],[62.16418709],[23.91684332],[68.99800338],[28.47966933],[27.61821886],[57.80019728],[80.74755108],[117.65737821],[23.99033689],[122.52806097],[12.00367531],[12.29295424],[87.2129345],[50.05638537],[18.84622732]
45,[37.34397141],[41.39928884],[62.93270494],[24.44534815],[70.00515028],[28.6717723],[27.74618228],[58.51876278],[80.75132802],[120.34131511],[24.28611272],[123.47785394],[11.86721689],[12.23157316],[88.3537154],[50.68931299],[19.12854948]
46,[36.77093714],[41.10972909],[63.60706501],[23.8202885],[70.01091955],[28.57107139],[27.6413661],[59.71927724],[80.67770614],[120.46723642],[24.11099509],[123.05289688],[11.87019732],[12.19283828],[87.88732133],[49.92747234],[18.88243113]
47,[37.03310452],[41.47655817],[64.0951437],[23.97588137],[69.89729011],[28.76717586],[27.74677831],[58.44173099],[81.52806085],[120.48930967],[24.16675085],[124.64720386],[11.66695694],[12.01638062],[88.09122274],[50.45587001],[18.74845807]
48,[36.50983369],[41.67665982],[64.56371923],[24.18093687],[69.8926939],[28.32734963],[27.46903998],[58.45002588],[79.4261379],[119.80119637],[23.89989422],[123.80671048],[11.59566443],[11.99650364],[86.2536952],[49.39223653],[18.62287023]
49,[36.67174316],[42.1651525],[64.33963668],[24.15717219],[70.1353184],[28.07129492],[27.29701956],[57.98726158],[79.59627803],[119.32043952],[23.88963501],[125.12829871],[11.73623533],[12.15143045],[85.98122931],[49.11205465],[18.16740259]
50,[36.86722416],[42.47559791],[64.63387115],[24.12725701],[71.0354276],[28.42124577],[27.58279028],[58.40862547],[79.61722894],[119.26134322],[23.72421707],[124.70552501],[11.63334826],[11.93569201],[86.15177283],[50.05053202],[17.91427785]
51,[36.91995397],[42.37035313],[64.60403011],[23.73963654],[70.82613491],[28.34516781],[27.59927392],[59.60226224],[79.81097669],[119.26432026],[23.52218605],[126.17882879],[11.72217571],[12.05479982],[86.01816857],[49.76246294],[17.08034457]
52,[36.47238004],[42.72053411],[64.51208129],[23.87411288],[71.04729422],[28.04889512],[27.3316075],[59.03500291],[79.93470143],[117.51846215],[23.58183041],[125.16709283],[11.744326],[12.05295606],[86.1880848],[49.4722964],[16.40275808]
53,[36.53560819],[42.73082084],[64.67101899],[24.06224201],[70.63873326],[27.92845806],[27.23247489],[58.9293746],[80.78405262],[117.39926605],[23.61653921],[125.28753623],[11.70835424],[12.02275678],[86.33821583],[49.90403005],[16.47101687]
54,[36.56536291],[42.6714811],[64.83413872],[24.12619307],[70.87894783],[28.02919753],[27.42706255],[59.52626735],[81.15164422],[118.32782001],[23.76140214],[127.96631223],[11.91470599],[12.26955571],[86.85508788],[49.69881686],[16.60488164]
55,[36.46207175],[42.50342431],[64.51640461],[24.01591132],[70.47207039],[27.80301478],[27.18640242],[58.92707026],[80.3822912],[117.0980114],[23.53641544],[125.49838145],[11.67320899],[12.02836542],[86.02439771],[49.36802105],[16.44342711]
56,[36.51393699],[42.67407234],[64.51524159],[24.01803511],[70.12683867],[27.60965404],[26.92744315],[58.42672792],[80.19242504],[116.35689683],[23.64226378],[125.05707665],[11.64528515],[12.03968117],[85.75208707],[49.67580284],[16.37397388]
57,[36.14440463],[42.540883],[63.60697632],[23.75362905],[69.0939572],[27.33525249],[26.71469144],[57.8899456],[78.7613972],[115.21442732],[23.42893619],[123.44835901],[11.45695839],[11.79022789],[85.104603],[49.30621233],[16.2188185]
58,[36.66885492],[43.05058307],[64.38462219],[25.42121374],[69.1140223],[27.87125648],[27.29286137],[59.76968516],[79.32429376],[117.14799661],[23.52100885],[127.25188825],[11.6635317],[12.02573803],[85.11939856],[49.31384787],[16.35390758]
59,[37.36709244],[42.77148052],[65.66974815],[25.42077232],[69.93726097],[28.21639701],[27.57609118],[60.35884063],[80.84931014],[118.98025494],[23.63189603],[128.93342264],[11.88528702],[12.26974228],[85.65924384],[50.16949104],[16.78365614]
60,[37.92227859],[42.66541692],[65.5292385],[25.44848641],[70.18160264],[27.10219294],[26.49743906],[60.82027128],[78.99174362],[120.6325018],[23.13052869],[131.39729372],[11.87439266],[12.23489028],[85.11845083],[49.42291985],[17.01007276]
61,[37.89399867],[41.25711394],[64.39800958],[25.36168319],[70.32589707],[27.40701613],[26.79701376],[61.33857654],[79.10772579],[123.21013767],[23.6144975],[130.56206856],[11.94407847],[12.2685806],[85.82650309],[49.98539411],[17.093635]
62,[37.69854768],[40.77587174],[63.46283849],[25.17463458],[70.84091596],[26.79397915],[26.18505217],[61.6323033],[78.68114505],[124.67836344],[23.53839363],[130.61918341],[11.98401442],[12.38310901],[85.35902764],[50.44709246],[17.37264475]
63,[38.39127163],[40.80540759],[62.61922465],[25.19507903],[70.8824073],[26.21524322],[25.60915185],[61.75019212],[78.97854665],[123.98563796],[23.32939337],[129.54052011],[11.97957686],[12.48111655],[85.33766307],[50.70278249],[17.25717473]
64,[39.19574292],[40.67757243],[62.96038024],[25.23792158],[71.7249964],[26.48033127],[25.97386202],[61.88932155],[79.15995645],[125.92816658],[23.66299562],[130.23559874],[12.03222189],[12.5444638],[85.76965948],[51.1791497],[17.20059928]
65,[39.11411583],[41.04641564],[62.347351],[25.17123639],[71.39864979],[27.10587961],[26.57074139],[62.29190876],[79.70902955],[126.72881839],[23.72438273],[128.84060686],[12.01172601],[12.44347197],[85.48687921],[50.84273551],[17.2799142]
66,[38.95538145],[40.96772888],[62.36402042],[25.26033382],[72.79004884],[27.32325628],[26.75833689],[62.26593792],[80.44550573],[128.33144063],[23.58578667],[133.40420025],[12.0370612],[12.43251913],[85.3792081],[51.52730699],[17.16027454]
67,[38.97555146],[41.1357099],[62.23379789],[25.46977526],[72.52618443],[27.73219777],[27.08522787],[62.17036263],[80.25588518],[127.78662977],[23.51349809],[132.39832826],[12.22882465],[12.69621024],[84.82588704],[51.40664499],[16.91921969]
68,[39.10869655],[40.77433653],[63.47479129],[25.44975633],[72.28374072],[27.92746859],[27.35013229],[61.31757371],[80.5707729],[127.81891139],[23.55284577],[132.96409002],[12.12721012],[12.53249446],[85.18340108],[51.76617797],[17.0284236]
69,[38.89119706],[41.01389229],[62.63668563],[25.4885504],[72.6431085],[27.88547263],[27.25492941],[61.72050032],[80.40163089],[127.61475119],[23.07961659],[137.94446107],[12.02934271],[12.44499336],[84.58524966],[51.84592397],[16.73978174]
70,[39.00405312],[41.46843948],[63.55167878],[25.54964051],[73.54186538],[27.80121361],[27.23518119],[60.05745669],[80.16705097],[127.17549044],[23.08483687],[138.1452199],[11.96594097],[12.34744941],[85.1574409],[52.26115907],[16.54045082]
71,[38.56820314],[42.06019683],[63.19926875],[25.80435185],[73.2631294],[28.17591763],[27.51132931],[61.58599898],[79.9515122],[129.12855004],[23.11408865],[137.0297376],[11.9361166],[12.36984873],[84.90990771],[52.22838264],[16.55715153]
72,[39.13394535],[41.34356143],[63.01654505],[25.53841798],[73.64619748],[28.40221061],[27.72629498],[62.36645176],[80.62982875],[129.55766751],[23.38025418],[139.71594609],[12.1093324],[12.61012558],[85.90757432],[53.08099116],[16.45406894]
73,[39.57653661],[41.36369022],[62.99668009],[25.68946961],[73.43166932],[27.48462843],[26.96161212],[62.28936826],[81.61324012],[131.44348203],[23.71946247],[139.15394586],[12.31308164],[12.70257453],[86.31344684],[53.822742],[16.68358433]
