,Activision_Blizzard_predictions,ATT_predictions,CBS_predictions,CenturyLink_predictions,Comcast_predictions,Discovery_Class_A_predictions,Discovery_Class_C_predictions,Dish_predictions,Electronic_Arts_predictions,Facebook_predictions,Interpublic_Group_predictions,Netflix_predictions,News_Corp_Class_A_predictions,News_Corp_Class_B_predictions,Omnicom_Group_predictions,Take_Two_Interactive_predictions,Twitter_predictions
221,[62.75022017],[37.9407822],[63.70291402],[20.74472495],[40.32963912],[22.72804598],[21.45090262],[56.67462448],[118.68152484],[167.56524738],[20.30378538],[166.98571933],[13.4143919],[13.78494232],[73.43224347],[95.47154514],[16.63536026]
222,[63.51004432],[37.86181109],[63.29645698],[20.57500369],[40.15846818],[22.3706406],[21.10835351],[57.79985979],[119.44646818],[168.35561736],[19.94097948],[168.55621238],[13.36464656],[13.71562621],[72.81355444],[95.99286542],[16.83482177]
223,[65.55926117],[37.65152397],[64.50190429],[20.38063215],[40.82173911],[22.1117416],[20.77163085],[57.17008713],[122.1800757],[170.02421762],[19.80464349],[174.39423631],[13.29886158],[13.58911317],[72.35824776],[97.47264397],[16.88810929]
224,[65.55162771],[37.45819676],[64.01600066],[19.68418567],[40.60514505],[22.13951863],[20.94867528],[57.33718667],[121.65072324],[172.01797408],[20.16319022],[174.23339248],[13.35348139],[13.69015048],[72.37803025],[97.98023088],[16.86867597]
225,[65.1213638],[37.48808718],[64.4068319],[20.06116581],[41.04202996],[22.07734747],[20.84414817],[58.46182613],[119.15574547],[171.91223742],[20.21049879],[174.45828323],[13.44502312],[13.79306561],[71.96717574],[95.93978284],[16.78467205]
226,[65.10198924],[37.08173488],[63.64660448],[19.49897325],[40.66490054],[21.54987283],[20.32736326],[57.08318445],[118.21329796],[170.56027143],[20.19126299],[174.19346759],[13.27298819],[13.54098278],[71.77462008],[96.99477594],[16.58617905]
227,[64.08471504],[36.56039927],[62.02659435],[18.96640649],[41.13908459],[21.79450714],[20.57840131],[57.66331657],[116.85276119],[172.21507432],[20.53181298],[179.04804583],[13.39152699],[13.65786945],[72.98341169],[95.97227636],[16.75743505]
228,[65.79025696],[35.55154532],[60.54792539],[18.68447771],[38.57038045],[21.27246222],[20.03038896],[55.36454699],[119.2207117],[173.49541536],[20.12600834],[178.62147181],[13.52904146],[13.79729518],[72.48240069],[99.18928598],[17.14595471]
229,[65.06170519],[35.60808795],[59.37903278],[18.53740394],[38.1362427],[21.15981511],[19.96017518],[54.66781487],[118.6330816],[170.94233359],[20.36669105],[176.20714253],[13.11529566],[13.36864059],[72.86424528],[100.04055114],[17.39549562]
230,[66.07023756],[35.76116021],[57.96978846],[18.33901277],[37.86118119],[20.75669277],[19.58425222],[54.56594507],[121.47392315],[173.56262411],[20.33410045],[181.4827319],[13.34970114],[13.6724104],[73.21444114],[99.90599779],[17.60292314]
231,[66.16917868],[36.32539816],[58.81470783],[19.15410426],[37.87860332],[20.90724962],[19.66918107],[54.65199308],[120.59684355],[173.23982255],[20.06523552],[184.7838455],[13.25592965],[13.4895776],[72.99999954],[100.08450893],[18.05053525]
232,[65.43810278],[36.55980279],[60.44123061],[18.7088489],[38.00489112],[21.14919992],[19.92675489],[53.96885887],[119.47030006],[173.04428895],[20.20821218],[183.34170816],[12.9668808],[13.26902302],[73.60233954],[98.65106855],[18.09988099]
233,[65.28479286],[36.30167073],[58.21704596],[18.66724941],[37.58659685],[21.39386653],[20.1200836],[53.06758899],[119.30942593],[171.02713304],[20.2152862],[182.33582466],[13.07567852],[13.3803798],[73.26485217],[99.38337267],[18.11778306]
234,[65.08363312],[37.11944512],[58.41034843],[19.00414382],[36.9055322],[21.87902492],[20.60166457],[52.96048938],[119.28472416],[171.79051143],[20.01412003],[181.90778645],[13.07255484],[13.42658839],[73.11181844],[100.45883072],[17.9231076]
235,[64.35877663],[37.42259314],[57.58323816],[18.24735611],[37.09260953],[21.23311375],[20.06752836],[52.86018934],[120.19511347],[170.32998842],[20.03388476],[184.47228139],[13.08171658],[13.45055847],[72.68864574],[100.94174496],[17.51177218]
236,[64.4166771],[38.26920503],[58.79226902],[18.54393979],[37.30109003],[21.20196618],[19.97422959],[53.42595882],[120.41729737],[172.72364845],[20.06785165],[185.38932726],[13.06147758],[13.51183641],[72.76936683],[102.37639],[17.68425005]
237,[65.04063902],[38.4114362],[59.03585326],[18.68024584],[37.45264291],[21.19577916],[20.02284426],[53.55670786],[120.48267916],[172.40662079],[20.79078445],[185.25653389],[13.16482026],[13.59705034],[74.23211544],[102.97068366],[17.58277965]
238,[64.2390034],[38.20987339],[58.83547421],[18.44599146],[37.4657782],[21.24714521],[20.20349874],[53.2385848],[118.05161055],[171.0454589],[20.83601839],[188.49857112],[13.07125801],[13.43423962],[74.19931358],[101.7772161],[17.55682519]
239,[64.0013521],[38.58538972],[59.24299595],[18.54453385],[38.08721339],[21.35530247],[20.37376627],[53.24832192],[118.57252208],[170.63890705],[21.23618746],[187.04074868],[13.02121042],[13.39528627],[74.98688889],[102.67828451],[17.58416397]
240,[62.38430991],[39.15302917],[60.03145099],[19.36177476],[37.89715578],[21.27222463],[20.29165291],[54.0039276],[114.27009585],[163.06542457],[21.28723756],[178.44570957],[13.20449106],[13.59961039],[75.71271381],[98.21886689],[16.94936037]
241,[61.90359754],[38.71521419],[58.03889741],[19.31427806],[37.77545326],[21.20517164],[20.2266665],[52.08224393],[114.05401527],[164.55552112],[21.03621329],[179.41178863],[13.09376056],[13.37911467],[75.20631751],[97.33402463],[16.55891822]
242,[63.14821431],[38.76546221],[58.304197],[19.27104335],[38.52730748],[21.39358649],[20.27096572],[53.3902838],[116.4259296],[168.6264115],[21.24712219],[181.81421682],[13.26009071],[13.55868388],[75.42455726],[100.29936578],[16.87130597]
243,[63.56834691],[39.03711064],[56.8353868],[19.19529751],[37.79515759],[21.30223667],[20.16755622],[52.93129158],[116.81547712],[168.99280112],[20.70338783],[180.56830676],[13.26432671],[13.65580942],[74.2700659],[101.19148521],[16.82808093]
244,[64.44565159],[39.20146363],[57.97343164],[18.85676088],[38.45401883],[21.21070235],[20.19020747],[54.31776647],[118.59478606],[170.46282694],[20.79852775],[181.08514314],[13.2403984],[13.6267667],[74.17010382],[102.52999203],[16.88301664]
245,[63.46914782],[39.10676106],[58.49413175],[19.33785328],[37.97314168],[21.46250209],[20.35354839],[53.76847542],[118.00253844],[169.28577209],[21.23421482],[176.7676307],[13.28532703],[13.71454281],[75.37519215],[100.53565475],[17.04326967]
246,[63.45498058],[39.49552682],[58.90151692],[20.20345347],[38.25594158],[21.44805375],[20.32979784],[54.33603344],[117.817872],[169.90563799],[20.9091585],[179.15487043],[13.35717181],[13.68736105],[74.77115675],[100.75991964],[17.47513324]
247,[62.78270725],[39.50102352],[59.98258898],[20.02990749],[38.60707243],[21.63609475],[20.50723352],[54.03489803],[118.57512027],[168.58326378],[21.25594878],[184.13029845],[13.35508002],[13.68865994],[75.79663043],[102.90674356],[17.69850248]
248,[63.13278194],[39.52237375],[58.89225316],[19.98656541],[38.31810048],[21.45185392],[20.30872277],[54.0292091],[119.51289074],[171.4647836],[21.33953723],[194.0154772],[13.426221],[13.69675384],[76.19486246],[104.45933854],[18.15227114]
249,[63.34714065],[38.53212116],[58.36864521],[19.98506522],[37.99120253],[21.32233805],[20.16822854],[53.30067468],[120.21090808],[172.44929522],[21.13317827],[197.34911674],[13.28430769],[13.64079949],[75.57591691],[107.07053063],[17.78175172]
250,[61.40660544],[38.29411134],[57.88208536],[20.07435025],[37.77557072],[20.76142487],[19.7256958],[51.65217424],[118.66665093],[172.40600942],[21.01568039],[196.41393819],[13.1657929],[13.54299993],[74.71360128],[104.32418538],[17.55817506]
251,[61.54650355],[38.508267],[57.36049536],[20.31632223],[37.67155333],[20.44652396],[19.30770559],[51.73496336],[117.82175927],[171.46149618],[21.01675359],[194.75989505],[13.50377874],[13.85296206],[74.44746846],[102.46361771],[17.33212884]
252,[61.50390224],[38.20750858],[57.12196761],[20.24546544],[37.4081831],[19.94065237],[18.86224645],[51.65956462],[116.05346782],[172.86339026],[20.57615373],[194.8283919],[13.46817719],[13.7416898],[74.39410781],[103.59984458],[17.6186051]
253,[62.07671897],[35.72701191],[56.51484913],[20.33620294],[35.91833259],[19.20212448],[18.13811891],[49.01558506],[117.29040836],[172.76322287],[20.36196293],[195.72658266],[13.5395189],[13.84975089],[74.38180864],[103.77795354],[18.40483978]
254,[61.23197848],[35.70219049],[56.99015033],[20.23040187],[35.9817306],[19.18930308],[18.18373753],[48.43130222],[118.9724291],[173.81764425],[20.84370302],[199.27216917],[13.69414881],[14.06419525],[75.08071306],[104.74505371],[18.60063481]
255,[61.49113162],[36.17433771],[56.87194724],[19.72006346],[36.63264437],[18.99887193],[17.99219572],[49.03590698],[117.67843737],[174.60406174],[20.69999105],[202.32988281],[13.6548703],[14.02282573],[74.00178452],[104.89320328],[18.30115511]
256,[61.72599586],[36.26347825],[56.6900556],[18.99308881],[36.46438489],[19.08904926],[18.00826969],[48.88842913],[116.16337673],[176.14606518],[21.01536701],[199.16446516],[13.61647727],[13.95351043],[75.51721461],[103.98989039],[18.16063664]
257,[61.54849671],[35.66588623],[56.95688535],[18.65754406],[36.19404052],[19.58190064],[18.50197733],[49.78148237],[113.09662745],[176.00514948],[21.20543867],[195.40590921],[13.72727183],[14.09715259],[75.33441763],[104.55755063],[17.90307202]
258,[62.00552845],[35.69609031],[57.77309714],[18.50560465],[36.89086502],[20.01004563],[18.90855288],[49.26693038],[113.13564902],[174.49953227],[20.8079426],[195.0620951],[13.60543417],[13.87659356],[73.29546844],[104.6955018],[17.83204038]
259,[62.61075429],[35.52808443],[58.88496455],[19.08046288],[37.2116502],[20.21197411],[19.20366578],[49.30371602],[113.97430718],[175.09918327],[20.85544137],[194.10014658],[13.7041059],[14.09848806],[73.61437024],[105.01265094],[17.84588762]
260,[61.57612145],[35.24023357],[57.98555001],[18.7768899],[36.51896103],[19.5375446],[18.59200373],[48.93718736],[114.01898243],[171.55566103],[20.65663352],[192.38027447],[13.75399243],[14.00389443],[72.97695278],[105.10741277],[17.35831073]
261,[62.6661753],[34.8359244],[57.01704604],[18.71974917],[36.47345612],[19.37119251],[18.36274445],[49.00063686],[113.72447934],[172.03529444],[19.85195747],[195.84857592],[13.61313236],[13.93036793],[71.27406025],[105.26526797],[17.22275442]
262,[61.95409613],[33.39141674],[57.21892512],[18.50618264],[36.81650636],[19.18552022],[18.11493969],[48.99278565],[114.68212031],[171.08787917],[19.51457279],[193.49618322],[13.66461998],[14.0150756],[69.88090624],[104.99098236],[17.11406449]
263,[62.06678748],[33.70864041],[56.96846164],[18.49183049],[36.24510533],[19.2482019],[18.17103201],[47.89299591],[115.9182555],[170.91368558],[20.22511924],[195.09423767],[13.67193989],[13.97959706],[70.30201683],[105.45292589],[20.0930946]
264,[64.01436727],[33.96049051],[56.79295591],[17.42949477],[36.78023274],[19.02784175],[17.92950064],[46.46981745],[116.99025113],[178.11868827],[19.72237012],[199.20185736],[13.67966334],[13.9509489],[68.71821353],[107.74038673],[21.65748438]
265,[65.16925729],[33.5138243],[56.14535002],[18.45956638],[36.49847118],[18.9035026],[17.85145074],[48.45338926],[117.65436859],[179.97025815],[19.3000562],[198.10311135],[13.81575857],[14.15486733],[67.71023794],[109.66028035],[21.22945751]
266,[65.40894043],[33.65000736],[56.10897475],[19.0135456],[35.98746627],[18.81732702],[17.7602665],[48.50581984],[119.58645136],[179.39300518],[19.24273992],[196.22665495],[13.65218109],[13.88742043],[67.11825367],[110.50226019],[20.46211795]
267,[65.29218244],[33.53179329],[56.15928256],[17.73029654],[36.0739328],[19.07867028],[18.01220687],[48.82713728],[114.30567017],[182.21830109],[19.50126418],[197.8009891],[13.70406054],[14.04805936],[67.62748881],[110.3642779],[20.1914244]
268,[65.43387017],[33.15746293],[54.49812181],[17.48512977],[35.11997782],[17.23958397],[16.17639289],[48.20380846],[112.60564227],[178.89975745],[18.94762945],[199.13694647],[13.80055707],[14.05317813],[66.28739611],[108.48033276],[19.59529797]
269,[63.42703885],[33.30462232],[55.42365701],[16.33937265],[35.66165273],[16.43673416],[15.26383987],[48.04498071],[113.34521941],[178.87655284],[18.93184366],[199.79593992],[13.8552219],[14.17974975],[66.27198148],[108.85656228],[19.89144525]
270,[61.24939647],[33.04573518],[57.44611732],[16.23554849],[36.41565828],[17.3030344],[16.20314401],[50.10233852],[111.8195372],[180.60079191],[18.55933],[195.65466829],[14.16084269],[14.42102193],[65.47063208],[106.87277171],[19.69360682]
271,[63.3649276],[34.06254627],[58.03957636],[15.49331505],[36.54537974],[17.06428968],[15.9822486],[50.25531118],[112.55462147],[179.6992237],[18.8099095],[193.85077542],[14.36013484],[14.74456813],[67.21050488],[114.34301708],[19.86589913]
272,[63.15829517],[34.2020234],[56.87521945],[15.49518462],[36.84470405],[17.14468904],[16.06137847],[50.82812715],[113.05767239],[178.47134743],[18.79632361],[191.93185044],[15.10977523],[15.57643798],[67.42484813],[116.18530925],[20.33011614]
273,[63.67453312],[34.18440673],[55.97422469],[15.35340491],[37.22974195],[16.9571727],[15.9246092],[50.78545785],[112.10074988],[178.93936589],[18.67955211],[195.03455915],[15.24046553],[15.60102828],[67.98319118],[117.39445495],[20.12022841]
274,[64.04234495],[33.68318991],[56.33004069],[14.34146296],[36.82539157],[16.16927484],[15.15151903],[50.47628297],[112.50041475],[178.36131358],[18.62713365],[195.43071136],[15.25662549],[15.54531],[67.60610528],[118.2842369],[20.01069879]
275,[62.94593841],[33.83453531],[55.98138988],[14.82614912],[37.1525856],[16.65318092],[15.68797658],[50.59760259],[111.53033548],[178.13280451],[18.4630494],[191.93805712],[15.19349504],[15.54127715],[67.20654654],[117.05794039],[19.82357152]
276,[64.07979788],[34.55758555],[56.44104531],[14.74621348],[37.05855466],[16.69240456],[15.66688208],[50.48059778],[111.65555871],[179.79222836],[18.66775427],[195.34524609],[15.68938992],[15.95972061],[67.41050596],[118.49289366],[20.24691186]
277,[64.13093711],[34.49658684],[56.71513646],[14.77285065],[36.11751563],[17.45777732],[16.37271695],[50.66944553],[108.94137697],[179.17415603],[19.04898467],[192.9391431],[15.8402593],[16.20221335],[69.26238183],[118.15801349],[20.71331431]
278,[63.98833744],[34.64905413],[55.93244464],[14.79912632],[35.80628559],[17.31267082],[16.26378849],[49.98106377],[107.72928807],[178.74785117],[18.90500005],[194.04305326],[15.65855225],[15.94725976],[69.56915297],[117.53599323],[21.07663832]
279,[64.48874354],[34.30332797],[56.76117607],[14.49171648],[36.4171169],[17.14068529],[16.10017122],[50.05258542],[107.94771998],[181.97361923],[18.69773204],[195.91542922],[15.81311614],[15.96247459],[69.60839372],[118.92953543],[21.78477241]
280,[65.0915018],[34.9247248],[56.17874835],[14.32207759],[36.41031799],[17.73062582],[16.69426506],[50.42284736],[107.52997731],[181.02416243],[18.71749262],[196.12500195],[15.74259765],[15.8737181],[68.85374564],[118.37518327],[22.14578457]
281,[65.96602345],[34.78960147],[56.56683216],[13.81150626],[35.85407417],[17.3940093],[16.36442366],[49.85684353],[108.3589899],[182.68017392],[18.75184185],[195.51744419],[15.75452157],[15.8781944],[68.98463935],[117.90045208],[22.30638148]
282,[65.74548983],[34.6855663],[55.95274189],[13.61098311],[35.52841222],[17.38598849],[16.30734145],[49.65603274],[107.17576834],[183.01951223],[18.58930958],[194.85206455],[15.75107172],[15.96437591],[68.81653244],[117.85520793],[21.73352175]
283,[65.94203875],[35.45296991],[54.79743473],[13.70001097],[36.23656156],[17.91363547],[16.83849487],[50.41042267],[109.61930901],[182.47627547],[19.37740062],[199.00942612],[16.14920628],[16.35891878],[70.54051128],[116.5781823],[21.67944584]
284,[62.39174306],[36.53880613],[56.51180814],[14.56800217],[37.20184226],[18.77187783],[17.71053919],[51.28571621],[105.56594827],[175.10785876],[20.03361189],[187.91000344],[16.35780634],[16.45632802],[72.69790725],[111.98894587],[20.75705755]
285,[62.54241547],[36.36138141],[55.9540675],[14.55363118],[37.53937293],[18.94235476],[18.02845382],[50.6185578],[106.36841535],[177.51542315],[19.74273879],[187.76411147],[16.15382605],[16.4009427],[71.54743067],[111.60380499],[20.53406058]
286,[62.2465539],[36.52494638],[57.16582594],[14.24347882],[38.42152818],[19.37628781],[18.34318836],[50.30624522],[106.21192054],[175.97060221],[20.02867053],[186.62725001],[16.21484994],[16.45936838],[73.30488506],[111.49657104],[20.71739083]
287,[59.13508515],[37.3281008],[59.9706176],[14.82432448],[40.32715983],[20.775169],[19.49211498],[51.59879672],[100.80410785],[171.94810351],[20.66220668],[184.14505],[16.53076553],[16.73616587],[74.40524753],[103.25462103],[20.41145595]
288,[59.71645507],[36.50859682],[58.07699564],[14.33045779],[39.48669143],[19.74598848],[18.47810966],[52.00709713],[103.78711045],[173.11730923],[20.56867456],[184.0437611],[16.37791524],[16.53593258],[75.4012299],[103.79050542],[20.80332626]
289,[60.73002885],[36.12116594],[57.64846291],[13.79371775],[38.55359989],[19.33964009],[18.14722744],[49.2499455],[103.26451886],[176.59436475],[20.30275986],[185.1171174],[16.40076882],[16.55501406],[74.50010628],[105.28877546],[21.04550863]
290,[61.66326349],[36.16589179],[57.08263886],[14.12945849],[37.84886367],[19.48715246],[18.32661756],[48.99222356],[104.74116331],[180.38222765],[20.18380616],[185.01594791],[16.36856839],[16.55385173],[73.21810523],[107.20214366],[20.96475402]
291,[62.41933315],[36.76292461],[57.42095882],[14.67415609],[37.90453987],[19.52909931],[18.2675726],[48.54314456],[105.66473433],[178.70293979],[20.24500951],[188.29646339],[16.52691392],[16.78040989],[73.45479688],[107.01593823],[21.05485983]
292,[63.00572067],[36.89006616],[57.68202062],[15.89129164],[38.46444701],[19.72064592],[18.39646245],[49.51595877],[107.79695247],[178.61238611],[20.21588605],[185.90570376],[16.59826771],[16.91523155],[74.33629675],[108.02839351],[21.9010039]
293,[64.22185538],[38.1828499],[57.97029628],[15.62589982],[39.53685608],[19.58912971],[18.26608282],[49.62749685],[107.71387038],[176.89401406],[20.47252337],[185.61150848],[16.20983252],[16.54003448],[74.52276042],[107.67560674],[21.60706099]
294,[64.51360075],[38.01090333],[57.183507],[16.74782246],[38.57194663],[19.71360906],[18.43464696],[48.97480266],[105.43515605],[178.52419679],[20.14850752],[187.61464973],[16.28751547],[16.5059288],[73.76950998],[107.67236447],[21.59843072]
295,[64.95480382],[37.7521195],[58.13075876],[16.40756656],[39.08090615],[19.96686813],[18.59318224],[48.50109238],[106.30072226],[178.71525085],[20.18138],[189.3562298],[16.20749623],[16.433353],[73.14845758],[108.92111853],[22.4362422]
296,[66.55256358],[38.27205189],[58.79362569],[16.94830146],[39.71844975],[20.95990128],[19.69740589],[48.5640175],[109.19317734],[180.33761954],[20.4589956],[189.84725595],[15.99635223],[16.32769915],[74.32060134],[111.15642537],[22.13656178]
297,[66.02211161],[38.46425868],[59.00713704],[17.77098985],[39.50082679],[21.56973089],[20.38469863],[49.88326955],[107.53678056],[180.85901162],[20.34234429],[190.15316844],[16.35701296],[16.62545311],[73.49059233],[110.56465876],[24.52304565]
298,[65.02037269],[38.03613281],[59.46680315],[17.3193123],[39.12754864],[21.91783439],[20.76865931],[48.40397786],[107.23355295],[179.45302861],[20.38093761],[186.82108645],[16.26213801],[16.65139104],[73.93366043],[109.2665355],[25.01658927]
299,[64.42984763],[38.59590922],[60.02154983],[17.1168733],[39.35728219],[22.29710851],[21.09176922],[48.74552542],[108.35484054],[177.88162462],[20.14821048],[188.73553145],[16.23438215],[16.59876055],[73.88503342],[108.68960159],[25.06002647]
300,[65.08823678],[38.87714629],[60.49810523],[17.48012854],[40.81655392],[23.26224171],[22.09953781],[49.07470407],[107.88129303],[177.69611184],[20.24392407],[188.38576375],[16.36280488],[16.66428166],[74.13679262],[110.43106208],[24.94195202]
301,[64.67812742],[38.9545509],[60.17845388],[17.1999897],[40.78364399],[23.64097674],[22.42023627],[48.52353047],[106.31064442],[177.59242743],[20.39342216],[189.80870085],[16.40037683],[16.78923016],[73.61940347],[109.55658081],[24.18752452]
302,[63.66334133],[39.07460125],[60.20529348],[17.35324221],[40.79058305],[23.47465031],[22.21247881],[48.34922888],[105.14052947],[176.30126089],[20.23872532],[187.47932654],[16.30924424],[16.58875115],[73.39055709],[108.40024985],[24.17194527]
303,[63.43837433],[38.88138909],[59.28182245],[17.04929709],[40.38861855],[22.97836891],[21.6895756],[47.63703349],[105.23133662],[177.86813933],[20.25459472],[186.1457231],[16.25248936],[16.65584051],[73.45886888],[107.87215821],[24.18187569]
304,[63.46896828],[39.21034994],[59.29036816],[17.10660478],[40.24184846],[22.45595336],[21.17993345],[47.87700855],[105.54227582],[178.16927898],[20.37069854],[192.51425358],[16.32649113],[16.64911404],[73.40497374],[109.58717484],[24.30065874]
305,[63.44486289],[38.85271463],[58.97125005],[16.65559597],[40.04157804],[22.30522523],[21.09464017],[47.73579196],[105.37857906],[176.52514064],[20.17036544],[191.61460327],[16.19715496],[16.58220453],[72.87876737],[110.05677706],[24.04704943]
306,[64.33102344],[38.54130995],[59.18021155],[17.43404666],[41.07174269],[23.04892013],[21.77484948],[50.26430285],[109.65096498],[181.46912813],[20.2498851],[200.82853361],[16.43648943],[16.8183821],[72.78152628],[112.71140094],[24.45194787]
307,[65.25653371],[37.59696635],[59.19011337],[17.04993026],[40.41431865],[22.56065165],[21.42816125],[49.25739864],[109.79287943],[184.80601297],[19.77086323],[204.39227342],[16.4964538],[16.89846725],[70.51463532],[113.91638453],[24.41790128]
308,[64.71924902],[38.04042763],[58.03896555],[16.93577026],[40.637372],[22.05784737],[20.80737945],[49.4062141],[107.25044809],[184.03893735],[20.18411184],[205.32674854],[16.582633],[16.92469489],[71.09932333],[113.94564346],[23.96847573]
309,[66.25431769],[38.11941879],[57.63429838],[17.00772099],[41.05423462],[21.95969621],[20.75531349],[49.14598142],[112.32148012],[186.41537706],[20.19416355],[209.56026139],[16.81868812],[17.21701952],[71.95171595],[116.54564441],[24.25645199]
310,[66.53726303],[38.26694106],[56.73896386],[17.21375102],[40.4396826],[22.27775238],[21.0507324],[48.89648686],[112.75676999],[188.12765548],[20.35549703],[211.70402986],[16.82058654],[17.19031905],[72.45181151],[117.39021961],[24.49323408]
311,[66.24501672],[37.44490471],[56.0297913],[16.49471107],[40.60038043],[21.5878795],[20.42381111],[48.56898297],[112.39773715],[187.75049446],[20.28642362],[209.08566548],[16.87120357],[17.24761019],[72.07500028],[115.09880587],[24.17413189]
312,[66.79688163],[36.59411139],[56.64846964],[17.51479883],[41.09168835],[22.7701606],[21.6488928],[48.41054334],[112.40962641],[187.72243234],[20.89087466],[212.33463818],[16.85085538],[17.15316126],[72.65151506],[115.31179887],[24.22104963]
313,[69.00939658],[36.48185137],[57.70449209],[17.45143535],[42.60660577],[23.97012897],[22.72166522],[49.26980637],[111.52464801],[187.82773567],[21.43863501],[216.94162295],[17.0729512],[17.49248995],[74.1769025],[116.91371399],[24.25997964]
314,[70.26084037],[36.91774549],[58.8083245],[17.30729957],[42.44792394],[24.21184688],[22.8972572],[49.45924725],[113.20062336],[179.47995896],[21.71128324],[220.9349434],[17.15148122],[17.55243862],[75.79147867],[117.55628185],[25.30085749]
315,[68.81010528],[36.68709117],[59.41909374],[17.34509551],[41.76815689],[24.48592978],[23.19466993],[47.95322925],[112.10320042],[178.73904312],[21.17979452],[221.12451727],[16.96400556],[17.28915986],[74.41307704],[114.38883545],[24.70977291]
316,[70.24317368],[36.86631743],[58.89726456],[17.40338026],[41.65423602],[24.60863955],[23.33910821],[45.41191249],[113.26918625],[178.45782274],[21.56658521],[217.26977735],[17.22310761],[17.57373274],[75.51127059],[115.81656003],[24.48666907]
317,[69.7221055],[37.16143218],[59.98057647],[17.31982264],[41.82193563],[25.4889351],[24.16208158],[45.21297955],[115.31855641],[180.64892307],[21.61160391],[220.25081649],[16.99536086],[17.37376055],[75.86250907],[117.34132963],[23.97273426]
318,[70.58823243],[37.21219827],[57.71916623],[17.29604257],[42.5070751],[25.63406508],[24.38361141],[45.29285817],[116.19444686],[181.73184824],[21.36545277],[220.25324202],[17.21223109],[17.54502271],[75.13944817],[118.20773572],[23.5559652]
319,[71.277324],[37.91712173],[58.34731012],[17.67354117],[42.90229071],[26.24576729],[25.03056884],[46.34081684],[118.15966726],[185.42689176],[21.93965253],[227.4440915],[17.19767503],[17.57086767],[76.25747586],[118.51777585],[23.36723378]
320,[71.52480074],[37.13357179],[57.42666899],[17.2918317],[42.41857505],[25.64181808],[24.46448688],[46.30668251],[117.53831527],[189.23197827],[21.736685],[249.67196439],[17.04791063],[17.32733738],[75.47504726],[116.89523351],[22.76312147]
321,[70.24708688],[37.04786933],[59.21783408],[17.37798047],[42.97273197],[25.90575898],[24.56880269],[47.74678678],[114.53057522],[186.05343614],[21.81733119],[260.29056831],[17.10695422],[17.41349392],[76.63275989],[116.26814759],[22.4026652]
322,[70.8165915],[37.46686984],[59.22638104],[17.79034561],[42.12087174],[25.68492737],[24.41517176],[46.93212655],[114.48296973],[187.00447342],[21.35305936],[268.95031522],[17.02492803],[17.28660427],[76.53384131],[117.22747887],[22.17305654]
323,[72.38637423],[37.83546477],[60.02291488],[18.20237949],[42.77153262],[25.93637716],[24.7152516],[47.19076951],[115.12643753],[189.98041774],[21.92315872],[273.73377061],[17.13878912],[17.49915712],[77.67313876],[119.41541751],[24.16743281]
324,[72.47916698],[37.21938737],[58.7435643],[17.99385638],[41.99313345],[25.87781651],[24.68085187],[47.25135051],[117.92098672],[186.04549713],[21.7691417],[284.20944921],[17.06474003],[17.35835535],[77.34777576],[119.50913961],[25.19658832]
325,[71.76874054],[37.47892007],[58.42226056],[17.78072298],[42.30113523],[24.87954043],[23.77036684],[47.2509562],[119.05608634],[187.20561096],[21.70456916],[278.29962845],[17.04611411],[17.29423418],[76.92007525],[118.39596351],[25.59481551]
326,[73.9408646],[37.43809871],[57.59387389],[17.8011402],[42.56028741],[25.02287072],[23.81415974],[46.88411753],[127.09433565],[187.09911914],[21.87295068],[270.36516918],[17.11581458],[17.46278085],[76.65083141],[125.8673722],[25.68434125]
327,[73.30170161],[39.26598889],[58.89066553],[17.93758395],[41.85459249],[25.22139312],[24.12044361],[47.16178752],[128.03598462],[193.39384085],[21.78663684],[265.15039869],[16.80648088],[17.12744441],[76.23403734],[125.02661538],[26.78497421]
328,[71.7247047],[37.97286963],[55.52557448],[17.70646459],[41.09438167],[23.72349497],[22.69251141],[46.76359784],[124.28316008],[190.41636598],[21.30136629],[267.72095162],[16.40362833],[16.74799404],[75.02976977],[121.99524052],[25.8547896]
329,[68.77503173],[36.62891578],[54.25790452],[16.75510752],[39.40189142],[22.81973551],[21.73007175],[44.83590444],[121.51448313],[182.30601166],[20.79109632],[255.61432246],[15.90963291],[16.13345921],[73.04980872],[118.18788329],[25.04334364]
330,[69.71682537],[36.91023728],[53.75867757],[17.09792241],[39.65330215],[23.80684245],[22.64645084],[43.32528214],[122.35395],[185.52460666],[21.01442193],[265.98712508],[16.27709573],[16.48692005],[73.73393778],[118.20462175],[25.11217465]
331,[69.58673432],[36.91931707],[53.3974152],[17.05918273],[40.19356715],[23.03207886],[21.84840651],[45.19162026],[123.19480693],[180.94551881],[21.32846642],[264.09437124],[16.05444899],[16.29468422],[75.17145737],[117.81835329],[26.70736778]
332,[66.28054903],[35.47373254],[51.93719693],[16.14372644],[38.12553427],[22.81497198],[21.50137591],[43.73238566],[117.07207851],[172.31550486],[21.34118452],[250.26747018],[15.64352152],[15.8166154],[75.8807647],[104.67933896],[30.16206359]
333,[67.09347327],[36.1563309],[52.78318977],[16.00184245],[38.51042614],[22.6079317],[21.40716483],[43.46728554],[121.16218346],[176.84099445],[21.71168305],[249.28042564],[15.78540788],[16.06949134],[76.86300117],[108.22798353],[31.52534673]
